 报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),107773,81078,66826,9224,54078,32847,20858,8553,45196,25089,17360,8773,27562,14026,8439,3668,21927,12231,8843,5112,15345,--,4033,2124,14293,11903,6693,3759, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),508,235,126,--,494,346,220,6,674,443,297,192,310,183,6,6,33,18,10,--,94,--,48,48,78,20,74,--, 
 收到的其他与经营活动有关的现金(万元),994,8355,7944,8063,1479,2945,4623,1754,10637,7942,6893,5653,6240,4228,2574,530,1973,1343,646,187,220,--,243,161,487,350,118,0, 
 经营活动现金流入小计(万元),109275,89669,74896,17287,56050,36138,25701,10313,56507,33474,24550,14618,34112,18437,11019,4205,23933,13592,9499,5300,15659,--,4323,2332,14858,12272,6884,3760, 
 购买商品、接受劳务支付的现金(万元),47701,40939,30790,19372,32135,24043,15527,7456,24185,17772,12248,6856,13171,9516,6140,3656,8399,5467,3287,1371,6167,--,2107,2326,5438,4803,2280,1313, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),22551,17570,12187,6044,19819,14784,10105,6096,15859,11892,7995,4497,12127,8692,5739,3033,8421,6542,4267,2263,6344,--,3048,274,4976,4097,2125,1135, 
 支付的各项税费(万元),4383,3636,2891,843,4388,3849,3155,1644,4244,2905,2102,1493,2504,1821,1405,869,1667,1390,1170,806,1613,--,1204,571,1370,1144,505,225, 
 支付的其他与经营活动有关的现金(万元),38053,39594,35837,2689,3721,4361,4844,1425,10773,10175,8165,6628,6897,4739,2470,1001,3156,4159,2564,1116,1244,--,1143,1128,926,731,583,428, 
 经营活动现金流出小计(万元),112688,101739,81704,28948,60063,47037,33631,16620,55061,42743,30510,19474,34699,24768,15755,8558,21643,17559,11289,5556,15369,--,7503,4299,12709,10775,5492,3101, 
 经营活动产生的现金流量净额(万元),-3413,-12071,-6808,-11661,-4013,-10899,-7930,-6308,1446,-9269,-5960,-4856,-588,-6331,-4736,-4353,2290,-3967,-1790,-257,290,-3394,-3180,-1968,2149,1497,1392,658, 
 收回投资所收到的现金(万元),43000,43050,43050,43000,5000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,0,0,--,--,7,7,1,0,0,0,--,5,5,2,0,1,1,--,--,3,--,1,1,4,1,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),50,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),860,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,91, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),43911,43050,43050,43000,5028,7,7,1,0,0,0,0,5,5,2,0,1,1,0,0,3,--,1,1,4,1,0,91, 
