 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),14089,44971,35294,23508,10261,33348,22430,15347,4563,43831,26970,24133,12342,56430,39672,27412,68785,74265,77452, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),68,66,75,66,66,152,111,99,13,133,125,86,41,128,128,114,241,272,814, 
 收到的其他与经营活动有关的现金(万元),273,602,41,100,9,1994,1572,1284,1115,415,538,186,117,2938,2718,550,1459,3722,522, 
 经营活动现金流入小计(万元),14430,45639,35410,23673,10335,35494,24114,16730,5691,44379,27633,24405,12500,59496,42518,28076,70484,78259,78788, 
 购买商品、接受劳务支付的现金(万元),8943,34356,27719,19162,8612,24739,17047,10457,3690,31694,24944,17356,9095,39058,31492,20037,49503,53373,54630, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),1839,6557,5323,3532,1995,5875,4538,3149,1759,6871,5794,3765,2311,7220,5562,3812,8076,8071,7761, 
 支付的各项税费(万元),306,3390,2902,2087,1322,5144,4304,3542,685,4223,3017,2216,553,4715,3628,2588,7005,8529,7150, 
 支付的其他与经营活动有关的现金(万元),720,1804,991,619,482,1756,1105,593,405,1956,1605,727,401,1624,1040,774,2315,2217,2568, 
 经营活动现金流出小计(万元),11808,46107,36934,25401,12411,37514,26994,17741,6539,44744,35360,24064,12360,52618,41721,27210,66898,72190,72108, 
 经营活动产生的现金流量净额(万元),2622,-468,-1525,-1728,-2076,-2020,-2880,-1012,-848,-365,-7728,341,140,6878,797,866,3586,6069,6680, 
 收回投资所收到的现金(万元),7450,15350,9552,2147,547,11400,7004,6000,1600,--,--,--,--,--,--,--,137,--,--, 
 取得投资收益所收到的现金(万元),57,602,560,312,86,582,307,105,92,159,143,143,--,140,140,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,--,--,--,--,25,9,--,--,10,16,7,248,132,540, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),25,56,47,29,13,11983,5067,5043,24,5079,59,26,16,25052,19531,10022,42,605,65, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),7532,16008,10159,2488,646,23965,12377,11148,1716,5263,211,168,16,25202,19686,10028,427,738,605, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),204,2445,1949,1812,1840,3962,3281,2204,1611,7986,7237,3077,2924,10969,6109,3065,3815,2593,25795, 
 投资所支付的现金(万元),450,15698,8900,2350,500,13896,9300,6300,--,6000,--,--,--,--,--,--,1000,1800,2975, 
