 报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),183792,145211,93508,60966,307412,218752,138983,51174,150744,120755,62994,26786,115887,110496,93574,25834,232939,189244,156646,84022,332546,245575,300910,305190,286734,179446, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,2200,--,--,--,2000,2000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),6357,8616,7936,2639,8189,2651,1876,566,5716,1773,1208,339,6946,2470,1927,758,2766,1711,1542,861,2003,940,6215,1992,1798,1461, 
 经营活动现金流入小计(万元),190149,153827,101445,63605,315602,223603,140859,51740,156460,124529,66202,27125,122833,112966,95502,26591,235705,190955,158188,84883,334549,246515,307126,307182,288532,180907, 
 购买商品、接受劳务支付的现金(万元),111430,96300,56627,28686,213811,152293,86975,25436,46680,36697,19014,17146,49998,52107,22942,18453,79206,55767,29146,22407,107361,88188,57371,55876,57760,48572, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),40261,31049,21895,12409,40494,30642,19726,11209,41554,31637,21746,12413,45409,34501,24479,13645,45844,35021,24184,13469,42603,38256,40781,35994,26297,24216, 
 支付的各项税费(万元),17483,15233,12874,7377,22071,15051,9793,5531,24245,18749,13116,8919,27891,22872,29864,10995,57010,56783,37477,22450,85046,64769,87418,106469,80841,58608, 
 支付的其他与经营活动有关的现金(万元),11801,10347,8759,1400,13919,4596,3450,1528,5167,15005,11213,1377,10635,3744,2527,1384,5433,4002,2764,1536,5387,5342,6123,6645,6574,4710, 
 经营活动现金流出小计(万元),180975,152929,100155,49872,290295,202582,119944,43704,117646,102088,65090,39856,133933,113225,79811,44477,187493,151573,93571,59863,240397,196555,191693,204984,171472,136107, 
 经营活动产生的现金流量净额(万元),9174,898,1290,13734,25306,21021,20914,8036,38814,22441,1113,-12731,-11100,-258,15690,-17886,48211,39382,64616,25019,94152,49960,115433,102198,117060,44800, 
 收回投资所收到的现金(万元),207650,130000,68958,45918,252054,123300,73597,45,4495,2533,--,--,23425,25903,5000,5000,--,--,--,--,--,--,2400,--,3000,--, 
 取得投资收益所收到的现金(万元),2354,1732,737,353,10739,6257,5081,785,3287,2149,132,--,2139,1699,64,64,32,32,16,16,25,25,156,59,81,22, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),54,53,53,--,18,17,3,3,448,439,48,2,219,213,42,33,313,49,33,--,201,112,1389,700,297,544, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,22014,--,284, 
 收到的其他与投资活动有关的现金(万元),631,--,--,--,21000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1220,2500,2906,900, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),210689,131785,69748,46271,283811,129575,78681,833,8231,5121,181,2,25783,27815,5106,5097,344,81,49,16,225,137,5164,25272,6284,1750, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),14719,7921,5475,3035,25437,12952,12422,2633,34514,21370,17605,11036,35401,28910,22166,8934,38715,30796,22446,12024,44528,24246,47568,35767,26152,9594, 
 投资所支付的现金(万元),181908,130252,74020,45900,255398,93422,90201,32,36022,3489,3439,400,49747,73671,25450,--,5000,--,--,--,--,--,--,2410,--,1600, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),900,850,800,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),597,--,--,--,16831,6488,4487,6370,10002,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),198124,139022,80296,48935,297665,112863,107110,9036,80537,24859,21044,11436,85149,102582,47616,8934,43715,30796,22446,12024,44528,24246,47568,38177,26152,11194, 
 投资活动产生的现金流量净额(万元),12565,-7237,-10548,-2664,-13854,16712,-28429,-8203,-72306,-19738,-20864,-11434,-59365,-74767,-42510,-3837,-43370,-30715,-22397,-12009,-44303,-24110,-42404,-12905,-19868,-9444, 
 吸收投资收到的现金(万元),--,--,--,--,87604,87604,87604,87604,3000,1500,1500,--,--,--,--,--,175883,--,--,--,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,87604,--,3000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),146150,138650,128050,52345,123880,121380,86680,51880,188898,137011,22200,15700,66380,61400,20000,5000,48400,43400,24700,2900,4800,7600,2099,16200,38000,--, 
 发行债券收到的现金(万元),--,--,--,--,20000,20000,20000,--,10600,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),734,--,--,--,--,--,--,--,2409,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),146884,138650,128050,52345,231484,228984,194284,139484,204907,138511,23700,15700,66380,61400,20000,5000,224283,43400,24700,2900,4800,7600,2099,16200,38000,0, 
 偿还债务支付的现金(万元),155674,137200,84755,28750,104607,90128,65928,26128,129580,61400,20000,10000,39700,34700,24700,2900,30500,2800,2800,2800,3000,2800,36299,--,10000,--, 
 分配股利、利润或偿付利息所支付的现金(万元),10784,8984,5733,2901,7186,4430,3121,1202,10499,8774,5159,827,31003,30376,29504,568,96773,95927,95183,20041,66500,66351,111270,59957,73468,46700, 
 其中：子公司支付给少数股东的股利、利润(万元),1688,--,1698,--,--,370,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),8348,11057,8701,317,4119,1113,736,551,31740,1186,800,407,1791,1368,916,468,2068,1572,1061,540,2425,1851,8294,8294,7474,8087, 
 筹资活动现金流出小计(万元),174806,157241,99189,31968,115911,95671,69785,27881,171820,71360,25959,11234,72494,66444,55120,3935,129342,100299,99043,23381,71926,71002,155863,68252,90942,54786, 
 筹资活动产生的现金流量净额(万元),-27922,-18591,28861,20377,115573,133314,124500,111603,33087,67151,-2259,4466,-6114,-5044,-35120,1065,94941,-56899,-74343,-20481,-67126,-63402,-153764,-52052,-52942,-54786, 
 汇率变动对现金及现金等价物的影响(万元),314,-849,71,-428,-539,-289,-170,-76,345,190,130,--,65,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-5870,-25779,19675,31019,126486,170758,116815,111360,-60,70044,-21880,-19699,-76514,-80069,-61940,-20658,99782,-48232,-32124,-7470,-17277,-37552,-80735,37241,44249,-19430, 
 加:期初现金及现金等价物余额(万元),205656,205656,205656,205656,79170,79170,79170,79170,79229,79229,79229,79229,155743,155743,155743,155743,55961,55961,55961,55961,73238,73238,153973,116732,72483,91912, 
 期末现金及现金等价物余额(万元),199786,179877,225330,236675,205656,249927,195985,190530,79170,149273,57349,59530,79229,75673,93803,135084,155743,7729,23837,48491,55961,35686,73238,153973,116732,72483, 
 净利润(万元),-76588,--,-20575,--,5664,--,3812,--,-28477,--,-10283,--,1019,--,579,--,42405,--,28751,--,100392,--,77133,123545,103678,42008, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),1553,--,--,--,12741,--,--,--,2793,--,--,--,3496,--,--,--,456,--,335,--,1308,--,6718,4624,2650,9221, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),8673,--,4221,--,11693,--,8108,--,11657,--,5104,--,10440,--,5074,--,10481,--,5301,--,10923,--,9745,9864,10457,10577, 
 无形资产摊销(万元),263,--,570,--,678,--,1928,--,2150,--,1023,--,2285,--,1258,--,2497,--,1220,--,2775,--,7647,7513,6583,6391, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),60,--,-22,--,1274,--,-3,--,-337,--,-3,--,419,--,142,--,-99,--,3,--,93,--,-352,-482,-123,419, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),22010,--,10871,--,-724,--,--,--,--,--,--,--,--,--,-123,--,--,--,--,--,--,--,--,4,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,-225,--,-504,--,-279,--,-322,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-220,-220,-220,-220, 
 财务费用(万元),8862,--,4631,--,7524,--,3573,--,6160,--,2319,--,4102,--,2187,--,4973,--,2367,--,4041,--,4012,3394,2980,3666, 
 投资损失(万元),-2474,--,707,--,-14672,--,-5010,--,-3028,--,-344,--,-2230,--,-64,--,-32,--,-16,--,-25,--,-156,-8196,-423,15, 
 递延所得税资产减少(万元),-6933,--,-922,--,621,--,4790,--,-9872,--,-3139,--,-813,--,-965,--,676,--,977,--,424,--,3663,-20,-2220,-2747, 
 递延所得税负债增加(万元),-868,--,-868,--,-1884,--,-2752,--,167,--,20,--,902,--,586,--,600,--,17,--,-274,--,-685,-598,-504,-760, 
 存货的减少(万元),-682,--,150,--,3740,--,-8166,--,1812,--,-2182,--,2255,--,-6062,--,-16041,--,-12278,--,10478,--,-32159,-3615,-2073,-3787, 
 经营性应收项目的减少(万元),22439,--,12214,--,-13875,--,-5969,--,31284,--,9237,--,-10812,--,30410,--,18496,--,51313,--,-8868,--,8867,-25632,-13979,-82, 
 经营性应付项目的增加(万元),27604,--,-16148,--,10753,--,14637,--,16274,--,-414,--,-21044,--,-17107,--,-15697,--,-13096,--,-26796,--,31221,-8318,9502,-20321, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),5254,--,6461,--,1772,--,5966,--,8231,--,-225,--,-1119,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),9174,--,1290,--,25306,--,20914,--,38814,--,1113,--,-11100,--,15690,--,48211,--,64616,--,94152,--,115433,102198,117060,44800, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
