 报告日期,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),37668,57913,47868,38657,28492, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),3273,4455,32687,36657,17014, 
 经营活动现金流入小计(万元),40941,62368,80555,75314,45506, 
 购买商品、接受劳务支付的现金(万元),13540,19509,9108,9004,5319, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),17204,25584,25271,20446,17660, 
 支付的各项税费(万元),4302,6096,3823,2327,1685, 
 支付的其他与经营活动有关的现金(万元),2547,4849,22332,38076,25079, 
 经营活动现金流出小计(万元),37592,56038,60535,69853,49743, 
 经营活动产生的现金流量净额(万元),3348,6330,20020,5461,-4237, 
 收回投资所收到的现金(万元),13500,--,450,615,277, 
 取得投资收益所收到的现金(万元),274,652,47,52,44, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,7,14,1,12, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,220, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--, 
 投资活动现金流入小计(万元),13774,659,511,668,554, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1782,276,218,129,239, 
 投资所支付的现金(万元),--,500,7466,5600,260, 
 质押贷款净增加额(万元),--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),536,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,495,4,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--, 
 投资活动现金流出小计(万元),2317,1271,7687,5729,499, 
 投资活动产生的现金流量净额(万元),11456,-612,-7176,-5060,55, 
 吸收投资收到的现金(万元),--,10400,2282,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--, 
 发行债券收到的现金(万元),--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--, 
 筹资活动现金流入小计(万元),0,10400,2282,0,0, 
 偿还债务支付的现金(万元),--,--,--,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),3264,575,10931,--,--, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,6,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--, 
 筹资活动现金流出小计(万元),3264,575,10931,0,0, 
 筹资活动产生的现金流量净额(万元),-3264,9825,-8649,0,0, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--, 
 现金及现金等价物净增加额(万元),11541,15543,4195,401,-4182, 
 加:期初现金及现金等价物余额(万元),26453,10911,6715,6314,10496, 
 期末现金及现金等价物余额(万元),37994,26453,10911,6715,6314, 
 净利润(万元),--,--,--,--,--, 
 少数股东损益(万元),--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--, 
 资产减值准备(万元),--,--,--,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,--,--,--,--, 
 无形资产摊销(万元),--,--,--,--,--, 
 长期待摊费用摊销(万元),--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,--,--,--, 
 固定资产报废损失(万元),--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--, 
 财务费用(万元),--,--,--,--,--, 
 投资损失(万元),--,--,--,--,--, 
 递延所得税资产减少(万元),--,--,--,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--, 
 存货的减少(万元),--,--,--,--,--, 
 经营性应收项目的减少(万元),--,--,--,--,--, 
 经营性应付项目的增加(万元),--,--,--,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--, 
 其他(万元),--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,--,--,--,--, 
 债务转为资本(万元),--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--, 
 现金的期末余额(万元),37994,26453,10911,6715,6314, 
 现金的期初余额(万元),26453,10911,6715,6314,10496, 
 现金等价物的期末余额(万元),--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),11541,15543,4195,401,-4182, 

