 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-03-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),42680,26300,13643,63390,35609,24143,10298,55271,33994,21164,10469,52441,8210,35205,29701,20049, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),4496,3161,1432,12487,10025,6745,3033,13609,10337,6795,2917,14946,2701,13467,12791,10066, 
 经营活动现金流入小计(万元),47176,29461,15075,75878,45634,30888,13331,68880,44331,27959,13387,67388,10911,48672,42491,30115, 
 购买商品、接受劳务支付的现金(万元),35724,25833,17151,38254,29835,18836,11064,29448,22816,15668,10261,23810,6930,15915,15935,8223, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),15480,10318,5261,19911,14437,8893,4727,16808,12427,8427,4581,15904,3846,14343,9388,5246, 
 支付的各项税费(万元),2957,1865,1241,5173,4226,2605,1066,3275,2152,1454,837,2645,549,2149,2356,2352, 
 支付的其他与经营活动有关的现金(万元),7401,5058,3216,17075,13380,9015,4549,15798,12712,7723,3533,18876,3635,19111,13223,12682, 
 经营活动现金流出小计(万元),61562,43074,26869,80412,61877,39350,21406,65329,50107,33272,19212,61235,14960,51518,40902,28503, 
 经营活动产生的现金流量净额(万元),-14386,-13613,-11794,-4534,-16243,-8461,-8075,3551,-5776,-5313,-5825,6153,-4049,-2846,1590,1612, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,10,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,0,0,0,0,0,0,3,0,0,--,16,2,--,0,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,126, 
 收到的其他与投资活动有关的现金(万元),--,--,--,4000,--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,0,0,4011,0,0,0,3,0,0,0,16,2,0,0,126, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1008,814,231,1736,1345,911,135,307,221,166,51,658,121,1471,1208,756, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,4000,--,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),1008,814,231,5736,1345,911,135,307,221,166,51,658,121,1471,1208,756, 
 投资活动产生的现金流量净额(万元),-1007,-814,-231,-1725,-1345,-911,-134,-303,-221,-166,-51,-643,-120,-1471,-1208,-630, 
 吸收投资收到的现金(万元),--,--,--,22130,22130,--,--,520,520,520,--,--,--,--,--,4000, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),15380,7580,6580,15093,14593,9593,6593,12790,11800,7210,4460,12875,3459,10300,3500,2100, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),1601,1035,540,1322,1242,796,362,785,319,240,80,310,24,303,--,11, 
 筹资活动现金流入小计(万元),16981,8615,7120,38545,37965,10389,6955,14095,12639,7970,4540,13185,3483,10603,3500,6111, 
 偿还债务支付的现金(万元),13613,7613,5613,10620,10620,4560,3560,13434,12682,7194,5845,12401,4690,5590,1800,1050, 
 分配股利、利润或偿付利息所支付的现金(万元),1458,1291,163,639,483,310,1036,1474,1326,1181,154,977,143,1036,219,2733, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),2471,2182,1299,3023,1916,1293,730,1373,873,487,144,864,5,614,306,--, 
 筹资活动现金流出小计(万元),17542,11086,7076,14282,13019,6163,5326,16281,14881,8862,6142,14241,4838,7239,2325,3783, 
 筹资活动产生的现金流量净额(万元),-561,-2472,44,24263,24946,4226,1629,-2186,-2242,-892,-1602,-1056,-1355,3364,1175,2328, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-15955,-16898,-11981,18003,7358,-5147,-6580,1062,-8239,-6371,-7479,4454,-5524,-953,1557,3310, 
 加:期初现金及现金等价物余额(万元),30543,30543,30543,12540,12540,12540,12540,11478,11478,11478,11478,7024,7024,7977,6421,3111, 
 期末现金及现金等价物余额(万元),14588,13644,18562,30543,19898,7393,5959,12540,3239,5106,3999,11478,1500,7024,7977,6421, 
 净利润(万元),--,-311,--,3029,--,949,81,4264,--,--,-125,2854,--,1716,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,1032,--,1941,--,959,455,1568,--,--,111,390,--,1028,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,496,--,876,--,415,206,817,--,--,206,776,--,576,--,--, 
 无形资产摊销(万元),--,19,--,38,--,19,9,37,--,--,9,32,--,32,--,--, 
 长期待摊费用摊销(万元),--,2,--,3,--,1,1,4,--,--,2,47,--,35,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,0,--,25,--,16,0,39,--,--,1,39,--,1,--,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,331,--,639,--,310,136,574,--,--,154,677,--,436,--,--, 
 投资损失(万元),--,--,--,-10,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延所得税资产减少(万元),--,-155,--,-295,--,-147,-68,-87,--,--,3,-81,--,-219,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,801,--,-1873,--,-218,94,2898,--,--,-2468,-1277,--,-910,--,--, 
 经营性应收项目的减少(万元),--,-15881,--,-20746,--,-13456,-4626,-23222,--,--,-1511,-6013,--,-12128,--,--, 
 经营性应付项目的增加(万元),--,51,--,11838,--,2690,-4363,16658,--,--,-2206,8709,--,6587,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,-13613,--,-4534,--,-8461,-8075,3551,--,--,-5825,6153,--,-2846,--,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),14588,13644,18562,30543,19898,7393,5959,12540,3239,5106,3999,11478,1500,7024,7977,6421, 
 现金的期初余额(万元),30543,30543,30543,12540,12540,12540,12540,11478,11478,11478,11478,7024,7024,7977,6421,3111, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
