 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),61590,39152,16503,85108,54854,35500,16878,53096,46815,39235,29918, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),480,259,--,1298,616,614,614,1217,763,698,923, 
 收到的其他与经营活动有关的现金(万元),18650,6777,1829,11478,9666,6126,1968,13583,8162,4971,3840, 
 经营活动现金流入小计(万元),80720,46188,18332,97884,65136,42240,19460,67896,55740,44904,34682, 
 购买商品、接受劳务支付的现金(万元),44437,29321,12630,54092,40795,24265,9195,31274,30860,23743,14941, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),8543,5909,2911,9758,6408,4366,2175,7557,5993,5372,4358, 
 支付的各项税费(万元),4985,3999,2331,6650,4900,3524,2432,5099,5676,4334,3062, 
 支付的其他与经营活动有关的现金(万元),26730,12232,4952,18984,14620,10041,4078,15797,13417,8469,7794, 
 经营活动现金流出小计(万元),84695,51461,22826,89483,66723,42197,17880,59727,55946,41917,30154, 
 经营活动产生的现金流量净额(万元),-3975,-5273,-4494,8401,-1587,43,1579,8168,-207,2987,4527, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),294,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),22,0,0,7,7,3,3,3,4,7,4, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),316,0,0,7,7,3,3,3,4,7,4, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),9398,7645,707,3220,1795,1364,662,3856,3632,5347,3984, 
 投资所支付的现金(万元),14500,25782,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),23898,33427,707,3220,1795,1364,662,3856,3632,5347,3984, 
 投资活动产生的现金流量净额(万元),-23581,-33426,-707,-3213,-1788,-1361,-659,-3853,-3628,-5340,-3980, 
 吸收投资收到的现金(万元),32493,32493,--,--,--,--,--,--,15441,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--,--,6150,10900,3350, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,1356,--,148,--,--,--,--,--,166,--, 
 筹资活动现金流入小计(万元),32493,33849,0,148,0,0,0,0,21591,11066,3350, 
 偿还债务支付的现金(万元),500,500,--,220,200,200,--,240,15090,3050,2130, 
 分配股利、利润或偿付利息所支付的现金(万元),3484,36,20,1335,1149,44,23,1120,804,1391,421, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,154,--,845,--,2649,--,872,645,102,551, 
