 报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),54931,35520,17242,74208,53362,34277,14776,73747,53348,33005,15327,52836,41371,26093,12808,54480,42161,28882,11727,42800,28312,43787,56600, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),2494,860,495,1748,1037,750,197,1703,1161,750,440,325,324,88,--,--,--,--,--,57,67,67,--, 
 收到的其他与经营活动有关的现金(万元),1481,1432,1406,1636,821,441,57,3355,3503,2709,790,2062,172,22,417,2205,1243,132,328,2559,440,4071,1374, 
 经营活动现金流入小计(万元),58906,37812,19143,77592,55220,35469,15029,78804,58012,36464,16558,55223,41866,26203,13226,56685,43404,29014,12054,45416,28819,47925,57974, 
 购买商品、接受劳务支付的现金(万元),46796,32216,15799,57388,39676,23572,13586,48801,35195,21171,10290,42930,34025,26131,16611,38225,30825,21570,13054,36236,26718,33176,41454, 
