 报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,2010-03-31,2009-12-31,2008-12-31,2007-12-31, 
 销售商品、提供劳务收到的现金(万元),63527,45129,33606,19852,35721,34840,20546,9954,30101,21958,12115,5302,16327,12108,8294,3718,17148,11843,8684,4966,18171,13747,21007,31766,7757,16405,14253,11904, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),3054,3029,1984,1082,2005,1788,1288,900,2352,2140,1343,550,1860,1393,945,470,1346,1080,772,474,750,683,1919,858,377,725,725,747, 
 收到的其他与经营活动有关的现金(万元),1554,1043,637,219,910,755,383,124,1356,679,278,173,1186,688,453,184,3511,1362,952,474,1144,941,1421,2528,317,41144,44651,53442, 
 经营活动现金流入小计(万元),68135,49201,36228,21153,38636,37383,22217,10979,33809,24777,13736,6026,19373,14190,9693,4372,22004,14285,10408,5914,20064,15371,24347,35152,8450,58274,59629,66093, 
 购买商品、接受劳务支付的现金(万元),26835,20895,14683,7425,13593,17094,11787,6563,20604,13305,9204,3064,9422,6577,4454,1625,14861,9272,5041,2729,7649,5648,11852,17232,1316,10299,13427,10783, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),4727,3662,2543,1452,4048,3104,2178,1291,3437,2590,1756,1010,2361,1732,1211,772,2012,1570,1135,685,1938,1553,1906,1788,410,1027,1025,889, 
 支付的各项税费(万元),7308,5075,4272,1851,3173,2474,1238,517,1103,848,395,145,901,681,620,304,1801,1153,585,294,1721,1046,2205,3887,1298,1547,1063,624, 
 支付的其他与经营活动有关的现金(万元),3991,2711,1504,663,3148,2332,1412,958,3739,2428,1694,2707,2438,1799,1065,562,4523,2477,1951,729,2244,1626,4188,4135,442,36391,47087,33980, 
 经营活动现金流出小计(万元),42861,32344,23002,11391,23962,25004,16615,9329,28883,19172,13048,6926,15121,10788,7349,3263,23197,14472,8711,4437,13551,9873,20152,27042,3466,49264,62603,46276, 
 经营活动产生的现金流量净额(万元),25274,16856,13226,9762,14674,12379,5602,1649,4927,5605,687,-901,4252,3401,2343,1108,-1193,-187,1697,1477,6513,5498,4195,8110,4985,9010,-2974,19817, 
 收回投资所收到的现金(万元),229063,153360,95577,25870,74890,40900,33400,7500,2300,1300,1300,1300,65656,47300,29738,10500,58090,48090,38245,21550,42341,21416,9054,--,0,0,0,460, 
 取得投资收益所收到的现金(万元),1702,1021,594,77,242,178,137,27,9,7,7,7,356,301,237,92,559,459,305,169,290,125,45,--,0,0,0,64, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),2810,2795,2795,2784,32,9,7,6,46,18,4,--,62,35,35,35,168,69,38,37,10,10,94,8,5,5,0,1, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,130,--,0,--,79,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,1249,755,761, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),233576,157176,98966,28731,75294,41087,33544,7532,2434,1325,1311,1307,66074,47635,30010,10627,58818,48619,38588,21757,42641,21552,9193,8,5,1254,755,1286, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),21769,16108,11151,2011,7163,6074,5041,1362,6055,3867,1766,1119,13297,8013,3871,2572,10154,6844,4262,2279,2169,1504,617,1316,217,971,2112,3489, 
 投资所支付的现金(万元),254969,169510,129363,65970,83990,40500,33700,9700,7100,1300,1300,1300,55656,44087,26518,10358,52945,37945,34945,15800,56086,33466,10454,--,0,0,0,3580, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7397,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),276738,185618,140514,67982,91153,46575,38741,11062,13155,5167,3066,2419,68953,52100,30389,12930,70497,44789,39207,18079,58255,34970,11071,1316,217,971,2112,7068, 
 投资活动产生的现金流量净额(万元),-43162,-28442,-41548,-39251,-15859,-5487,-5198,-3530,-10720,-3842,-1755,-1112,-2879,-4465,-380,-2303,-11679,3829,-619,3678,-15614,-13418,-1878,-1308,-212,282,-1357,-5782, 
 吸收投资收到的现金(万元),--,--,--,--,40671,--,--,--,--,--,--,--,--,--,--,--,14013,14008,--,--,--,--,--,--,0,0,4682,0, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),7686,7686,3186,3186,4500,4500,4500,--,4500,4500,4500,--,--,--,--,--,3000,--,--,--,--,--,3102,1477,2600,30300,21019,41585, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,972,697,697,367,1980,1800,3,2,76,9,5,2,561,41,48,27,200,163,300,266,13,26,3828,43, 
 筹资活动现金流入小计(万元),7686,7686,3186,3186,46142,5197,5197,367,6480,6300,4503,2,76,9,5,2,17574,14049,48,27,200,163,3402,1743,2613,30326,29529,41628, 
 偿还债务支付的现金(万元),12346,7846,4500,--,4500,4500,4500,--,--,--,--,--,--,--,--,--,3000,--,--,--,--,--,4567,8000,4400,30700,33234,35470, 
 分配股利、利润或偿付利息所支付的现金(万元),2879,2817,2735,49,1105,1055,1005,571,367,317,272,270,907,907,907,--,17,--,--,--,--,--,56,230,234,4211,1985,2149, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),190,190,190,190,176,--,--,--,2677,2347,1980,0,127,129,128,128,1278,2,4,2,8,7,10,11,1,3790,65,37, 
 筹资活动现金流出小计(万元),15415,10854,7425,239,5781,5555,5505,571,3043,2664,2253,271,1034,1036,1035,128,4295,2,4,2,8,7,4634,8241,4635,38700,35283,37657, 
 筹资活动产生的现金流量净额(万元),-7729,-3167,-4238,2947,40361,-358,-308,-204,3436,3636,2250,-269,-958,-1027,-1031,-125,13279,14047,44,25,192,157,-1231,-6498,-2022,-8374,-5754,3971, 
 汇率变动对现金及现金等价物的影响(万元),31,30,-18,-132,-242,-190,-30,-24,274,45,26,-5,100,62,52,31,96,45,35,15,-38,-39,31,-20,-13,-41,-207,-46, 
 现金及现金等价物净增加额(万元),-25587,-14722,-32578,-26674,38934,6343,65,-2108,-2084,5445,1209,-2286,515,-2029,985,-1289,502,17736,1157,5196,-8947,-7802,1116,284,2737,877,-10292,17961, 
 加:期初现金及现金等价物余额(万元),44068,44068,44068,44068,5133,5133,5133,5133,7217,7217,7217,7217,6702,6702,6702,6702,6200,5565,5565,5565,14512,14512,13395,13112,10621,9744,20035,2075, 
 期末现金及现金等价物余额(万元),18481,29345,11490,17394,44068,11476,5199,3025,5133,12662,8425,4931,7217,4674,7687,5413,6702,23301,6722,10761,5565,6709,14512,13395,13358,10621,9744,20035, 
 净利润(万元),30741,--,15314,--,13040,--,7519,--,4377,--,1573,--,1207,--,1085,--,3715,--,1487,591,3643,--,8397,14769,--,--,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),786,--,-22,--,237,--,74,--,983,--,327,--,177,--,259,--,314,--,14,-41,159,--,-436,570,--,--,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),3388,--,1653,--,3200,--,1589,--,3019,--,1567,--,1375,--,704,--,1364,--,711,356,1472,--,1474,1358,--,--,--,--, 
 无形资产摊销(万元),282,--,114,--,231,--,102,--,167,--,73,--,71,--,32,--,63,--,27,13,55,--,55,49,--,--,--,--, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-54,--,234,--,28,--,-2,--,39,--,--,--,65,--,-0,--,298,--,70,58,25,--,-50,-2,--,--,--,--, 
 固定资产报废损失(万元),21,--,--,--,4,--,1,--,147,--,-2,--,16,--,-0,--,19,--,7,6,120,--,85,37,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),318,--,291,--,440,--,41,--,-173,--,-32,--,-216,--,-70,--,-78,--,-93,-53,-77,--,-266,-22,--,--,--,--, 
 投资损失(万元),-1702,--,-590,--,-242,--,-137,--,-9,--,-7,--,-356,--,-237,--,-559,--,-305,-169,-290,--,-45,--,--,--,--,--, 
 递延所得税资产减少(万元),-550,--,-250,--,-31,--,-9,--,-102,--,20,--,-75,--,-54,--,-76,--,-159,-65,-41,--,167,-85,--,--,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),-5211,--,-3627,--,-3419,--,-134,--,689,--,231,--,2644,--,471,--,-5290,--,-1678,-816,2385,--,-6929,-4968,--,--,--,--, 
 经营性应收项目的减少(万元),-4723,--,618,--,2258,--,-3227,--,-6062,--,-4757,--,-89,--,1128,--,454,--,1185,1620,-770,--,3289,-6540,--,--,--,--, 
 经营性应付项目的增加(万元),2151,--,-419,--,-900,--,-131,--,2020,--,1898,--,-550,--,-915,--,-1271,--,272,-84,-31,--,-1408,2971,--,--,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),-174,--,-91,--,-172,--,-83,--,-169,--,-204,--,-18,--,-61,--,-146,--,-73,-36,-138,--,-138,-26,--,--,--,--, 
 经营活动产生现金流量净额(万元),25274,--,13226,--,14674,--,5602,--,4927,--,687,--,4252,--,2343,--,-1193,--,1697,1477,6513,--,4195,8110,--,--,--,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),18481,29345,11490,17394,44068,11476,5199,3025,5133,12662,8425,4931,7217,4674,7687,5413,6702,23301,6722,10761,5565,6709,14512,13395,13358,10621,9744,20035, 
 现金的期初余额(万元),44068,44068,44068,44068,5133,5133,5133,5133,7217,7217,7217,7217,6702,6702,6702,6702,6200,5565,5565,5565,14512,14512,13395,13112,10621,9744,20035,2075, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
