 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),7005,61790,33631,26654,10762,65453,31900,21775,5621,72502,41479,27457,10134,67284,74652,65586,55491, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,878,--,--,--,971,--,--,--,1810,701,--,--,1175,1364,941,930, 
 收到的其他与经营活动有关的现金(万元),834,2818,2505,1341,1096,4916,3436,1527,841,3393,2500,1723,687,4494,4062,5398,2183, 
 经营活动现金流入小计(万元),7839,65485,36137,27995,11857,71341,35336,23302,6461,77706,44680,29180,10821,72953,80078,71925,58605, 
 购买商品、接受劳务支付的现金(万元),6970,44884,33782,19050,6736,41134,25880,13270,4349,50223,36269,26149,10317,46414,48884,44505,30244, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),3633,8703,6863,5133,3630,8312,6544,4941,3021,8336,6368,4735,3120,7763,7525,6327,5202, 
 支付的各项税费(万元),131,2108,1947,1285,1011,2652,2140,1219,911,2204,1706,1159,753,3013,3548,2520,1487, 
 支付的其他与经营活动有关的现金(万元),1300,4803,4247,2777,1049,4198,3394,2084,913,4209,3031,2023,927,3885,3021,3691,4432, 
 经营活动现金流出小计(万元),12034,60497,46839,28246,12426,56297,37958,21514,9194,64973,47373,34066,15117,61075,62978,57044,41365, 
 经营活动产生的现金流量净额(万元),-4195,4988,-10702,-251,-569,15044,-2622,1788,-2732,12733,-2694,-4885,-4296,11878,17100,14881,17239, 
 收回投资所收到的现金(万元),20000,72000,42000,32000,10000,31000,1000,1000,1000,--,--,--,--,6100,23700,--,6100, 
 取得投资收益所收到的现金(万元),222,872,508,403,123,480,27,27,21,186,56,56,--,228,188,38,402, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,7,2,0,--,--,--,--,--,0,0,0,--,0,0,--,1, 
 处置子公司及其他营业单位收到的现金净额(万元),43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,512,512,512,--,1221,--,--,--,--,--,--,--,6018,4181,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),20265,73391,43022,32915,10123,32701,1027,1027,1021,186,56,56,0,12346,28069,38,6503, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),901,2574,1368,1213,228,1687,662,567,453,6007,5479,3480,3278,2870,3581,6784,8223, 
 投资所支付的现金(万元),30000,97245,67245,57245,7000,75043,35000,35000,10,535,500,500,500,6100,24700,612,2060, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
