 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),18397,11311,17425,12151,6975,13845,13599,12013, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),329,255,244,196,130,191,147,178, 
 收到的其他与经营活动有关的现金(万元),554,416,253,185,174,295,76,358, 
 经营活动现金流入小计(万元),19281,11981,17922,12533,7278,14331,13822,12550, 
 购买商品、接受劳务支付的现金(万元),11327,9252,4068,3085,667,3549,4475,4021, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),3180,2316,3334,2576,1880,3214,2856,2173, 
 支付的各项税费(万元),2085,1339,2873,2071,1357,2816,2246,1527, 
 支付的其他与经营活动有关的现金(万元),3684,2166,4829,3107,2113,3619,3251,3350, 
 经营活动现金流出小计(万元),20277,15073,15104,10839,6017,13198,12828,11070, 
 经营活动产生的现金流量净额(万元),-996,-3092,2818,1693,1262,1133,994,1479, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,2,2,2,1,55,5, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),10,8,8,7,5,12,17,11, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),10,8,10,9,7,14,73,17, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),616,636,2255,1256,888,255,650,3027, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,4211,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),616,636,2255,1256,888,4466,650,3027, 
 投资活动产生的现金流量净额(万元),-606,-629,-2245,-1247,-881,-4452,-577,-3010, 
 吸收投资收到的现金(万元),--,--,2600,2600,2600,5000,--,1000, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),4200,3700,3650,2650,2650,6190,5490,4500, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,1150,179,1215, 
 筹资活动现金流入小计(万元),4200,3700,6250,5250,5250,12340,5669,6715, 
 偿还债务支付的现金(万元),2550,1250,5215,5215,2815,6065,5200,4700, 
 分配股利、利润或偿付利息所支付的现金(万元),116,66,128,107,96,2248,234,180, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,1150,68,1229, 
 筹资活动现金流出小计(万元),2666,1316,5343,5322,2911,9463,5502,6109, 
 筹资活动产生的现金流量净额(万元),1534,2384,907,-72,2339,2877,167,606, 
 汇率变动对现金及现金等价物的影响(万元),-32,-16,21,9,--,34,7,--, 
 现金及现金等价物净增加额(万元),-100,-1352,1501,383,2720,-409,590,-925, 
 加:期初现金及现金等价物余额(万元),2083,2083,583,583,583,992,402,1327, 
 期末现金及现金等价物余额(万元),1984,732,2083,965,3303,583,992,402, 
 净利润(万元),3466,1224,3629,2452,1288,3350,3114,2415, 
 少数股东损益(万元),--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--, 
 资产减值准备(万元),149,-25,40,147,-60,343,-76,-102, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),649,417,563,375,228,444,438,395, 
 无形资产摊销(万元),69,45,66,44,30,59,59,33, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),6,--,-1,-1,-1,-1,-3,-4, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--, 
 财务费用(万元),139,76,96,90,81,210,209,170, 
 投资损失(万元),--,--,--,--,0,--,--,0, 
 递延所得税资产减少(万元),-16,11,25,-3,27,-59,7,5, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--, 
 存货的减少(万元),-1112,-1380,-531,-298,138,-795,-115,-1814, 
 经营性应收项目的减少(万元),-4467,-1305,-4021,-475,-194,-4330,-2341,-1877, 
 经营性应付项目的增加(万元),121,-2155,2952,-637,-275,1913,-298,2258, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),-996,-3092,2818,1693,1262,1133,994,1479, 
 债务转为资本(万元),--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),1984,732,2083,965,3303,583,992,402, 
 现金的期初余额(万元),2083,2083,583,583,583,992,402,1327, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-100,-1352,1501,383,2720,-409,590,-925, 

