 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),20234,10916,4435,31025,14181,7048,2250,24836,15504,--,28254,16740,14204,13120,8886,4266, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),797,543,105,1085,1079,750,23,1676,1250,--,908,999,463,292,63,98, 
 收到的其他与经营活动有关的现金(万元),827,531,248,1467,512,125,84,1408,609,--,1517,1268,810,1464,166,57, 
 经营活动现金流入小计(万元),21858,11990,4788,33577,15772,7923,2357,27920,17363,--,30680,19007,15477,14876,9114,4421, 
 购买商品、接受劳务支付的现金(万元),14797,10396,4654,14723,9341,6160,3178,13787,11055,--,14153,8547,6097,5906,3689,2057, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),6068,4365,2578,5996,4523,3002,1825,4544,3421,--,3566,3047,2406,1799,1089,786, 
 支付的各项税费(万元),2349,1452,953,3658,2002,1113,952,2432,1624,--,1638,1763,1382,2541,874,492, 
 支付的其他与经营活动有关的现金(万元),4592,2828,1083,4711,2637,1390,865,4099,3316,--,3572,2813,2257,1046,1822,1226, 
 经营活动现金流出小计(万元),27807,19042,9267,29087,18503,11664,6820,24862,19416,--,22928,16171,12142,11291,7474,4561, 
 经营活动产生的现金流量净额(万元),-5949,-7052,-4479,4490,-2731,-3741,-4463,3058,-2053,-1332,7752,2837,3335,3584,1641,-139, 
 收回投资所收到的现金(万元),10500,7000,--,--,--,--,--,--,--,--,--,--,--,--,--,2295, 
 取得投资收益所收到的现金(万元),204,65,--,--,--,--,--,--,--,--,--,--,--,--,--,5, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,2,2,0,0,--,0,0,0,--,17,23,--,--,14,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,42,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,300,300,--,--,44,44,--,--,233,--,160,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),10704,7067,2,300,300,0,0,44,44,--,17,256,0,160,55,2300, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1467,1165,511,482,373,124,64,346,59,--,2767,361,199,839,397,337, 
 投资所支付的现金(万元),24000,20500,--,--,--,--,--,--,--,--,--,--,--,--,--,2285, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,12000,--,--,--,--,--,--,--,--,--,--,0,--,55, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),25467,21665,12511,482,373,124,64,346,59,--,2767,361,199,840,397,2677, 
 投资活动产生的现金流量净额(万元),-14763,-14599,-12509,-181,-73,-124,-64,-302,-15,--,-2750,-106,-199,-680,-342,-377, 
 吸收投资收到的现金(万元),3634,3634,--,23788,24694,--,--,--,--,--,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,1000,1000,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),3634,3634,0,23788,24694,0,0,0,0,--,0,0,0,1000,1000,0, 
 偿还债务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,1000,1000,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),2667,2667,--,--,--,--,--,--,--,--,1500,--,32,51,4,--, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,30,60,30,30,40,20,--,70,50,15,299,--,--, 
 筹资活动现金流出小计(万元),2667,2667,0,30,60,30,30,40,20,--,1570,50,1047,1350,4,0, 
 筹资活动产生的现金流量净额(万元),967,967,0,23758,24634,-30,-30,-40,-20,--,-1570,-50,-1047,-350,996,0, 
 汇率变动对现金及现金等价物的影响(万元),-317,-163,-37,417,170,127,-9,439,107,--,-18,-79,-8,-20,--,--, 
 现金及现金等价物净增加额(万元),-20061,-20847,-17026,28483,22000,-3768,-4566,3155,-1981,--,3414,2602,2082,2535,2295,-516, 
 加:期初现金及现金等价物余额(万元),47290,47290,47290,18806,18806,18806,18806,15651,15651,--,12237,9635,7553,5018,2723,3240, 
 期末现金及现金等价物余额(万元),27229,26443,30264,47290,40806,15039,14240,18806,13671,--,15651,12237,9635,7553,5018,2723, 
 净利润(万元),--,2490,--,6041,--,1926,--,5347,--,--,4354,3923,--,--,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,154,--,363,--,179,--,344,--,--,-157,349,--,--,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,125,--,224,--,105,--,203,--,--,154,130,--,--,--,--, 
 无形资产摊销(万元),--,56,--,109,--,55,--,109,--,--,40,41,--,--,--,--, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,0,--,1,--,1,--,1,--,--,4,12,--,--,--,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,0,--,-417,--,-127,--,-439,--,--,18,79,--,--,--,--, 
 投资损失(万元),--,-65,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延所得税资产减少(万元),--,-72,--,-38,--,-33,--,-28,--,--,3,-65,--,--,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,-2503,--,-1288,--,-842,--,-1045,--,--,-2360,-158,--,--,--,--, 
 经营性应收项目的减少(万元),--,-3726,--,-2993,--,-3198,--,-2076,--,--,2083,-1956,--,--,--,--, 
 经营性应付项目的增加(万元),--,-3737,--,2488,--,-1806,--,642,--,--,3615,482,--,--,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,227,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,-7052,--,4490,--,-3741,--,3058,--,--,7752,2837,--,--,--,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),27229,26443,30264,47290,40806,15039,14240,18806,13671,--,15651,12237,9635,7553,5018,2723, 
 现金的期初余额(万元),47290,47290,47290,18806,18806,18806,18806,15651,15651,--,12237,9635,7553,5018,2723,3240, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-20061,-20847,-17026,28483,22000,-3768,-4566,3155,-1981,--,3414,2602,2082,2535,2295,-516, 

