 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),24455,14838,29699,18319,26068,20928,16380,8364, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),46,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),173,61,743,697,686,1478,1103,1923, 
 经营活动现金流入小计(万元),24674,14899,30442,19016,26754,22405,17484,10287, 
 购买商品、接受劳务支付的现金(万元),6823,4195,7384,6008,6675,6403,4898,2949, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),5779,3933,6505,5128,5516,4236,3667,2556, 
 支付的各项税费(万元),1974,1332,1532,1176,1791,1425,1242,918, 
 支付的其他与经营活动有关的现金(万元),3211,1880,3138,1922,2150,2103,1585,1832, 
 经营活动现金流出小计(万元),17788,11340,18560,14234,16132,14168,11393,8254, 
 经营活动产生的现金流量净额(万元),6886,3559,11882,4782,10623,8238,6091,2033, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),13,0,--,--,4,5,3447,1, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),13,0,0,0,4,5,3447,1, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1462,946,5242,3312,4321,3889,5226,5777, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,136,363,0,35, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),1462,946,5242,3312,4457,4252,5226,5812, 
 投资活动产生的现金流量净额(万元),-1449,-946,-5242,-3312,-4452,-4247,-1779,-5811, 
 吸收投资收到的现金(万元),23166,--,--,--,--,--,35,6500, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),602,602,1000,1000,1600,1600,2810,7710, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),110,110,298,--,530,1317,303,2450, 
 筹资活动现金流入小计(万元),23877,711,1298,1000,2130,2917,3148,16660, 
 偿还债务支付的现金(万元),602,602,1000,1000,6500,3000,8320,12900, 
 分配股利、利润或偿付利息所支付的现金(万元),2,2,1,1,360,1364,589,874, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),896,41,65,37,221,62,--,79, 
 筹资活动现金流出小计(万元),1500,645,1066,1038,7081,4427,8909,13854, 
 筹资活动产生的现金流量净额(万元),22377,66,233,-38,-4951,-1510,-5761,2806, 
 汇率变动对现金及现金等价物的影响(万元),-112,-57,71,30,19,-7,-49,-12, 
 现金及现金等价物净增加额(万元),27701,2621,6944,1462,1238,2473,-1498,-983, 
 加:期初现金及现金等价物余额(万元),13270,13270,6326,6326,5088,2615,4113,5096, 
 期末现金及现金等价物余额(万元),40971,15891,13270,7788,6326,5088,2615,4113, 
 净利润(万元),--,1218,5169,--,4917,4900,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,57,66,--,17,107,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,1218,2575,--,2258,1926,--,--, 
 无形资产摊销(万元),--,74,134,--,128,128,--,--, 
