 报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-06-30,2004-12-31, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,0,0,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,0,--,0,0,0,--,--,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),117097300,105407500,72519400,30244800,134227200,103641100,68646500,33661500,77840200,48564200,24552900,727800,20442400,18773900,12471700,3942100,4380100,3033300,2185900,427300,2184300,1155300,1151300,126000,1337600,558401,558401,0,560471,481789,491540,0,408591,137330,137101,578,841978,776138,168783,0,881943,836410,118280,--,128851,59003,40840,--,105315,128857,75522,--,76161,47207,43080, 
 筹资活动产生的现金流量净额(万元),11790300,3406700,-4978000,-4439700,482000,-9075600,-929300,1866300,23434200,24098100,21398800,19500400,24478200,16655200,6319900,4789000,7289700,1926900,714900,-232600,-1837600,-1119800,-1143900,-126000,3000900,2555666,2555666,3000000,1309419,-471989,-481740,4900,3526055,-129980,-132201,-578,652038,712978,-166333,0,-59693,-836410,-118280,--,893639,-59003,-40840,--,745485,131143,184478,--,823839,-47207,556920, 
 汇率变动对现金及现金等价物的影响(万元),275400,280300,55600,-76100,-190000,-146900,-70400,-21200,439000,246800,194400,23200,352100,210200,-26100,-17200,106800,51400,103900,76900,-104800,--,-54200,--,-23000,--,34195,--,-136185,--,--,--,--,0,--,--,--,0,--,0,--,0,0,--,0,0,0,--,--,--,--,--,--,--,0, 
 现金及现金等价物净增加额(万元),4018600,6532900,1484900,2162000,-9995300,-13852900,-9536400,-10327800,-1727600,3036100,1566200,-1030200,7590300,16964500,2034200,-2403400,-7733200,-10036200,-9338100,-9680300,-2605800,-9598400,-8327100,-9428800,-2045400,-1752697,-3201739,8246504,14503155,377342,-742583,3051210,3347326,1132252,2311049,-3474026,3818500,1808457,-1236577,1124811,2507849,1677717,374522,-1215320,-1369723,-154831,-1752092,-2444759,2788589,-1537164,-722335,-1868472,-332018,-403554,2627141, 
 加:期初现金及现金等价物余额(万元),14745800,14745800,14745800,14745800,24741100,24741100,24741100,24741100,26468700,26468700,26468700,26468700,18878400,18878400,18878400,18878400,26611600,26611600,26611600,26611600,29217400,29217400,29217400,29217400,31262800,31262723,31262723,31262723,16759568,16759568,16759568,16759568,13412241,13412241,13412241,13412241,9593742,9593742,9593742,9593742,7085893,7085893,7085893,7085893,8455616,8455616,8455616,8455616,5667026,5667026,5667026,5667026,5999044,5999044,3371903, 
 期末现金及现金等价物余额(万元),18764400,21278700,16230700,16907800,14745800,10888200,15204700,14413300,24741100,29504800,28034900,25438500,26468700,35842900,20912600,16475000,18878400,16575400,17273500,16931300,26611600,19619000,20890300,19788600,29217400,29510026,28060984,39509227,31262723,17136910,16016985,19810778,16759568,14544494,15723291,9938216,13412241,11402199,8357164,10718553,9593742,8763610,7460414,5870573,7085893,8300785,6703524,6010857,8455616,4129862,4944691,3798554,5667026,5595490,5999044, 
 净利润(万元),5651500,--,2890000,--,5500200,--,2852200,--,5367800,--,2704000,--,5099700,--,2412600,--,4736000,--,2286700,--,4120000,--,1950200,--,3431100,--,1726576,--,2735511,--,1291069,--,1917859,0,908259,--,1321514,0,678137,0,1251583,0,637479,--,549878,392310,255379,97829,335592,246042,160353,73206,255800,122234,196620, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,0,--,0,0,0,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,0,0,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),300,--,2692900,--,5528500,--,2717000,--,4910400,--,2651200,--,3879500,--,2029200,--,2419300,--,1170600,--,1307400,--,454300,--,811900,--,285176,--,749998,0,182904,0,458742,0,151418,0,318216,0,191997,0,371847,0,110859,--,324412,250825,152537,142107,370663,328350,213725,110672,342487,222334,313772, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),196400,--,92800,--,177800,--,86200,--,179100,--,83000,--,132800,--,57600,--,116800,--,58200,--,110900,--,54600,--,100400,--,48789,--,88276,--,43947,--,83552,0,40968,--,73704,0,35779,0,62976,0,30042,--,52894,38948,25717,16859,65793,48245,31843,15036,55476,27582,50939, 
 无形资产摊销(万元),76200,--,24700,--,49400,--,24000,--,75200,--,33700,--,30300,--,14500,--,24300,--,10900,--,18100,--,7700,--,13200,--,5771,--,9998,--,4607,--,8089,0,3463,--,6587,0,3107,0,7361,0,3641,--,6300,17981,2878,--,5245,6874,2538,--,--,--,--, 
 长期待摊费用摊销(万元),60000,--,31600,--,66100,--,30300,--,64100,--,30200,--,59700,--,28700,--,58300,--,27300,--,52000,--,24800,--,45400,--,20408,--,40962,--,17999,--,32639,0,16029,--,24705,0,11446,0,22093,0,9701,--,18735,13442,8351,--,1119,19128,2020,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,0,--,0,0,0,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,0,--,0,0,0,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-3300,--,300,--,-1600,--,-2200,--,400,--,--,--,-6500,--,-7200,--,800,--,100,--,700,--,--,--,400,--,-5,--,1329,--,--,--,-1726,0,24,--,314,0,-29,0,1485,0,492,--,-515,-271,-58,10,-5627,-2951,-2925,--,-260,-33,-1079, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,0,--,0,0,0,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),-79800,--,-723400,--,379700,--,217200,--,-281200,--,-79800,--,-299100,--,-143500,--,-226200,--,-203700,--,156500,--,38000,--,18000,--,13863,--,85984,--,-372,--,8763,0,2372,--,-1242,0,-3305,0,-29733,0,-11670,--,20506,5079,5978,--,-6560,-3744,5858,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,0,0,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,0,--,0,0,0,--,--,--,--,--,--,--,--, 
 财务费用(万元),-3821800,--,-2168800,--,-4686600,--,-2269000,--,-5662200,--,-3137900,--,-6648600,--,-3191700,--,-5143800,--,-2305400,--,-3450900,--,-1340800,--,-1168000,--,-320907,--,90750,--,33860,--,75558,0,37458,--,90760,0,--,0,--,0,0,--,0,0,0,--,--,--,--,--,--,--,--, 
 投资损失(万元),-1152100,--,-774200,--,-464500,--,-87600,--,-572100,--,-277000,--,-145200,--,-90300,--,-27800,--,-1000,--,-45800,--,-5100,--,-17200,--,-2884,--,-5684,--,-412395,--,-2799,0,-21735,--,-40941,0,-19536,0,-13243,0,28860,--,100154,-11259,-9586,685,-17198,-12246,-16709,-28574,45908,3435,25246, 
 递延所得税资产减少(万元),-488100,--,341300,--,-537000,--,159000,--,-546900,--,-162300,--,-521300,--,-176100,--,-333600,--,-112200,--,-246800,--,-78800,--,-137300,--,-76079,--,-79894,--,-80242,--,309,0,-17639,--,-16585,0,63563,0,-41479,0,-57036,--,97007,11964,99894,35190,-72803,-43172,-31515,--,-63204,-48274,-46116, 
 递延所得税负债增加(万元),-3700,--,-2300,--,-3700,--,-1900,--,-11000,--,-4600,--,--,--,600,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,0,--,0,0,0,--,--,--,--,-9474,--,--,--, 
 存货的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,0,--,0,0,0,--,--,--,--,--,--,--,--, 
 经营性应收项目的减少(万元),-58983700,--,-10544000,--,-37834500,--,-32290000,--,-73007500,--,-22663500,--,-19945900,--,-11503400,--,-21625100,--,-25801000,--,-22005800,--,-7268900,--,-33260500,--,-34769373,--,-29448833,--,-25698549,--,-53745231,0,-18614879,--,-20293030,0,-31178234,0,-29202934,0,-6787819,--,-17040584,15418440,-5687868,-49510,-9294788,6117788,-6613678,-20338,-68076,-7871,-56555, 
 经营性应付项目的增加(万元),19128600,--,-3670400,--,17758900,--,2962200,--,50284600,--,7418100,--,54246600,--,31638300,--,39116800,--,21831100,--,50824300,--,31300700,--,39420400,--,35167632,--,45597181,--,25592303,--,50613545,0,14712552,--,28864187,0,30891398,0,38120443,0,8219061,--,21413891,-10842699,7868728,23351,10505790,-8343414,5326506,37126,150563,62033,120195, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,0,0,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,0,0,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,0,--,0,0,0,--,--,--,--,13724,--,--,1569118, 
 经营活动产生现金流量净额(万元),-33836000,--,-11809500,--,-14067300,--,-25602600,--,-19199300,--,-13404900,--,35882000,--,21069300,--,19115800,--,-3038400,--,30840600,--,25136700,--,9257800,--,2098967,--,19865578,--,975130,--,-550700,0,-2781711,--,10348189,0,674322,0,10550400,0,2183609,--,5542678,5294763,2721950,264577,1887227,-1639101,-921985,185058,708277,369427,2175693, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,0,--,0,0,0,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,0,--,0,0,0,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,0,--,0,0,0,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),18764400,21278700,16230700,16907800,14745800,10888200,15204700,14413300,24741100,29504800,28034900,25438500,26468700,35842900,20912600,16475000,18878400,16575400,17273500,16931300,26611600,19619000,20890300,19788600,29217400,29510026,28060984,39509227,31262723,17136910,16016985,19810778,16759568,14544494,15723291,9938216,13412241,11402199,8357164,10718553,9593742,8763610,7460414,5870573,7085893,8300785,6703524,6010857,8455616,4129862,4944691,3798554,5667026,5595490,5999044, 
 现金的期初余额(万元),14745800,14745800,14745800,14745800,24741100,24741100,24741100,24741100,26468700,26468700,26468700,26468700,18878400,18878400,18878400,18878400,26611600,26611600,26611600,26611600,29217400,29217400,29217400,29217400,31262800,31262723,31262723,31262723,16759568,16759568,16759568,16759568,13412241,13412241,13412241,13412241,9593742,9593742,9593742,9593742,7085893,7085893,7085893,7085893,8455616,8455616,8455616,8455616,5667026,5667026,5667026,5667026,5999044,5999044,3371903, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,0,--,0,0,0,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,0,--,0,0,0,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),4018600,6532900,1484900,2162000,-9995300,-13852900,-9536400,-10327800,-1727600,3036100,1566200,-1030200,7590300,16964500,2034200,-2403400,-7733200,-10036200,-9338100,-9680300,-2605800,-9598400,-8327100,-9428800,-2045400,-1752697,-3201739,8246504,14503155,377342,-742583,3051210,3347326,1132252,2311049,-3474026,3818500,1808457,-1236577,1124811,2507849,1677717,374522,-1215320,-1369723,-154831,-1752092,-2444759,2788589,-1537164,-722335,-1868472,-332018,-403554,2627141, 

