 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),156317,100650,239551,157618,96994,203951,198352,149322,110106, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),556,322,1740,712,588,856,1011,1061,1126, 
 收到的其他与经营活动有关的现金(万元),13185,7308,13622,8306,2991,14181,5498,5160,2523, 
 经营活动现金流入小计(万元),170057,108281,254913,166636,100572,218989,204861,155543,113755, 
 购买商品、接受劳务支付的现金(万元),148522,88134,144691,102328,59213,145612,142153,118045,68229, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),7948,5278,9926,7068,4542,10135,8926,8085,6888, 
 支付的各项税费(万元),15775,11659,16540,12823,8655,15074,13603,8686,8144, 
 支付的其他与经营活动有关的现金(万元),24630,16926,33088,24523,15959,26813,20980,15020,15988, 
 经营活动现金流出小计(万元),196876,121997,204246,146742,88369,197635,185662,149837,99249, 
 经营活动产生的现金流量净额(万元),-26819,-13716,50668,19893,12203,21354,19199,5706,14506, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,10,1469,--, 
 取得投资收益所收到的现金(万元),12,--,12,12,--,12,11,10,8, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),6,2,6,2,2,17,1,8,18, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,65, 
 收到的其他与投资活动有关的现金(万元),832,--,3167,584,584,2600,1625,918,5210, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),850,2,3185,598,586,2629,1648,2405,5301, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),66049,38103,42596,31660,21172,27487,33032,12634,18463, 
 投资所支付的现金(万元),--,--,--,--,--,675,10,500,2032, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),517,--,--,--,--,--,4697,850,--, 
 支付的其他与投资活动有关的现金(万元),836,--,--,156,--,--,--,6831,10, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),67403,38103,42596,31816,21172,28162,37739,20815,20505, 
 投资活动产生的现金流量净额(万元),-66554,-38101,-39411,-31218,-20586,-25533,-36091,-18410,-15204, 
 吸收投资收到的现金(万元),107879,107879,--,--,--,--,17880,--,8077, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),37188,26788,83440,50228,41718,57100,52626,48266,29920, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),7726,8683,700,700,700,530,2553,243,4175, 
 筹资活动现金流入小计(万元),152794,143350,84140,50928,42418,57630,73059,48509,42172, 
 偿还债务支付的现金(万元),30388,25788,69420,36228,32928,46156,50636,28487,17516, 
 分配股利、利润或偿付利息所支付的现金(万元),2778,2037,4018,3160,2023,3510,3724,3195,2140, 
 其中：子公司支付给少数股东的股利、利润(万元),420,420,420,420,210,400,--,240,200, 
 支付其他与筹资活动有关的现金(万元),3886,2473,3843,6859,3500,--,42,64,18425, 
 筹资活动现金流出小计(万元),37052,30298,77281,46248,38451,49666,54402,31746,38082, 
 筹资活动产生的现金流量净额(万元),115741,113052,6859,4680,3967,7965,18657,16763,4090, 
 汇率变动对现金及现金等价物的影响(万元),--,--,12,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),22368,61235,18127,-6645,-4416,3785,1764,4059,3392, 
 加:期初现金及现金等价物余额(万元),34498,34498,16371,16371,16371,12586,10822,6763,3371, 
 期末现金及现金等价物余额(万元),56867,95734,34498,9726,11955,16371,12586,10822,6763, 
 净利润(万元),--,10531,23404,--,9501,20130,17387,13303,11320, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,2623,1673,--,1999,2434,1047,1266,-179, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,3812,6170,--,2885,5452,5022,4239,2831, 
 无形资产摊销(万元),--,705,1235,--,605,1114,959,695,644, 
 长期待摊费用摊销(万元),--,476,963,--,491,757,52,27,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,2,94,--,36,132,48,123,-2, 
 固定资产报废损失(万元),--,72,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,1606,3690,--,1897,3508,3778,3058,2075, 
 投资损失(万元),--,--,-12,--,--,-12,-6,-10,-7, 
 递延所得税资产减少(万元),--,-152,-502,--,-238,175,-1188,111,-90, 
 递延所得税负债增加(万元),--,5,--,--,--,--,--,--,--, 
 存货的减少(万元),--,2916,5349,--,-1794,-1481,-2432,-16657,-5390, 
 经营性应收项目的减少(万元),--,-27562,135,--,-11273,-15640,906,-17123,-3827, 
 经营性应付项目的增加(万元),--,-8749,8468,--,8095,4785,-6373,16676,7131, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,-13716,50668,--,12203,21354,19199,5706,14506, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),56867,95734,34498,9726,11955,16371,12586,10822,6763, 
 现金的期初余额(万元),34498,34498,16371,16371,16371,12586,10822,6763,3371, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),22368,61235,18127,-6645,-4416,3785,1764,4059,3392, 

