 报告日期,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),28519,25146,15217,11130,28274,20142,15289,12071,32428,24291,14800,21483,17663,14686,13088, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),9373,4941,4571,2098,8377,4711,3045,353,1890,1309,1024,2892,1844,1899,1175, 
 经营活动现金流入小计(万元),37892,30087,19788,13228,36651,24852,18334,12424,34318,25600,15823,24375,19507,16585,14263, 
 购买商品、接受劳务支付的现金(万元),35916,18540,10855,7338,21065,18240,11020,8309,20198,17788,13273,16826,13274,9438,11779, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),4564,3267,2259,1385,3112,2520,1836,1107,2812,2173,1480,2420,1498,1005,635, 
 支付的各项税费(万元),1758,1669,1073,969,1621,1102,1069,893,1220,984,741,1516,1225,1033,572, 
 支付的其他与经营活动有关的现金(万元),8637,2727,2199,1358,9883,3029,1948,984,9565,3633,1599,4680,3476,1669,1114, 
 经营活动现金流出小计(万元),50875,26203,16386,11050,35681,24893,15873,11293,33794,24577,17093,25441,19474,13146,14100, 
 经营活动产生的现金流量净额(万元),-12983,3885,3402,2178,970,-40,2461,1131,524,1022,-1270,-1066,33,3439,163, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),7,0,0,--,--,--,--,--,--,--,--,--,--,--,4, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),7,0,0,0,0,0,0,0,0,0,0,0,0,0,4, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1440,134,59,24,112,124,97,21,178,168,160,199,432,197,31, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,84,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),1440,134,59,24,112,124,97,21,178,168,160,199,432,282,31, 
 投资活动产生的现金流量净额(万元),-1433,-134,-59,-24,-112,-124,-97,-21,-178,-168,-160,-199,-432,-282,-27, 
 吸收投资收到的现金(万元),--,--,--,--,18589,18589,--,--,--,--,--,--,1200,4600,1000, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),7000,--,--,--,--,--,--,--,--,--,--,--,--,1000,2500, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),4607,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),11607,0,0,0,18589,18589,0,0,0,0,0,0,1200,5600,3500, 
 偿还债务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,230,770,3000, 
 分配股利、利润或偿付利息所支付的现金(万元),1024,1024,--,--,--,--,--,--,--,--,--,102,472,31,76, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),510,176,165,58,1014,68,55,55,50,50,--,105,125,30,--, 
 筹资活动现金流出小计(万元),1535,1200,165,58,1014,68,55,55,50,50,0,207,827,831,3076, 
 筹资活动产生的现金流量净额(万元),10072,-1200,-165,-58,17575,18521,-55,-55,-50,-50,0,-207,373,4769,424, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-4344,2550,3178,2096,18433,18357,2308,1055,296,804,-1430,-1472,-26,7927,559, 
 加:期初现金及现金等价物余额(万元),27075,27075,27075,27075,8642,8642,8642,8642,8346,8346,8346,9818,9844,1916,1358, 
 期末现金及现金等价物余额(万元),22731,29625,30253,29171,27075,26999,10950,9697,8642,9150,6916,8346,9818,9844,1916, 
 净利润(万元),5189,--,2558,--,5092,--,2419,--,4750,--,--,4268,4051,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),773,--,311,--,521,--,268,--,-217,--,--,401,320,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),221,--,108,--,198,--,98,--,184,--,--,172,166,--,--, 
 无形资产摊销(万元),9,--,5,--,9,--,4,--,8,--,--,7,4,--,--, 
 长期待摊费用摊销(万元),23,--,10,--,21,--,10,--,24,--,--,25,19,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-5,--,1,--,6,--,--,--,--,--,--,--,196,--,--, 
 固定资产报废损失(万元),1,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,2,--,--, 
 投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延所得税资产减少(万元),-115,--,-46,--,-78,--,-40,--,33,--,--,-59,-49,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),-18225,--,-6515,--,-2110,--,624,--,-1994,--,--,-5720,-6662,--,--, 
 经营性应收项目的减少(万元),-5073,--,689,--,-7624,--,-3018,--,-6204,--,--,-3492,-4074,--,--, 
 经营性应付项目的增加(万元),4220,--,6281,--,4936,--,2097,--,3940,--,--,3332,6060,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),-12983,--,3402,--,970,--,2461,--,524,--,--,-1066,33,--,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
