 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2011-09-30,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),19043,124290,87943,54211,21121,109153,74525,42590,15958,77421,53421,31356,12402,69088,49401,30352,13841,59644,43557,24718,9257,55777,41788,24271,52131,38887,40460,38608,30798, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),1491,6539,2827,1822,1186,5726,3960,2374,1536,4963,3075,1886,760,4378,3395,2175,830,3749,2241,537,206,2584,1512,859,2332,146,1886,1370,1277, 
 收到的其他与经营活动有关的现金(万元),231,2999,2439,2277,358,3052,1822,1567,551,2797,2246,1778,372,2337,3439,2146,1076,7332,3854,3693,1710,4447,1985,1758,531,332,5272,2023,1627, 
 经营活动现金流入小计(万元),20765,133828,93208,58310,22665,117931,80307,46531,18045,85181,58742,35020,13534,75802,56235,34673,15747,70724,49652,28948,11173,62808,45285,26888,54993,39364,47617,42002,33702, 
 购买商品、接受劳务支付的现金(万元),9321,53299,40638,24953,13415,52746,40919,26935,14701,41813,27682,17288,8924,31679,22965,14844,6890,31446,23559,14068,6736,30626,22398,14732,26092,18382,22913,19109,17447, 
