 报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-03-31,2008-12-31,2007-12-31, 
 销售商品、提供劳务收到的现金(万元),53883,246898,174872,119076,76360,200504,129381,80857,36968,157847,109511,77543,38193,137366,98486,59343,23939,119987,75282,46524,19857,94992,60826,43173,21921,67545,43306,29118,13435,94075,68605,39540,17663,81109,63410,36399,16739,45141,27722,9087,37328,21636, 
 客户存款和同业存放款项净增加额(万元),--,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--, 
 向中央银行借款净增加额(万元,--,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--, 
 收到原保险合同保费取得的现金(万元),--,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--, 
 收到再保险业务现金净额(万元),--,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--, 
 保户储金及投资款净增加额(万元),--,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--, 
 处置交易性金融资产净增加额(万元),--,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--, 
 拆入资金净增加额(万元),--,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--, 
 回购业务资金净增加额(万元),--,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--, 
 收到的税费返还(万元),327,6561,2937,27,14,5213,3225,934,941,6736,3913,3284,1625,7209,5840,5264,3018,4324,2583,2221,0,9102,6630,3642,1846,4772,3694,1862,1264,8283,964,947,187,5164,2951,1236,839,3082,1743,528,2782,1916, 
 收到的其他与经营活动有关的现金(万元),3931,15302,8213,4379,2999,14850,7418,3799,980,6506,4049,3307,2538,7010,4456,3519,2108,10714,4707,2825,2378,4107,5263,3885,2181,3991,2888,1948,1220,3184,1371,854,245,4790,696,667,276,1351,1167,164,1039,624, 
 经营活动现金流入小计(万元),58142,268761,186022,123482,79372,220566,140024,85590,38889,171088,117474,84134,42355,151585,108782,68125,29064,135026,82571,51571,22235,108201,72720,50700,25948,76309,49888,32928,15919,105541,70941,41341,18095,91064,67058,38301,17855,49574,30633,9779,41150,24176, 
