 报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2009-09-30,2008-12-31,2007-12-31, 
 销售商品、提供劳务收到的现金(万元),30426,17141,58213,29202,16026,8634,47253,33966,22585,13417,74963,47659,38703,31387,32266,21454,13551,10644,53975,44254,26681,9825,39013,24765,11575,3936,23616,8619,5613,2376,13238,8002,5963,12692,8817,18864,8527, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 收到的其他与经营活动有关的现金(万元),1099,744,1443,1782,1421,786,2538,4460,2499,3253,3966,2243,1210,667,1699,2012,1229,320,1434,1805,1222,582,903,675,425,720,1155,1301,388,139,306,219,144,100,536,91,74, 
 经营活动现金流入小计(万元),31524,17885,59657,30984,17447,9420,49791,38426,25085,16670,78928,49903,39912,32054,33965,23467,14780,10964,55409,46059,27903,10407,39916,25440,12000,4656,24771,9921,6001,2515,13545,8221,6107,12792,9353,18955,8601, 
 购买商品、接受劳务支付的现金(万元),22096,12720,42376,34449,22554,12239,18896,17979,14115,8247,37387,27972,20292,14138,25463,16783,11168,5807,29034,24957,18817,12319,27906,22080,17293,8725,10273,5247,2456,1384,4624,2828,1752,8088,6947,9597,1954, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 支付给职工以及为职工支付的现金(万元),4547,2784,6635,5188,3807,1452,6429,5379,3803,1601,6856,5513,4071,1553,6770,5181,3804,1331,5887,4442,3163,1205,5160,3946,2893,1973,3588,2750,2054,1300,2508,1888,863,2351,1909,1888,1818, 
 支付的各项税费(万元),3426,2122,3983,3227,1380,455,4322,3116,2232,1216,7131,5734,4459,3298,6972,4692,2995,1605,7754,5742,3380,1428,3905,2489,1391,794,2405,1629,1078,518,1533,1068,623,1360,1197,2671,622, 
 支付的其他与经营活动有关的现金(万元),3641,1627,8708,5040,4256,2830,5669,4182,3078,1479,3436,3827,2125,1260,8557,3356,2193,1013,2743,2182,1562,799,2638,1089,613,737,1077,1232,830,488,744,711,420,731,880,627,441, 
 经营活动现金流出小计(万元),33711,19254,61702,47904,31998,16976,35316,30656,23227,12543,54810,43046,30946,20249,47763,30012,20159,9756,45417,37324,26921,15750,39609,29604,22190,12228,17344,10857,6418,3689,9409,6495,3657,12529,10933,14782,4835, 
 经营活动产生的现金流量净额(万元),-2186,-1370,-2045,-16919,-14551,-7556,14475,7770,1858,4127,24119,6856,8966,11805,-13798,-6546,-5379,1208,9992,8735,981,-5343,307,-4164,-10190,-7572,7427,-937,-417,-1174,4136,1726,2450,263,-1580,4173,3766, 
 收回投资所收到的现金(万元),29300,28700,92000,62200,61000,19000,36500,8500,7500,4000,32500,14600,13050,5000,27000,9000,6000,3000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,60,0, 
 取得投资收益所收到的现金(万元),348,344,1186,630,618,216,699,398,185,33,911,218,205,27,250,43,30,16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,12,9, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,1,0,0,--,0,0,--,--,1,1,1,--,1,--,--,--,1,1,1,0,--,--,--,--,1,1,1,0,0,0,0,0,--,0,28, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 投资活动现金流入小计(万元),29648,29044,93188,62831,61618,19216,37199,8898,7685,4033,33411,14819,13256,5027,27251,9043,6030,3016,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,72,37, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),304,105,407,261,127,38,249,200,160,56,384,235,149,5,353,292,190,65,838,716,590,456,906,562,362,203,9999,9644,9131,54,68,57,44,77,48,114,140, 
 投资所支付的现金(万元),54300,38301,92090,80090,50010,37010,47500,37500,36000,15000,23895,19595,17195,8195,42195,17195,9195,6000,--,--,--,--,276,276,276,40,147,147,147,147,--,--,0,0,--,0,0, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,160,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3819,1419,--,--,--,--,--,--,248,--,0,0,--,0,0, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5,5,5,5,--,--,0,0,--,0,0, 
