 报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),534829,2413442,1760355,1105258,494029,2214004,1762548,954783,468476,1941217,14968,14964,--,98719,142547,109419,67948,383761,300640,182514,27886,234551,169424,87917,51114,167491,128665,38969,45065,171100,135905,101648,256699,124560,146881,271663, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,1746,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),9103,89855,45214,19152,14277,82802,47558,18217,8108,82508,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),25,2522,447,126,97,130,388,--,--,14814,4814,4814,4814,14564,7827,7923,2837,25097,21451,13711,5797,23646,15054,5713,2708,17672,15584,13545,2618,26080,16882,10564,13788,4585,26667,24926, 
 收到的其他与经营活动有关的现金(万元),90530,59332,37036,40710,17318,55803,18649,13539,7758,188277,561,868,749,6904,3522,2154,2228,2814,6063,3091,1271,11392,7849,6050,3485,5922,3620,2290,329,2563,1665,1169,2497,533,3520,577, 
 经营活动现金流入小计(万元),634486,2565150,1843053,1165246,525721,2352739,1829142,986538,484342,2226816,20343,20646,7309,120187,153896,119496,73013,411672,328154,199316,34955,269590,192327,99681,57307,191085,147869,54804,48012,199743,154453,113381,272984,129677,177069,297167, 
 购买商品、接受劳务支付的现金(万元),433962,1809521,1353375,888005,421744,1650656,1350196,739198,316483,1195458,22026,22018,8199,112235,159307,128904,70517,274235,342049,279136,75072,319550,243772,177398,69005,229435,158188,47189,37526,194091,136860,86965,250043,106035,148995,271320, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),12,279,761,3110,1014,497,164,256,45,416,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--, 
