 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),17050,11546,4666,23566,16395,11269,2783,22202,15934,10148,2735,20478,17931,13532,9954, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,4,4,4,--,11,38,19,48, 
 收到的其他与经营活动有关的现金(万元),327,199,399,312,355,158,402,407,321,241,400,445,455,817,101, 
 经营活动现金流入小计(万元),17377,11746,5064,23878,16750,11427,3185,22613,16259,10393,3135,20934,18424,14368,10103, 
 购买商品、接受劳务支付的现金(万元),7784,5335,2083,8054,4989,3066,788,6115,4109,1749,590,9597,7633,4360,3714, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),4001,2683,1238,4431,3281,2332,1003,3877,3117,1860,970,3906,3882,2634,1980, 
 支付的各项税费(万元),2618,1964,526,2693,2328,1390,547,2408,1606,730,446,2330,2721,2262,1982, 
 支付的其他与经营活动有关的现金(万元),3028,1937,1186,3840,2890,1889,797,3341,2369,1564,751,3167,2932,2396,2198, 
 经营活动现金流出小计(万元),17430,11919,5032,19018,13487,8676,3135,15741,11201,5902,2757,18999,17168,11652,9875, 
 经营活动产生的现金流量净额(万元),-53,-174,32,4860,3263,2751,50,6873,5057,4492,378,1935,1256,2716,228, 
