 报告日期,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),30222,68708,72664,66482,52660, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),200,545,203,501,399, 
 经营活动现金流入小计(万元),30423,69253,72867,66983,53059, 
 购买商品、接受劳务支付的现金(万元),23233,35740,39851,41543,28266, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),5405,8741,7894,7108,4693, 
 支付的各项税费(万元),2437,6027,5057,3881,4501, 
 支付的其他与经营活动有关的现金(万元),5466,10271,8677,11991,9051, 
 经营活动现金流出小计(万元),36540,60777,61480,64523,46511, 
 经营活动产生的现金流量净额(万元),-6117,8476,11387,2460,6547, 
 收回投资所收到的现金(万元),45000,64000,5048,3500,6500, 
 取得投资收益所收到的现金(万元),174,195,63,40,36, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,9,784,239, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--, 
 投资活动现金流入小计(万元),45174,64195,5120,4323,6775, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),532,1307,1315,996,2449, 
 投资所支付的现金(万元),45000,64000,5048,3500,6500, 
 质押贷款净增加额(万元),--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--, 
 投资活动现金流出小计(万元),45532,65307,6362,4496,8949, 
 投资活动产生的现金流量净额(万元),-358,-1112,-1242,-173,-2173, 
 吸收投资收到的现金(万元),--,1000,600,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,3000,3000, 
 发行债券收到的现金(万元),--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--, 
 筹资活动现金流入小计(万元),0,1000,600,3000,3000, 
 偿还债务支付的现金(万元),--,--,3000,3000,3177, 
 分配股利、利润或偿付利息所支付的现金(万元),1527,--,88,200,187, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--, 
 筹资活动现金流出小计(万元),1527,0,3088,3200,3364, 
 筹资活动产生的现金流量净额(万元),-1527,1000,-2488,-200,-364, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-8002,8364,7657,2087,4010, 
 加:期初现金及现金等价物余额(万元),25031,16667,9010,6923,2913, 
 期末现金及现金等价物余额(万元),17028,25031,16667,9010,6923, 
 净利润(万元),2248,4741,4351,3179,2093, 
 少数股东损益(万元),--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--, 
 资产减值准备(万元),225,-113,285,456,-29, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),428,829,819,812,846, 
 无形资产摊销(万元),12,20,19,11,20, 
 长期待摊费用摊销(万元),119,476,427,331,2391, 
 待摊费用的减少(万元),--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,9,49,-643,1, 
 固定资产报废损失(万元),--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--, 
 财务费用(万元),-0,-0,88,200,187, 
 投资损失(万元),-174,-195,-63,-40,-36, 
 递延所得税资产减少(万元),-119,107,-53,-157,-148, 
 递延所得税负债增加(万元),--,--,--,--,--, 
 存货的减少(万元),-1518,1561,-2785,-2760,-4457, 
 经营性应收项目的减少(万元),-2622,2311,1055,-1855,-1125, 
 经营性应付项目的增加(万元),-4717,-1270,7195,2927,6805, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--, 
 其他(万元),--,--,--,--,--, 
 经营活动产生现金流量净额(万元),-6117,8476,11387,2460,6547, 
 债务转为资本(万元),--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--, 
 现金的期末余额(万元),17028,25031,16667,9010,6923, 
 现金的期初余额(万元),25031,16667,9010,6923,2913, 
 现金等价物的期末余额(万元),0,0,--,--,--, 
 现金等价物的期初余额(万元),0,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-8002,8364,7657,2087,4010, 

