 报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),31394,133570,92671,60600,20935,171863,108667,72422,34178,149803,98278,60289,22708,128602,90480,55298,9052,79504,63281,41955,19107,75404,58202,32288,12616,58899,39051,21068,13338,40375,21739,23715,9210,4566, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),1906,3597,1750,875,552,2876,2812,1880,770,2302,2597,1817,126,245,58,58,36,248,168,58,26,167,167,130,117,131,119,25,18,147,42,35,1,--, 
 收到的其他与经营活动有关的现金(万元),595,3609,1969,1428,1166,2441,1518,1110,306,2277,993,483,116,1838,947,430,127,777,1090,623,205,1722,2244,402,150,433,465,371,1330,202,109,1522,2255,486, 
 经营活动现金流入小计(万元),33896,140775,96390,62903,22652,177180,112997,75412,35254,154381,101867,62589,22950,130685,91485,55786,9215,80529,64538,42637,19339,77293,60613,32820,12882,59463,39635,21464,14686,40725,21890,25272,11466,5052, 
 购买商品、接受劳务支付的现金(万元),19620,119271,95804,64860,34175,110076,76784,50663,23832,109679,72168,48514,18821,76456,51685,31455,3001,57144,42063,27665,12766,48995,36186,23594,12752,45319,32812,18719,13099,25282,14836,13895,4910,3917, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),6076,25425,18815,12444,5340,28520,20851,13042,5522,27198,19800,12732,5789,25238,17709,10158,2575,15952,10845,6118,2222,10919,7965,4830,2078,8123,5110,3022,1288,3848,1815,2488,656,540, 
 支付的各项税费(万元),1004,7799,6134,3846,1235,9901,7920,5808,2351,9283,6734,4962,2114,5313,3182,1403,101,925,991,435,297,691,709,264,29,2203,1857,1428,671,3482,1631,535,221,149, 
 支付的其他与经营活动有关的现金(万元),881,7042,3863,2348,1506,8120,4898,3620,2069,8621,8429,5413,2756,9194,7583,3131,1381,3318,3102,3267,1420,4433,10484,1268,660,3468,3049,1149,1680,3161,2539,2289,321,1923, 
 经营活动现金流出小计(万元),27581,159537,124617,83498,42255,156617,110453,73133,33774,154781,107130,71621,29480,116202,80159,46147,7057,77340,57000,37484,16704,65038,55344,29956,15519,59113,42827,24319,16738,35774,20821,19207,6107,6528, 
 经营活动产生的现金流量净额(万元),6315,-18762,-28227,-20595,-19603,20563,2544,2279,1480,-400,-5263,-9033,-6529,14483,11326,9639,2158,3189,7537,5153,2634,12255,5270,2864,-2636,349,-3192,-2855,-2052,4951,1068,6065,5359,-1476, 
 收回投资所收到的现金(万元),--,--,--,--,--,1200,1200,--,--,--,--,--,--,100,100,100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10,0,--, 
 取得投资收益所收到的现金(万元),0,447,447,444,403,1302,977,574,286,119,--,--,--,3,3,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),126,63,63,1,1,151,151,122,17,75,44,43,--,500,379,249,42,209,130,117,112,82,263,263,--,--,--,--,--,--,--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,53615,54615,52215,46876,159356,121907,77407,37307,1860,1500,769,--,2235,970,460,460,800,--,--,--,100,--,--,--,--,2111,2111,--,3364,2083,3692,0,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),126,54126,55126,52660,47280,162009,124235,78103,37609,2054,1544,812,0,2838,1452,812,502,1009,130,117,112,182,263,263,0,0,2111,2111,0,3364,2083,3702,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1312,10466,8348,7202,5533,10623,6505,3588,1925,16589,15979,11727,5578,25726,24611,14494,6910,27195,19239,11375,3576,33767,26456,17403,6291,28198,20405,15201,1600,4014,1382,11922,4378,2814, 
 投资所支付的现金(万元),2900,42705,12485,12485,--,1000,--,--,--,1200,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4900,--,--,--,--,10,0,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,3642,3642,3642,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),160,24039,26474,23639,21839,154076,120800,71200,--,40100,--,--,--,820,--,--,--,--,--,--,--,--,--,--,--,--,1387,1387,--,4124,1866,3219,1463,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),4372,77210,47307,43327,27372,165699,127305,74788,1925,57889,15979,11727,5578,30187,28253,18135,6910,27195,19239,11375,3576,33767,26456,17403,6291,28198,21793,16589,1600,8138,3248,15151,5841,2814, 
 投资活动产生的现金流量净额(万元),-4246,-23085,7819,9333,19908,-3690,-3070,3314,35684,-55835,-14434,-10915,-5578,-27349,-26801,-17324,-6408,-26186,-19109,-11259,-3464,-33585,-26193,-17140,-6291,-28198,-19682,-14478,-1600,-4774,-1165,-11449,-5841,-2814, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,--,--,83364,84594,83364,8064,7920,7920,7920,--,136,136,--,--,1246,1246,--,--,50460,50460,50460,49479,--,--,2153,0,5022, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,8064,9294,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),5916,78490,62490,45290,10540,66247,60379,35367,13500,58151,36925,22965,10965,50666,39866,23366,9866,42133,25000,16000,8000,15000,13000,6000,4000,8900,4990,4000,4000,5800,5000,7000,1500,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),6137,46890,15908,32783,15929,28409,13552,7992,5730,17440,8901,6251,3854,15545,7968,6468,817,2896,3564,1225,201,2556,2637,2637,1118,4420,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),12053,125380,78398,78073,26469,94656,73931,43360,19230,158955,130420,112580,22883,74131,55754,37754,10683,45164,28700,17225,8201,18802,16883,8637,5118,63780,55450,54460,53479,5800,5000,9153,1500,5022, 
 偿还债务支付的现金(万元),6333,56251,53464,40770,14047,76948,54091,33745,20422,58508,44062,22341,8507,28807,20021,12498,2990,20720,13290,8860,4430,7610,9322,5642,3312,9160,7020,6680,1340,2620,340,900,1000,--, 
 分配股利、利润或偿付利息所支付的现金(万元),1470,4045,2839,1742,591,2693,2225,1502,749,4227,3034,2434,815,4259,2443,1713,347,2019,1993,1477,323,791,510,477,133,2697,2303,396,197,627,241,247,42,--, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),7840,41570,19228,37094,8440,34094,20146,13411,6686,21476,9864,7047,4488,16488,11480,7263,1236,6149,4358,3148,1577,2505,1355,1464,434,4681,465,388,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),15643,101867,75531,79607,23079,113735,76462,48658,27857,84211,56961,31822,13810,49555,33945,21474,4574,28888,19641,13485,6330,10906,11187,7583,3879,16538,9788,7464,1537,3247,581,1147,1042,0, 
 筹资活动产生的现金流量净额(万元),-3590,23513,2867,-1534,3390,-19079,-2531,-5298,-8628,74744,73459,80758,9073,24576,21809,16280,6109,16276,9059,3741,1871,7896,5696,1054,1239,47242,45662,46996,51942,2553,4419,8005,458,5022, 
