 报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),197443,136287,85538,33793,273365,231350,149362,43492,130239,87375,63818,25313,69005,42994,26560,9899,36013,28854,16080,6426,29443,19566,23204,11911, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,171,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),5656,5037,1608,698,584,585,262,42,0,--,--,--,42,42,42,42,23,--,--,--,12,12,46,1, 
 收到的其他与经营活动有关的现金(万元),59048,16570,6521,1473,53246,33920,24388,23173,34598,24879,17049,10240,24755,18957,11820,3912,10903,2876,1365,518,1492,1440,2315,2693, 
 经营活动现金流入小计(万元),262148,157894,93667,35963,327195,265854,174012,66707,164836,112425,80867,35553,93801,61993,38422,13853,46938,31730,17445,6944,30947,21017,25565,14606, 
 购买商品、接受劳务支付的现金(万元),154925,94682,64672,38824,298897,234203,155125,46088,118524,69015,42961,19677,40238,34822,24989,7755,30995,18231,6558,3542,14841,10703,11279,6378, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),22900,13428,8675,4762,20085,14033,9200,4772,7935,4368,2697,1308,3462,2273,1368,694,2430,1754,1174,662,1855,1375,1479,863, 
 支付的各项税费(万元),8079,8156,5202,2988,13513,14820,10398,6212,7969,8358,4742,2018,4955,2838,2014,822,5216,4761,3245,1573,4143,2879,3521,1833, 
 支付的其他与经营活动有关的现金(万元),75139,41875,25065,11552,66634,53126,34232,30721,45714,31841,25104,12712,34851,21222,13465,2877,15692,6518,4562,1342,3023,1771,2932,3446, 
 经营活动现金流出小计(万元),261043,158141,103614,58127,399128,316183,208955,87793,180141,113582,75504,35715,83506,61156,41836,12148,54333,31264,15539,7119,23862,16729,19211,12521, 
 经营活动产生的现金流量净额(万元),1105,-247,-9948,-22164,-71933,-50329,-34943,-21086,-15304,-1157,5363,-162,10295,837,-3414,1705,-7394,466,1906,-175,7085,4288,6354,2085, 
 收回投资所收到的现金(万元),3144,3144,0,0,8567,8138,7886,4036,3363,3562,3043,1183,1700,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),0,--,--,--,28,--,--,--,66,3,--,--,--,--,--,13,0,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),83,36,34,--,13,15,13,--,12,11,11,11,28,22,4,4,--,--,--,--,--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),3943,--,--,--,1530,--,--,--,311,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),1606,--,--,--,20475,6778,4726,3370,7477,10,2000,--,15316,3398,3398,--,159,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),8775,3180,34,0,30612,14931,12625,7406,11230,3586,5054,1194,17044,3420,3402,17,159,0,0,0,0,0,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),19601,19287,15108,12190,32779,55179,43339,17401,49921,27984,16346,2368,34496,27003,11490,4269,3661,2909,2101,1269,3612,2912,7515,4022, 
 投资所支付的现金(万元),9303,25234,1000,--,6242,7120,5676,3730,18646,11450,11450,5000,4586,1100,1100,--,500,500,500,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),1342,1342,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),492,17,17,17,3201,--,--,--,22335,15087,2003,1148,213,6766,3366,126,10557,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),30738,45881,16126,12207,42223,62299,49015,21131,90902,54521,29799,8516,39295,34869,15956,4395,14718,3409,2601,1269,3612,2912,7515,4022, 
 投资活动产生的现金流量净额(万元),-21963,-42701,-16091,-12207,-11611,-47368,-36390,-13725,-79672,-50935,-24745,-7322,-22250,-31449,-12554,-4378,-14559,-3409,-2601,-1269,-3612,-2912,-7515,-4022, 
