 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),183796,611178,405132,248493,109762,408645,279478,163650,84777,177702,96188,50845,22533,102702,79283,37430,13782,62742,41303,24192,10677,42862,25988,11735,5963,52722,23245,37620,30371,22814, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),1927,12340,8944,5064,2161,5567,4402,2420,820,6352,3880,2675,1804,4298,3104,2261,1155,2824,1759,1028,506,923,793,347,--,1378,370,1150,492,506, 
 收到的其他与经营活动有关的现金(万元),8436,36673,37846,19196,7445,45156,19921,11195,6298,37032,37808,7024,6850,17464,6431,3553,1359,1859,1789,1030,314,2861,1647,1348,335,2886,744,1866,801,1585, 
 经营活动现金流入小计(万元),194159,660191,451922,272753,119369,459368,303802,177265,91895,221085,137875,60543,31188,124464,88817,43245,16296,67425,44850,26251,11497,46645,28429,13430,6298,56986,24359,40637,31664,24905, 
 购买商品、接受劳务支付的现金(万元),117615,370634,269117,164769,88325,284683,189399,111232,58135,124364,72557,36207,14249,64647,59073,29520,13523,39649,38879,24582,13286,35434,26385,16890,7568,40710,16379,26440,26006,17717, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),23227,69541,52153,35364,18579,68179,50313,32068,15835,23206,15253,8286,4218,14271,9104,5204,2643,8750,6420,4153,2081,7165,4922,3204,1515,5100,2334,3024,1512,1697, 
 支付的各项税费(万元),14380,41533,29217,20712,9563,26078,19095,13594,10845,14601,9861,5747,3674,6202,5264,3768,2635,4933,3319,2027,1247,4623,3473,2110,1501,4085,1631,2404,1182,915, 
 支付的其他与经营活动有关的现金(万元),29926,100591,83212,44614,16698,79050,53379,32862,18446,47344,38746,17089,6845,30940,15635,8293,4225,13497,8320,4649,2074,7450,5437,3653,1897,5915,3467,7854,4105,2995, 
 经营活动现金流出小计(万元),185149,582299,433700,265458,133166,457991,312186,189756,103261,209515,136416,67329,28987,116059,89076,46785,23025,66828,56937,35411,18688,54672,40216,25858,12482,55811,23811,39722,32805,23323, 
 经营活动产生的现金流量净额(万元),9011,77892,18222,7295,-13798,1377,-8384,-12491,-11366,11571,1459,-6786,2201,8405,-259,-3541,-6730,598,-12087,-9161,-7191,-8027,-11788,-12427,-6183,1175,549,915,-1141,1582, 
 收回投资所收到的现金(万元),123100,84179,57815,46837,17755,294702,374412,26949,15949,12582,10403,11561,10365,1245,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),231,166,132,99,16,632,1350,46,25,174,636,609,611,--,--,--,--,--,--,--,--,1,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),90,152,30,9,8,292,160,164,12,269,16,--,--,7,7,1,1,7,4,--,--,37,7,7,--,--,--,--,2,1, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,6298,858,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),101000,49904,47310,30310,--,3264,7918,3385,--,3552,--,--,--,5913,2507,2475,2475,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),224421,134401,105287,77255,17779,305187,384698,30545,15987,16577,11055,12170,10977,7165,2514,2476,2476,7,4,0,0,37,7,7,0,0,0,0,2,1, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),5838,14024,11886,8625,2649,16819,6833,3705,1080,8146,6930,4713,3229,9217,4719,2114,1007,7425,5833,4700,1765,2658,1552,888,332,4709,3879,1222,139,278, 
 投资所支付的现金(万元),150300,89325,59554,47717,16483,313019,426606,40698,18749,16503,695,8599,6430,9070,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,110881,112548,112548,117565,77273,76300,3506,4700,107651,16296,--,--,6027,5815,2753,--,364,--,--,--,--,--,--,--,--,--,--,40,--, 
 支付的其他与投资活动有关的现金(万元),--,148288,47558,28966,--,969,11112,3708,--,231,709,200,200,6265,112,350,--,2820,--,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),156138,362519,231546,197856,136698,408080,520850,51618,24529,132531,24631,13512,9858,30579,10646,5216,1007,10609,5833,4700,1765,2658,1552,888,332,4709,3879,1222,179,278, 
 投资活动产生的现金流量净额(万元),68283,-228118,-126259,-120601,-118919,-102893,-136152,-21073,-8543,-115954,-13576,-1342,1118,-23414,-8132,-2741,1469,-10602,-5829,-4700,-1765,-2620,-1545,-881,-332,-4709,-3879,-1222,-177,-277, 
 吸收投资收到的现金(万元),120536,--,--,--,--,149190,149421,1745,--,33881,6940,3650,67,7223,7832,7556,--,--,--,--,--,36930,36930,36930,36930,--,--,6715,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,67,--,84,86,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),32142,176774,166247,146867,131340,128679,105690,43674,10843,159521,55347,27096,2200,10300,8300,5300,1200,18100,9000,3000,1200,4000,4000,--,--,8300,3000,6800,2200,800, 
 发行债券收到的现金(万元),--,--,--,--,--,89460,89460,--,--,--,--,--,--,17892,17892,17892,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
