 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,0,0,0,--,0,0,0,--,--,--,--, 
 客户存款和同业存放款项净增加额(万元),254900,26229600,17217000,34020500,12749500,23035100,4429100,--,--,28137300,16322000,32070200,2773200,71242800,71683000,94174900,42251200,49832200,45736200,35636500,19690300,36537700,19267200,34318300,8174900,--,19282600,--,16485000,30584200,26677800,18801400,11640500,42790700,39075700,35955100,21114800,13560100,18534900,10583100,5376700,31944300,12456100,16225700,4567700,16853300,11213900,8847900,--, 
 向中央银行借款净增加额(万元,--,8473000,71400,2143400,--,26750800,3140000,790000,3900000,4260000,1100000,500000,1250000,2000000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,0,0,0,--,12386100,0,546600,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,0,--,--,0,0,0,0,--,0,0,0,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,0,--,--,0,0,0,0,--,0,0,0,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,0,--,--,0,0,0,0,--,0,0,0,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,0,--,--,0,0,0,0,--,0,0,0,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,0,0,0,--,0,0,0,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),8024200,25795300,21338100,12671900,6596500,23499300,20163100,14745400,7296700,24474300,21824000,14946700,7340300,23097700,19095900,11223200,5614500,18115900,14105500,8706600,3772300,15469800,11110700,7887700,3432000,12362500,8715000,5647500,2752200,8694200,6054000,3933600,1960400,6660400,4792100,3219700,1454700,7024400,5337600,3537000,1697300,5113900,3502100,2149400,1142000,3594700,2718000,1455200,--, 
 拆入资金净增加额(万元),--,--,3254900,--,7204800,4739500,18931400,8548200,--,20283200,16419300,5439500,4928800,--,--,--,--,1052800,--,--,--,15822000,11682000,12571800,--,3053600,--,--,0,9400,--,0,--,2879400,2986600,1698000,330800,234300,0,0,0,3885400,2007000,0,612200,417500,159200,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,437900,1681800,0,--,--,0,--,--,0,--,--,0,0,0,0,--,0,0,0,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,0,0,0,--,0,0,0,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),8648900,4194100,4507900,1274900,2538000,1822900,2300700,1273300,320700,2714000,1364500,1015200,464600,850100,1100200,1108200,125500,2947200,956200,326800,302800,1699400,704000,268200,1613000,534700,343500,265000,287300,323900,301300,247000,208000,3443000,1540400,1386200,740000,883100,398200,182800,953800,163500,593700,577100,144600,511900,189700,419200,--, 
 经营活动现金流入小计(万元),22911700,67751700,51019100,55316500,31022800,79847600,49158200,37861300,14937800,96260300,60582600,60848400,20104400,99681500,91915200,106533100,47995200,72203500,61432600,45030100,38271300,69535400,42769000,55049000,16769800,52566600,37415500,29770700,19526000,41345600,34833000,24766300,15179700,54445800,48396700,42260600,23641500,21520600,31491500,14307700,8852400,41328400,31378100,19493000,9759600,21548000,14337100,11077700,--, 
 购买商品、接受劳务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,0,0,0,--,0,0,0,--,--,--,--, 
 客户贷款及垫款净增加额(万元),15154800,32210500,38351800,28501000,17523600,47044400,36796600,21736900,11441400,34728600,20553100,14510300,10881700,33109100,25753500,23037100,16208800,29477300,26874300,19403300,8620400,26414200,19497000,14356200,6125500,21014200,16663600,12331600,7429500,24434700,19475400,14185100,8431900,31199400,29540400,27772200,12157800,16317000,8869100,6940400,3050100,10799300,8678100,6385100,5080500,9384500,7413300,5941700,2030, 
 存放中央银行和同业款项净增加额(万元),534900,2520500,--,1861000,--,6248800,1394900,--,--,--,4987800,617500,--,5926700,5227900,7662500,3640600,3499300,3207300,1362400,702000,5472100,3333200,3809900,1221200,--,--,--,5858400,7948500,5110800,4217300,1560900,4514500,5412700,4611000,5089800,1863900,3715300,3785800,946600,5097800,2695400,2270400,0,1825500,1747000,355800,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,0,--,--,0,0,0,0,--,0,0,0,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),2566000,8975900,6744900,4403300,3016200,7894100,5883300,4624900,2257400,10144700,8224600,6105100,3033000,9718500,6882400,4380100,2098800,6620100,4337900,2133100,1412600,5310000,4064000,2548800,1330600,3869100,2758000,1615800,759500,2455700,1772500,1117100,531900,2451800,2024500,1197200,545100,2101500,1593400,1039200,507100,1708700,1157800,747000,570300,1173300,847300,537400,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,0,--,--,0,0,0,0,--,0,0,0,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),1120800,3454000,2317400,1796100,990100,3228700,1939700,1416300,795000,2663800,1787800,1256300,728100,2933000,1629600,1106900,554000,2421600,1796800,1241400,681900,2199600,1488400,789000,454700,2028500,1104800,771700,447000,1596300,928000,701400,391100,1267400,772700,391000,295200,858300,541600,378700,214900,724400,455000,289300,153100,497100,346900,224200,--, 
 支付的各项税费(万元),802500,4461700,3698100,2845700,540600,4162600,3092300,2343300,472900,3476500,2778000,1972100,634900,3145200,1896900,1553000,593800,2467300,1547400,1200000,499500,2490300,1718400,1170200,374700,1797200,1016400,759900,264700,1130800,782100,478200,251200,965900,661700,492400,181400,1104400,701600,564100,267800,768900,544800,383200,131500,485200,395800,279300,67, 
 支付的其他与经营活动有关的现金(万元),785600,3699800,4263800,1826100,831900,4777400,5829200,4498700,535500,5204700,2786000,4259600,401900,5961200,8832600,7104000,423500,2365000,412400,664800,950600,2532300,1009400,841300,588700,2450000,1771600,1770500,460100,2393800,1282900,1146000,427900,1144300,426500,402000,87700,1049300,201800,163700,110600,512200,415300,325900,385800,204700,64800,593600,--, 
 经营活动现金流出小计(万元),28276800,68317700,70286600,60904100,52457800,91909100,85095800,67893900,43641700,56218300,42976600,28720900,17227000,72464200,76798200,65655100,42330300,60288200,60785200,49993800,37993000,44564100,41685900,29206000,16493300,42437000,31260800,20960300,18978600,40456700,31823200,24919700,12962200,50136200,43132000,40309200,21090600,16253700,24866000,18369900,6206500,29481300,20008200,11701100,6818100,14426000,11251500,8466800,--, 
 经营活动产生的现金流量净额(万元),-5365100,-566000,-19267500,-5587600,-21435000,-12061500,-35937600,-30032600,-28703900,40042000,17606000,32127500,2877400,27217300,15117000,40878000,5664900,11915300,647400,-4963700,278300,24971300,1083100,25843000,276500,10129600,6154700,8810400,547400,888900,3009800,-153400,2217500,4309600,5264700,1951400,2550900,5266900,6625500,-4062200,2645900,11847100,11369900,7791900,2941500,7122000,3085600,2610900,-1294, 
 收回投资所收到的现金(万元),16098500,80328300,48220500,22152900,14402900,76506900,50560200,47554500,16848500,45149100,57386900,35237400,45866500,57910000,35080300,22602500,34527900,55228700,60180400,37265700,38439900,91343000,71026400,44255500,24759000,47006600,68289200,47877600,44659100,204132200,123934800,80334300,35634100,109768400,65924500,41511600,33206100,219574800,157037400,117954100,19576900,89945700,11139500,7468900,8436200,10468500,7663500,5042500,377, 
 取得投资收益所收到的现金(万元),1236900,5220500,4809300,3384200,1366200,6050900,5200300,2690400,833600,5140700,4366300,2854800,1048500,3967500,2902200,1832200,795900,2184900,1247200,763000,406000,1730200,1184700,737500,371600,1328800,898300,528400,272600,907500,667400,367400,208800,808300,638200,285400,225600,634000,645200,283000,207800,386900,463400,228000,141100,352600,255200,194500,48, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),22100,19100,9600,1800,--,56100,42200,41800,1600,16700,5900,6200,800,129700,2000,1300,200,40500,3100,2000,200,24300,45500,600,300,25300,6500,5200,3700,14400,11500,7500,3600,15000,15300,10600,46000,103300,30200,26800,2100,26700,6100,5000,100,26000,14500,13200,4, 
 处置子公司及其他营业单位收到的现金净额(万元),--,6700,200,--,200,--,--,--,500,--,--,--,--,--,--,--,--,--,--,--,--,--,1900,--,--,--,300,--,0,--,800,0,--,600,0,--,--,1317800,0,0,0,--,0,0,0,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,300,--,--,0,--,--,0,0,0,0,--,0,0,0,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,0,--,--,0,0,0,0,--,0,0,0,--,--,--,--, 
 投资活动现金流入小计(万元),17357500,85574600,53039600,25538900,15769300,82614400,55803200,50287200,17684200,50306700,61759300,38098400,46915800,62007400,37984700,24436000,35324000,57454300,61430900,38030700,38846100,93099400,72258500,44993800,25130900,48361200,69194300,48411400,44935400,205055100,124614500,80709500,35846500,110592300,66578000,41807600,33477700,221629900,157712800,118263900,19786800,90359300,11609000,7701900,8577400,10847100,7933200,5250200,429, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),520400,1633600,845700,602400,182000,1750400,666900,251200,21200,907900,231600,422200,87100,812500,297000,268800,37500,821100,297300,217400,20900,649400,213800,151900,19900,422600,123800,117200,12700,546500,178900,102500,16900,356700,178000,115300,92900,407300,219300,178000,72500,297500,148000,73800,34900,176800,87000,54000,16, 
 投资所支付的现金(万元),17064200,92327500,49994300,33183400,25117300,79414600,47473600,44524200,20744500,86559100,90888000,66463800,64005800,78792800,54610800,34890600,45863600,79800100,78754300,45288000,44664400,95870900,76575100,49716100,26485400,53873900,73920600,49094700,44179900,207060500,128298900,83162400,37266500,114698000,72320400,44971800,34977600,224811200,163397500,118693500,22381300,96581600,15756800,10319100,11565000,15740300,9767900,5414200,859, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,0,--,--,0,0,0,0,--,0,0,0,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,60600,--,--,--,77400,67500,--,--,--,100000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,1502100,0,0,0,--,0,0,0,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,5900,0,3900,--,35600,0,87600,0,19100,0,0,0,--,--,--,--, 
