 报告日期,2017-06-30,2016-12-31,2016-03-31,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),49954,88522,21180,74942,81793,79005, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--, 
 收到的税费返还(万元),3031,5458,1586,4393,3191,2769, 
 收到的其他与经营活动有关的现金(万元),338,540,432,298,243,301, 
 经营活动现金流入小计(万元),53323,94520,23199,79634,85227,82076, 
 购买商品、接受劳务支付的现金(万元),30820,55726,12678,45576,51770,52237, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),11214,17082,4824,15435,15105,13885, 
 支付的各项税费(万元),2503,6021,2505,3455,3521,2519, 
 支付的其他与经营活动有关的现金(万元),4157,8123,1614,6694,6738,5396, 
 经营活动现金流出小计(万元),48695,86950,21620,71161,77134,74036, 
 经营活动产生的现金流量净额(万元),4628,7570,1578,8473,8093,8039, 
 收回投资所收到的现金(万元),--,--,--,160,--,--, 
 取得投资收益所收到的现金(万元),--,30,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),57,98,111,1364,55,74, 
 处置子公司及其他营业单位收到的现金净额(万元),--,3411,2756,12748,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,979,1314,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--, 
 投资活动现金流入小计(万元),57,3539,2867,15251,1369,74, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),3355,6449,377,3749,1789,4163, 
 投资所支付的现金(万元),--,705,3000,--,160,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,204,613,814, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--, 
 投资活动现金流出小计(万元),3355,7154,3377,3953,2562,4976, 
 投资活动产生的现金流量净额(万元),-3298,-3615,-510,11298,-1193,-4902, 
 吸收投资收到的现金(万元),--,--,--,4000,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--, 
 取得借款收到的现金(万元),14664,22413,3287,34098,44377,30600, 
 发行债券收到的现金(万元),--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,848,--,--, 
 筹资活动现金流入小计(万元),14664,22413,3287,38947,44377,30600, 
 偿还债务支付的现金(万元),10455,22307,3955,46739,31042,33819, 
 分配股利、利润或偿付利息所支付的现金(万元),289,6669,131,3194,20772,989, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,79,--,--, 
 支付其他与筹资活动有关的现金(万元),--,377,--,--,--,850, 
 筹资活动现金流出小计(万元),10744,29353,4087,49934,51814,35658, 
 筹资活动产生的现金流量净额(万元),3920,-6940,-800,-10987,-7437,-5058, 
 汇率变动对现金及现金等价物的影响(万元),43,-59,56,15,-72,-65, 
 现金及现金等价物净增加额(万元),5293,-3044,324,8799,-609,-1986, 
