 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),16350,52849,41963,26093,12042,38633,29681,18200,8574,39058,22426,14007,6029,30250,20590,13641,5133,25328,19106,19020, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),506,2234,1910,1445,664,1895,1532,763,488,2305,1716,950,531,872,684,449,143,845,551,416, 
 收到的其他与经营活动有关的现金(万元),252,637,822,647,49,845,825,448,98,662,857,507,201,511,444,359,284,582,800,160, 
 经营活动现金流入小计(万元),17109,55719,44695,28185,12755,41373,32039,19412,9160,42025,24999,15464,6761,31633,21717,14450,5560,26756,20456,19596, 
 购买商品、接受劳务支付的现金(万元),7801,27589,21508,14248,5745,16382,13868,9021,3432,25190,13300,8962,2998,16835,11886,8277,2759,14813,10358,11925, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),3746,8529,6182,4178,2396,6188,4443,2946,1651,4616,3256,2273,1403,3558,2703,1877,1075,2612,1974,1207, 
 支付的各项税费(万元),1496,6131,5057,3238,1330,5500,3874,1849,877,3733,2502,1703,788,3189,2258,1273,574,2171,2555,1729, 
 支付的其他与经营活动有关的现金(万元),1357,4823,3348,1993,1042,3276,2513,1490,1038,2053,2883,1131,487,1370,909,644,419,1364,1264,1299, 
 经营活动现金流出小计(万元),14400,47073,36095,23657,10514,31347,24698,15306,6998,35592,21941,14069,5675,24953,17755,12071,4827,20960,16151,16160, 
 经营活动产生的现金流量净额(万元),2709,8647,8601,4528,2241,10026,7341,4105,2162,6433,3059,1396,1086,6681,3962,2379,734,5796,4306,3436, 
 收回投资所收到的现金(万元),29224,82702,74610,57607,32859,175026,145062,98615,8175,--,--,--,--,--,--,--,--,--,--,98, 
 取得投资收益所收到的现金(万元),73,621,431,252,105,520,359,329,173,277,11,21,5,--,--,--,--,11,18,21, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,518,0,0,0,59,6,3,1,5,2,2,2,17,6,5,0,8,2,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,16,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,880,--,--,300,150,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),29297,84721,75040,57859,33264,175754,145426,98947,8349,282,30,23,6,17,6,5,0,19,20,119, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),7800,8485,5679,4197,1789,8318,5639,4309,1966,8691,6175,3734,1608,6877,4560,2989,1365,3394,2864,6643, 
 投资所支付的现金(万元),26343,77549,66275,45307,26120,180306,149698,92164,6301,17460,--,--,--,--,--,--,--,--,13,68, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,1739,3045,3045,2783,6916,6916,6916,--,--,--,--,--,--,--,--,--,--,--,47, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,1180,--,--,17,1100,--,--,--,42,22,14,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),34143,87774,74999,52550,30692,196720,162252,103388,8284,27251,6175,3734,1608,6919,4582,3003,1365,3394,2877,6758, 
 投资活动产生的现金流量净额(万元),-4846,-3053,41,5309,2572,-20966,-16826,-4441,65,-26969,-6145,-3710,-1601,-6902,-4577,-2997,-1364,-3375,-2857,-6639, 
 吸收投资收到的现金(万元),1240,--,--,--,--,17300,17300,17300,--,28410,31780,31780,31780,--,--,--,--,90,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),1240,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),5802,3035,2351,1024,--,--,--,--,--,--,--,--,--,6600,4800,800,800,3303,4654,1749, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,16,--,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),7042,3035,2351,1024,0,17300,17300,17300,0,28426,31780,31780,31780,6600,4800,800,800,3393,4654,1749, 
 偿还债务支付的现金(万元),266,2225,1100,480,--,--,--,--,--,5800,5800,5800,--,4180,1680,680,--,3447,2379,1500, 
