 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),19520,66669,47684,29634,12464,43868,37212,19198,8508,65744,53718,38009,25043,98557,75253,77038,59862, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),942,4406,3176,1856,986,1769,1728,842,190,3652,3721,3175,2050,4812,4183,5460,3413, 
 收到的其他与经营活动有关的现金(万元),161,878,1769,1723,689,3441,2060,2060,1351,2267,2085,1460,918,1617,857,1544,15663, 
 经营活动现金流入小计(万元),20624,71954,52629,33214,14139,49078,41000,22100,10049,71662,59524,42644,28012,104985,80293,84042,78938, 
 购买商品、接受劳务支付的现金(万元),15423,58820,47102,28980,12975,33966,25028,14743,10336,47194,41290,29898,18250,66876,54629,59695,41661, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),2457,10227,7140,4544,2120,8995,6027,4476,1546,9056,7441,5275,2761,11664,8935,8064,5610, 
 支付的各项税费(万元),479,1414,1388,648,181,1604,2092,1609,1240,4017,3409,2881,1163,5332,3603,3287,2897, 
 支付的其他与经营活动有关的现金(万元),2923,7707,4579,2837,564,9573,6949,2826,1048,5410,4918,3243,2279,8287,6061,6409,10026, 
 经营活动现金流出小计(万元),21282,78169,60209,37009,15840,54137,40096,23654,14171,65676,57058,41297,24453,92158,73228,77455,60193, 
 经营活动产生的现金流量净额(万元),-658,-6215,-7579,-3795,-1701,-5059,904,-1554,-4122,5986,2466,1347,3559,12827,7066,6587,18744, 
 收回投资所收到的现金(万元),10100,126163,70790,44221,19721,41615,--,--,--,--,--,--,--,2595,1610,--,--, 
 取得投资收益所收到的现金(万元),146,1602,1093,652,552,585,137,64,-57,-10,7,11,10,13,1106,195,335, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),14,329,33,33,18,188,33,27,--,71,24,24,22,114,90,342,69, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5001, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),10260,128094,71915,44905,20291,42389,170,91,-57,61,32,35,31,2722,2806,537,5405, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),2035,4147,2038,1415,241,5548,2375,1614,824,3944,4412,2713,1870,10218,5871,6259,8712, 
 投资所支付的现金(万元),24764,111279,70263,41300,19745,77467,26773,24654,26120,127,1046,55,160,1200,2555,450,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,213,12515, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,276,136,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),26799,115426,72301,42715,19986,83015,29147,26268,26944,4071,5458,2768,2030,11418,8701,7058,21228, 
 投资活动产生的现金流量净额(万元),-16539,12668,-385,2190,305,-40626,-28977,-26177,-27000,-4010,-5426,-2733,-1998,-8695,-5895,-6520,-15823, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,--,--,53608,--,--,--,--,--,--,6800, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),14600,28728,16700,11800,6800,12959,3000,2659,--,43482,35997,21345,6496,16734,11162,29551,22251, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),14600,28728,16700,11800,6800,12959,3000,2659,0,97091,35997,21345,6496,16734,11162,29551,29051, 
 偿还债务支付的现金(万元),7800,19300,5300,3000,3000,14668,11000,9000,4000,42233,24760,14246,5128,21964,13666,23801,21275, 
 分配股利、利润或偿付利息所支付的现金(万元),258,679,479,295,124,2414,2335,2127,96,5337,5125,3009,151,1994,2418,1891,3023, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,562,536,401,86,1002,--,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),8058,19979,5779,3295,3124,17644,13871,11528,4182,48571,29885,17255,5279,23958,16084,25692,24298, 
 筹资活动产生的现金流量净额(万元),6542,8749,10921,8505,3676,-4685,-10871,-8869,-4182,48520,6111,4090,1216,-7224,-4922,3859,4753, 
 汇率变动对现金及现金等价物的影响(万元),-256,-459,574,--,13,472,452,44,31,378,351,-26,-15,-7,-65,-28,-102, 
 现金及现金等价物净增加额(万元),-10911,14743,3530,6899,2293,-49898,-38493,-36555,-35273,50873,3502,2679,2762,-3100,-3816,3897,7573, 
 加:期初现金及现金等价物余额(万元),24522,9779,9779,9779,9779,59677,59677,59677,59677,8804,8804,8804,8804,11904,15720,11823,4250, 
 期末现金及现金等价物余额(万元),13611,24522,13309,16678,12072,9779,21184,23122,24404,59677,12306,11483,11566,8804,11904,15720,11823, 
 净利润(万元),--,2727,--,1101,--,-6287,--,-3223,--,2356,--,1601,--,10768,6089,7441,7537, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,1547,--,232,--,1617,--,303,--,-259,--,282,--,487,468,-64,228, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,3700,--,1760,--,3657,--,1720,--,3507,--,1767,--,3023,2825,2497,1631, 
 无形资产摊销(万元),--,188,--,97,--,199,--,97,--,180,--,90,--,178,166,87,42, 
 长期待摊费用摊销(万元),--,449,--,216,--,381,--,179,--,315,--,146,--,184,199,165,91, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,158,--,71,--,134,--,31,--,44,--,42,--,103,9,112,120, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,-328,--,-142,--,-388,--,611,-330,-81,-48, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,1053,--,564,--,1,--,380,--,574,--,315,--,648,1390,1019,569, 
