 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),21108,12879,5055,20220,13967,8962,4142,20020,14865,8557,3959,18231,14685,11581,8421, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),251,133,66,309,196,161,--,799,674,111,147,225,482,384,207, 
 收到的其他与经营活动有关的现金(万元),1652,1218,217,756,671,326,2134,2086,1506,948,791,1452,1090,747,22, 
 经营活动现金流入小计(万元),23012,14231,5338,21285,14835,9449,6276,22905,17046,9616,4896,19908,16257,12712,8650, 
 购买商品、接受劳务支付的现金(万元),11521,7563,2929,10056,6663,4688,2552,8675,6932,3993,2609,5734,5561,5450,4102, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),2451,1668,891,2584,1811,1274,692,2017,1651,1104,599,1991,1750,1411,1117, 
 支付的各项税费(万元),2400,1535,671,1941,1961,1443,801,2213,1732,1132,518,2456,1847,1129,513, 
 支付的其他与经营活动有关的现金(万元),5493,4011,630,3358,2213,1648,1616,4672,3738,2196,1015,3446,4259,2073,2068, 
 经营活动现金流出小计(万元),21864,14777,5119,17939,12648,9053,5660,17578,14053,8425,4742,13627,13416,10063,7800, 
 经营活动产生的现金流量净额(万元),1148,-547,219,3346,2186,396,616,5327,2993,1191,154,6281,2840,2650,850, 
 收回投资所收到的现金(万元),39930,30830,14580,61495,34010,15850,--,14671,7870,7370,2330,3930,--,--,--, 
 取得投资收益所收到的现金(万元),416,345,120,--,128,66,--,--,68,66,13,37,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,28,--,--,--,--,--,--,--,1,--,--,1, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,645,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),40345,31174,14700,62168,34138,15916,0,14671,7938,7436,2343,3968,0,0,1, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),3126,2433,1462,5722,3953,2361,1987,1523,822,451,167,141,566,421,1517, 
 投资所支付的现金(万元),40563,27441,11691,81020,57225,33660,5607,14570,10420,7370,6870,3930,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,3180,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),43689,29874,13153,86742,64358,36021,7594,16093,11242,7821,7037,4071,566,421,1517, 
 投资活动产生的现金流量净额(万元),-3343,1300,1547,-24574,-30220,-20105,-7594,-1422,-3304,-385,-4694,-103,-566,-421,-1516, 
 吸收投资收到的现金(万元),--,--,--,27445,27445,27445,27445,--,--,--,--,--,150,--,1893, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,150,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,1350,300, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,0,0,--,--,--,--,--,--,--,243, 
 筹资活动现金流入小计(万元),0,0,0,27445,27445,27445,27445,0,0,0,0,0,150,1350,2435, 
 偿还债务支付的现金(万元),700,700,500,1000,--,--,--,--,--,--,--,--,1350,300,500, 
 分配股利、利润或偿付利息所支付的现金(万元),2556,2526,11,2706,2509,2509,8,2000,2000,2000,--,1800,1512,66,23, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,8,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,1110,960,960,960,--,--,--,--,--,--,1638,293, 
 筹资活动现金流出小计(万元),3256,3226,511,4816,3469,3469,968,2000,2000,2000,0,1800,2862,2004,816, 
 筹资活动产生的现金流量净额(万元),-3256,-3226,-511,22629,23976,23976,26477,-2000,-2000,-2000,0,-1800,-2712,-654,1620, 
 汇率变动对现金及现金等价物的影响(万元),-28,-13,8,97,35,23,6,3,-9,-5,--,-1,-3,0,1, 
 现金及现金等价物净增加额(万元),-5479,-2485,1263,1498,-4023,4290,19505,1908,-2320,-1198,-4540,4376,-441,1576,955, 
 加:期初现金及现金等价物余额(万元),10562,10553,9990,8492,9428,8492,8492,6584,6584,6584,6584,2208,2649,1074,119, 
 期末现金及现金等价物余额(万元),5082,8068,11253,9990,5405,12782,27998,8492,4264,5386,2045,6584,2208,2649,1074, 
 净利润(万元),--,3450,--,6497,--,3344,--,5878,4417,3285,--,5429,4448,3406,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,71,--,236,--,171,--,66,15,100,--,26,209,12,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,438,--,612,--,291,--,654,497,342,--,690,645,578,--, 
 无形资产摊销(万元),--,17,--,34,--,17,--,36,27,18,--,36,36,36,--, 
 长期待摊费用摊销(万元),--,125,--,173,--,46,--,14,11,8,--,12,5,5,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,0,--,5,--,1,--,-2,-2,-2,--,-1,0,2,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,44,--,-97,--,-23,--,-3,9,5,--,1,12,68,--, 
 投资损失(万元),--,-341,--,-505,--,-66,--,-101,-68,-66,--,-37,--,--,--, 
 递延所得税资产减少(万元),--,--,--,-45,--,--,--,-4,-0,-14,--,-8,-44,-33,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,-1018,--,-1095,--,-190,--,133,-1149,-368,--,709,620,-1725,--, 
 经营性应收项目的减少(万元),--,-12782,--,-748,--,-2646,--,-1498,-949,-3021,--,-0,-4379,82,--, 
 经营性应付项目的增加(万元),--,9442,--,-1719,--,-549,--,153,185,903,--,-576,1289,220,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,8,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,-547,--,3346,--,396,--,5327,2993,1191,--,6281,2840,2650,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),5082,8068,11253,9990,5405,12782,27998,8492,4264,5386,2045,6584,2208,2649,1074, 
 现金的期初余额(万元),10562,10553,9990,8492,9428,8492,8492,6584,6584,6584,6584,2208,2649,1074,119, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-5479,-2485,1263,1498,-4023,4290,19505,1908,-2320,-1198,-4540,4376,-441,1576,955, 

