 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-06-30,2009-12-31,2008-12-31,2007-12-31, 
 销售商品、提供劳务收到的现金(万元),32429,226190,114921,74533,34993,190437,107763,68489,39333,202014,114994,75316,39974,162558,146581,92616,46848,164846,115649,80638,41200,128399,93065,53482,30279,103252,66441,45728,20215,79368,33802,74303,65649,54517, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),638,1773,1890,866,27,2228,1656,1180,844,1834,1628,849,594,1053,1198,316,190,857,505,261,156,204,0,--,--,30,30,30,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),6162,2244,6988,5145,1514,1714,16206,10538,2212,1584,19207,14450,11073,19746,31087,26909,11746,21274,20664,7826,3941,41616,34801,14676,13994,10335,10336,7496,4187,1947,1605,2421,786,173, 
 经营活动现金流入小计(万元),39229,230206,123800,80544,36534,194379,125626,80207,42388,205433,135829,90614,51641,183358,178866,119841,58785,186977,136817,88726,45297,170219,127867,68158,44273,113617,76807,53255,24402,81315,35407,76724,66435,54689, 
 购买商品、接受劳务支付的现金(万元),21138,155102,82134,57797,25340,131019,75842,52469,23568,120030,78641,60243,34599,97836,100738,64773,29605,112459,78048,51253,21251,96270,76505,48814,23006,79755,59782,41027,19880,55068,26696,49983,52849,47118, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
