 报告日期,2017-06-30,2016-12-31,2015-12-31,2014-12-31, 
 销售商品、提供劳务收到的现金(万元),11527,34970,30852,26953, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--, 
 收到的税费返还(万元),154,67,246,161, 
 收到的其他与经营活动有关的现金(万元),396,118,101,107, 
 经营活动现金流入小计(万元),12077,35155,31199,27221, 
 购买商品、接受劳务支付的现金(万元),4596,15535,14828,14135, 
 客户贷款及垫款净增加额(万元),--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),4069,7395,7235,5466, 
 支付的各项税费(万元),2400,4007,4147,2865, 
 支付的其他与经营活动有关的现金(万元),2495,4652,4090,3375, 
 经营活动现金流出小计(万元),13561,31589,30300,25842, 
 经营活动产生的现金流量净额(万元),-1484,3566,899,1379, 
 收回投资所收到的现金(万元),--,--,--,--, 
 取得投资收益所收到的现金(万元),49,72,1,39, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,51,2,0, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),10604,5938,2435,5348, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--, 
 投资活动现金流入小计(万元),10654,6061,2439,5386, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),462,1440,889,682, 
 投资所支付的现金(万元),--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),10721,3060,5294,4090, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--, 
 投资活动现金流出小计(万元),11183,4500,6183,4772, 
 投资活动产生的现金流量净额(万元),-529,1561,-3744,614, 
 吸收投资收到的现金(万元),--,--,9200,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,512, 
 发行债券收到的现金(万元),--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),258,282,4769,258, 
 筹资活动现金流入小计(万元),258,282,13969,770, 
 偿还债务支付的现金(万元),--,--,512,--, 
 分配股利、利润或偿付利息所支付的现金(万元),--,--,10017,13, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,37,--,3257, 
 筹资活动现金流出小计(万元),0,37,10529,3270, 
 筹资活动产生的现金流量净额(万元),258,245,3440,-2499, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--, 
 现金及现金等价物净增加额(万元),-1755,5372,596,-506, 
 加:期初现金及现金等价物余额(万元),6433,1061,466,972, 
 期末现金及现金等价物余额(万元),4678,6433,1061,466, 
 净利润(万元),2083,6335,5343,5556, 
 少数股东损益(万元),--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--, 
 资产减值准备(万元),307,277,442,284, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),325,660,625,562, 
 无形资产摊销(万元),65,132,135,136, 
 长期待摊费用摊销(万元),7,9,10,--, 
 待摊费用的减少(万元),--,--,--,--, 
 预提费用的增加(万元),--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,--,1, 
 固定资产报废损失(万元),--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--, 
 预计负债(万元),--,--,--,--, 
 财务费用(万元),-4,-8,5,5, 
 投资损失(万元),-49,-72,-1,-39, 
 递延所得税资产减少(万元),-61,-29,-75,-5, 
 递延所得税负债增加(万元),--,--,--,--, 
 存货的减少(万元),837,-1420,-1287,-2786, 
 经营性应收项目的减少(万元),-5505,-2228,-4864,-4101, 
 经营性应付项目的增加(万元),444,356,-140,1987, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--, 
 其他(万元),68,-447,706,-221, 
 经营活动产生现金流量净额(万元),-1484,3566,899,1379, 
 债务转为资本(万元),--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--, 
 现金的期末余额(万元),4678,6433,1061,466, 
 现金的期初余额(万元),6433,1061,466,972, 
 现金等价物的期末余额(万元),--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--, 
 现金及现金等价物的净增加额(万元),-1755,5372,596,-506, 

