 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),74110,47948,21787,93853,--,44801,12561,78001,--,31068,73578,74255,60880,69181, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),2043,1127,637,1086,--,355,353,1127,--,819,933,740,122,519, 
 收到的其他与经营活动有关的现金(万元),819,366,368,1583,--,194,73,319,--,364,897,983,530,677, 
 经营活动现金流入小计(万元),76972,49441,22792,96523,--,45350,12987,79446,--,32250,75409,75978,61533,70376, 
 购买商品、接受劳务支付的现金(万元),69260,40103,24377,42528,--,27143,5832,41779,--,28707,39250,40445,34632,43693, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),8148,5931,3683,10125,--,5677,2962,8966,--,4693,8346,7854,7400,6344, 
 支付的各项税费(万元),6003,3349,486,6244,--,4315,1098,9005,--,4474,6560,3999,4016,2348, 
 支付的其他与经营活动有关的现金(万元),7415,6539,2637,10620,--,3084,1479,6862,--,2780,7796,8318,9925,9650, 
 经营活动现金流出小计(万元),90827,55922,31184,69517,--,40219,11371,66612,--,40654,61951,60616,55972,62034, 
 经营活动产生的现金流量净额(万元),-13855,-6481,-8392,27006,7760,5131,1616,12834,-3524,-8404,13458,15362,5560,8342, 
 收回投资所收到的现金(万元),125235,57510,22817,23145,--,10950,7675,13745,--,9410,17500,--,--,--, 
 取得投资收益所收到的现金(万元),632,246,2,255,--,72,3,43,--,--,65,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,9,--,9,5,456,--,--,4,612,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,3579,--, 
 收到的其他与投资活动有关的现金(万元),--,--,126,500,--,500,564,1057,--,27,--,30,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),125867,57756,22945,23909,--,11531,8248,15301,--,9437,17570,642,3579,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),9248,6504,3318,8566,--,2749,2456,6612,--,7037,4331,2973,1821,2346, 
 投资所支付的现金(万元),165123,92482,19329,27950,--,9755,5480,21045,--,4180,21690,202,--,80, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),1000,--,--,--,--,--,--,814,--,--,--,--,557,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),175372,98986,22647,36516,--,12504,7936,28471,--,11217,26021,3175,2378,2426, 
 投资活动产生的现金流量净额(万元),-49505,-41230,298,-12606,--,-973,311,-13171,-9683,-1780,-8451,-2533,1201,-2426, 
 吸收投资收到的现金(万元),68609,68609,68609,--,--,--,--,90,--,--,--,--,--,3909, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,3000,--,--,--,9100,--,9000,--,4000,15930,18700, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),4056,4711,4015,870,--,67,2020,3513,--,2667,229,--,860,1866, 
 筹资活动现金流入小计(万元),72665,73320,72624,3870,--,67,2020,12703,--,11667,229,4000,16790,24475, 
 偿还债务支付的现金(万元),--,--,--,--,--,--,--,9000,--,--,4000,10000,17700,15930, 
 分配股利、利润或偿付利息所支付的现金(万元),2518,2478,--,2710,--,2198,2198,2927,--,2129,2827,3035,4779,3619, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),3063,6807,6768,4015,--,2164,1516,937,--,--,587,1414,--,9351, 
 筹资活动现金流出小计(万元),5581,9285,6768,6725,--,4362,3714,12864,--,2129,7415,14449,22479,28901, 
 筹资活动产生的现金流量净额(万元),67084,64035,65856,-2855,--,-4295,-1695,-161,9165,9538,-7186,-10449,-5690,-4426, 
 汇率变动对现金及现金等价物的影响(万元),-1418,-576,-38,339,--,42,-9,-17,106,90,-32,-175,-19,-55, 
 现金及现金等价物净增加额(万元),2306,15748,57724,11883,--,-95,224,-514,-3936,-556,-2211,2205,1053,1436, 
 加:期初现金及现金等价物余额(万元),20753,20753,20753,8869,--,8869,8869,9383,--,9383,11595,9390,8337,6901, 
 期末现金及现金等价物余额(万元),23059,36501,78477,20753,--,8774,9093,8869,--,8827,9383,11595,9390,8337, 
 净利润(万元),--,14804,--,14614,--,10534,--,13008,--,11470,13253,9188,6617,1961, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,715,--,467,--,1260,--,1045,--,1513,445,670,964,-126, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,1176,--,2284,--,1161,--,2029,--,1011,1944,1926,2091,2053, 
 无形资产摊销(万元),--,141,--,242,--,120,--,151,--,68,122,153,156,106, 
 长期待摊费用摊销(万元),--,37,--,75,--,37,--,13,--,4,2,--,43,59, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,-0,--,1,--,10,--,-0,--,81,248,932,-39,7, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
