 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),70977,174416,126430,86223,54019,136584,96079,64018,42548,113252,81268,53812,36519,121929,76390,49801,29476,128406,86838,87184, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),4109,11795,10089,6850,4952,20639,11246,7952,5535,7775,5361,3237,1719,8896,6503,4041,2350,10928,8876,7916, 
 经营活动现金流入小计(万元),75087,186211,136520,93073,58971,157223,107325,71971,48083,121027,86629,57049,38238,130825,82892,53842,31826,139334,95714,95100, 
 购买商品、接受劳务支付的现金(万元),55480,112019,89218,57006,37087,87050,69667,48738,34567,90982,73631,53769,41862,84772,67470,51151,35484,88787,54221,60088, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),22117,45540,39666,28823,22854,35987,27638,20051,15001,32593,26936,18572,13401,28252,22686,15386,10980,25396,16568,11783, 
 支付的各项税费(万元),2303,5741,4645,3737,1640,7073,5178,4114,1669,4908,4041,2894,1718,8259,6175,4227,2887,8669,5784,5784, 
 支付的其他与经营活动有关的现金(万元),4370,20015,16760,10940,6017,22349,20231,11498,6943,13530,8279,4932,2618,12269,8933,5362,3397,13568,11639,9256, 
 经营活动现金流出小计(万元),84270,183316,150290,100506,67598,152459,122714,84401,58180,142013,112888,80167,59599,133552,105263,76127,52749,136420,88212,86910, 
 经营活动产生的现金流量净额(万元),-9183,2895,-13770,-7433,-8628,4764,-15389,-12430,-10097,-20986,-26258,-23118,-21361,-2727,-22371,-22285,-20923,2914,7502,8190, 
 收回投资所收到的现金(万元),15710,58700,45100,30900,19900,58200,44300,27400,24900,77500,37600,16600,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),161,479,339,192,113,426,319,206,190,507,335,189,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),17,40,33,--,--,2,0,0,--,30,30,--,--,--,--,--,--,6,11,288, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),15888,59220,45472,31092,20013,58628,44619,27606,25090,78037,37965,16789,0,0,0,0,0,6,11,288, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),6969,14406,6361,5330,5020,6736,4624,3183,1583,2797,584,324,185,561,525,416,237,832,3397,2895, 
 投资所支付的现金(万元),15780,63925,61429,46109,22276,68833,50403,25800,12400,97500,59200,29500,21600,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),6000,--,0,--,--,3075,3075,3075,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),28749,78331,67790,51439,27296,78644,58102,32058,13983,100297,59784,29824,21785,561,525,416,237,832,3397,2895, 
 投资活动产生的现金流量净额(万元),-12862,-19112,-22318,-20347,-7283,-20016,-13483,-4451,11108,-22261,-21819,-13034,-21785,-561,-525,-416,-237,-826,-3386,-2607, 
 吸收投资收到的现金(万元),--,490,490,--,--,629,1609,--,--,57646,57646,57646,49152,--,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,490,490,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),16100,86300,73300,48300,31300,40700,38700,21700,14700,6000,6000,6000,6000,27200,24000,13500,8500,13300,15800,14000, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),2181,10317,3773,1266,402,2107,2020,613,557,2625,2179,1313,679,1914,1310,1073,390,2306,319,176, 
 筹资活动现金流入小计(万元),18281,97107,77563,49566,31702,43436,42329,22313,15257,66271,65825,64958,55831,29114,25310,14573,8890,15606,16119,14176, 
 偿还债务支付的现金(万元),10990,42470,36980,25490,10000,19700,14700,14700,14700,23500,23500,23500,6000,23000,19800,11300,8500,13300,13500,9000, 
 分配股利、利润或偿付利息所支付的现金(万元),739,3930,3133,795,299,2062,1742,58,11,2081,2066,1988,217,946,681,418,194,807,837,668, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),1966,20631,7343,3108,403,4219,3979,2593,533,2411,2308,1864,1193,2571,1271,664,260,2813,1130,944, 
 筹资活动现金流出小计(万元),13694,67031,47457,29393,10702,25981,20421,17351,15243,27992,27874,27352,7410,26517,21752,12382,8954,16920,15467,10612, 
 筹资活动产生的现金流量净额(万元),4586,30077,30107,20173,21000,17455,21907,4962,13,38279,37951,37606,48421,2597,3558,2191,-63,-1315,653,3564, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-17459,13860,-5982,-7607,5089,2203,-6965,-11920,1024,-4968,-10126,1453,5275,-691,-19338,-20511,-21224,774,4769,9146, 
 加:期初现金及现金等价物余额(万元),34754,20894,20894,20894,20894,18691,18691,18691,18691,23659,23659,23659,23659,24350,24350,24350,24350,23577,18808,9661, 
 期末现金及现金等价物余额(万元),17295,34754,14913,13288,25984,20894,11726,6771,19715,18691,13533,25112,28934,23659,5012,3839,3126,24350,23577,18808, 
 净利润(万元),--,6299,--,2166,--,5229,--,2607,--,5515,--,3382,--,9207,5708,3687,--,9694,6451,5769, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,7622,--,2107,--,8208,--,1946,--,5539,--,1870,--,4032,4050,2606,--,3249,1203,602, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,1219,--,598,--,1117,--,533,--,1032,--,520,--,1024,767,509,--,1012,933,919, 
 无形资产摊销(万元),--,144,--,78,--,152,--,74,--,143,--,72,--,138,103,68,--,129,99,80, 
 长期待摊费用摊销(万元),--,169,--,83,--,98,--,48,--,109,--,54,--,97,70,40,--,80,70,70, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,-17,--,--,--,9,--,0,--,83,--,0,--,12,11,0,--,1,2,-208, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,2254,--,814,--,459,--,53,--,278,--,238,--,952,686,418,--,808,840,679, 
 投资损失(万元),--,-722,--,-299,--,-479,--,-206,--,-522,--,-189,--,--,--,--,--,--,--,--, 
 递延所得税资产减少(万元),--,-1967,--,-466,--,-1474,--,-428,--,-754,--,-279,--,-1002,-1007,-646,--,-829,-378,-145, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,-626,--,472,--,626,--,600,--,1268,--,242,--,-47,-147,133,--,-701,-640,-148, 
 经营性应收项目的减少(万元),--,-34128,--,1526,--,-24187,--,1953,--,-32966,--,-14513,--,-47993,-45109,-24745,--,-32976,-14583,-4318, 
 经营性应付项目的增加(万元),--,22648,--,-14512,--,15007,--,-19611,--,-711,--,-14514,--,30852,12496,-4356,--,22448,13506,4890, 
