 报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),28343,17287,6377,49490,23408,13236,4860,32415,16921,9690,3062,24830,11516,6618,1985,18214,9515,5063,1662,14981,7938,4581,2024,12765,9920,7565,6451, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),864,647,604,354,354,44,--,181,83,27,--,59,159,52,52,82,60,60,--,141,70,57,57,50,--,3,6, 
 收到的其他与经营活动有关的现金(万元),3783,2470,16525,5265,45216,24387,9299,3648,1671,730,48,903,773,166,119,660,263,208,27,240,188,152,14,320,165,159,208, 
 经营活动现金流入小计(万元),32990,20403,23506,55109,68978,37667,14160,36244,18675,10447,3110,25792,12448,6837,2156,18956,9837,5331,1689,15362,8196,4790,2108,13134,10085,7726,6664, 
 购买商品、接受劳务支付的现金(万元),1090,382,339,659,298,125,33,1052,2826,68,22,347,165,85,18,177,140,160,71,262,165,119,142,332,73,92,218, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),26871,17377,9456,25879,18576,11720,5570,18656,13556,8137,3979,13987,10058,6673,3400,10889,8334,5323,3138,9561,7818,4296,2464,6945,5834,3423,2090, 
 支付的各项税费(万元),3555,2857,628,3337,2254,1685,691,1965,1150,726,223,475,444,349,158,737,644,535,493,1065,1159,746,681,1034,955,505,432, 
 支付的其他与经营活动有关的现金(万元),18720,13113,19937,36969,74199,46581,17102,9274,4725,1925,1476,4557,4110,2811,807,3389,2393,1403,750,2268,1783,1203,768,2199,2068,1824,1384, 
