 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),66406,362851,214514,134498,59730,367116,202281,159769,106538,265974,169734,130821,70182,218036,121088,74988,36513,137483,95605,57313,30434,123439,94889,46297,28515,136014,95749,69554,127419,52021,49588,36963, 
 客户存款和同业存放款项净增加额(万元),--,--,0,0,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,0,0,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,0,0,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,0,0,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,0,0,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,0,0,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,0,0,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,0,0,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,0,0,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,0,0,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),7559,22865,17484,11341,6587,18972,13182,10738,3424,14361,9636,5958,1993,12137,8805,5660,2028,10621,8346,6399,1997,11182,6923,5227,2564,13236,9668,6229,11831,5754,4833,4629, 
 收到的其他与经营活动有关的现金(万元),6092,28015,12614,5270,4039,59905,22706,17733,786,9176,27950,13051,2400,8407,13491,6388,2990,19507,19643,15220,18240,4085,38475,12723,10624,5024,4651,2622,3237,2292,12128,9262, 
 经营活动现金流入小计(万元),80056,413731,244612,151108,70355,445993,238169,188240,110748,289511,207319,149830,74574,238580,143385,87036,41531,167612,123594,78933,50672,138707,140287,64247,41702,154274,110068,78404,142487,60067,66549,50854, 
 购买商品、接受劳务支付的现金(万元),67744,224514,171593,109170,43367,334408,225758,188131,136274,206798,172770,140481,101122,207088,109289,68340,25239,152105,54732,32363,32987,74134,111241,56621,55057,143860,94144,54486,120150,50165,53266,35553, 
 客户贷款及垫款净增加额(万元),--,--,0,0,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,0,0,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,0,0,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,0,0,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,0,0,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),7114,30723,20264,12975,6224,27293,14247,9704,4456,18237,13360,8426,4523,16743,12676,8357,4231,16503,11295,7552,3790,15437,10733,7492,3472,12139,8910,5049,7504,3123,3313,1392, 
 支付的各项税费(万元),4603,22037,19587,13008,5725,20608,8204,2313,1009,8058,7997,4849,2602,4678,3299,2517,1416,3100,2412,1804,868,2541,4808,1786,1144,4695,4600,2423,1754,770,560,31, 
 支付的其他与经营活动有关的现金(万元),12573,49323,39434,38014,14806,59781,10831,8253,6455,17807,6531,5558,4863,18077,25836,12250,4883,13595,77749,47948,3900,31879,23627,37348,27205,18927,1554,13539,7340,3892,8037,15363, 
 经营活动现金流出小计(万元),92034,326597,250879,173167,70121,442090,259040,208402,148195,250899,200658,159314,113111,246586,151100,91464,35769,185304,146188,89666,41544,123991,150411,103247,86878,179621,109209,75498,136748,57949,65177,52339, 
 经营活动产生的现金流量净额(万元),-11978,87134,-6267,-22059,234,3902,-20871,-20162,-37447,38612,6661,-9484,-38537,-8006,-7716,-4427,5762,-17692,-22594,-10734,9127,14716,-10124,-39000,-45176,-25346,859,2907,5740,2118,1373,-1485, 
 收回投资所收到的现金(万元),--,1980,3075,3075,0,21000,0,--,110,--,--,--,--,--,33,--,--,--,--,--,--,--,--,--,1000,14000,778,778,--,100,25,--, 
 取得投资收益所收到的现金(万元),3083,--,0,0,0,1824,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,177,--,--,--,--,13222,13222,64,6,120,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),11609,4293,9322,423,14,2787,177,134,75,1060,1051,1,-7,755,21,19,--,190,100,89,51,76,36,37,42,13,12,17,--,222,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),23730,5310,0,0,0,43,0,--,0,26046,--,--,--,735,--,--,--,--,--,--,--,--,--,--,--,--,--,--,88,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,7000,0,0,0,19782,0,--,0,--,40,--,--,--,--,--,--,5503,--,--,--,574,--,574,--,4530,--,--,200,61,800,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),38422,18583,12397,3497,14,45435,177,134,185,27106,1091,1,-7,1490,54,19,0,5693,100,89,51,827,36,611,1042,18543,14012,14017,352,389,945,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),16877,105963,86133,59957,41901,257169,217529,187585,83449,155661,112874,49051,11846,81741,34035,16098,2606,44375,52377,37491,7245,71123,31925,18641,6832,55495,37041,34845,20464,6865,5611,3920, 
 投资所支付的现金(万元),68611,20503,32453,24405,136,26540,24560,24560,0,250,578,417,250,--,8170,6507,--,--,440,--,--,100,196,--,--,1500,1500,1500,--,9000,--,30, 
 质押贷款净增加额(万元),--,--,0,0,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,131,131,131,0,6743,4899,4899,0,271,4240,4240,--,10311,--,--,--,--,--,--,--,--,--,--,--,726,--,--,--,--,2000,--, 
 支付的其他与投资活动有关的现金(万元),38,13016,0,0,0,7340,0,--,14500,--,6022,6020,6056,70949,900,--,--,--,--,--,--,5503,--,--,--,941,377,176,5499,--,800,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),85526,139613,118717,84493,42037,297792,246988,217044,97949,156182,123713,59728,18152,163001,43105,22605,2606,44375,52817,37491,7245,76726,32121,18641,6832,58662,38917,36522,25963,15865,8411,3950, 
 投资活动产生的现金流量净额(万元),-47104,-121030,-106320,-80995,-42023,-252356,-246811,-216910,-97764,-129076,-122622,-59727,-18159,-161511,-43051,-22586,-2606,-38683,-52717,-37402,-7194,-75899,-32085,-18030,-5789,-40118,-24905,-22505,-25611,-15475,-7466,-3950, 
 吸收投资收到的现金(万元),--,3261,2068,2068,788,378254,378254,378254,378254,52,--,--,--,98553,98070,570,570,2600,3040,2600,--,2460,2460,2460,1460,78340,76800,--,16485,30120,8000,2617, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,2561,2068,2068,788,--,0,--,0,52,--,--,--,1053,570,570,570,2600,--,--,--,2460,2460,2460,--,1540,--,--,--,--,200,--, 
 取得借款收到的现金(万元),93794,545079,366058,285721,88737,687496,482229,369446,68346,542956,158838,98251,31940,400594,161543,96396,41977,212013,123138,90900,35988,152156,121280,89113,46794,119077,60970,61970,52655,33046,21952,24303, 
 发行债券收到的现金(万元),--,--,0,0,0,--,0,--,0,--,6422,6422,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),80073,16431,0,0,8615,14658,11062,--,55990,13961,66282,61915,47631,--,20352,18410,7992,--,70081,63185,43951,--,--,--,--,--,--,--,3550,0,--,--, 
 筹资活动现金流入小计(万元),173867,564770,368126,287789,98140,1080408,871545,747700,502590,556969,231543,166588,79571,499146,279965,115376,50538,214613,196259,156685,79938,154616,123740,91573,48254,197418,137770,61970,72691,63167,29952,26920, 
 偿还债务支付的现金(万元),100349,419461,202222,143007,82901,636243,474049,371053,119944,325366,112796,81244,27280,278834,136008,81625,39885,121098,102666,66817,37904,114307,96011,74194,23221,57222,38964,30335,43063,20809,13750,19045, 
 分配股利、利润或偿付利息所支付的现金(万元),8656,46546,30821,20898,8591,50862,37088,18922,6435,40854,18153,12607,6242,21045,7270,4774,2629,12507,5710,3564,1835,18707,13947,13650,950,3481,1751,1406,2686,550,5453,426, 
 其中：子公司支付给少数股东的股利、利润(万元),--,121,0,0,0,--,0,--,0,341,--,--,--,283,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
