 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),32673,22016,10883,44339,27575,14770,6278,36158,28873,30804,25037, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),129,84,42,147,105,62,30,149,272,362,377, 
 收到的其他与经营活动有关的现金(万元),4415,4077,3485,6142,5856,5690,3312,2225,3057,1907,5303, 
 经营活动现金流入小计(万元),37216,26178,14410,50628,33537,20522,9621,38531,32202,33072,30717, 
 购买商品、接受劳务支付的现金(万元),22738,12648,7918,24141,18817,8403,7275,13381,12154,12831,15156, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),4645,3439,1327,5942,4139,2914,1130,6789,6435,5924,5828, 
 支付的各项税费(万元),2095,1496,657,2856,2259,1324,626,4870,4417,4926,4399, 
 支付的其他与经营活动有关的现金(万元),7471,6159,3697,12355,8045,7859,4221,12050,8150,7560,11329, 
 经营活动现金流出小计(万元),36950,23742,13600,45295,33260,20500,13251,37090,31157,31240,36711, 
 经营活动产生的现金流量净额(万元),267,2436,811,5334,277,22,-3631,1441,1045,1832,-5993, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,90,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,5862, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,9,2,1,--,46,50,1,1947, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,113, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,1673,2681,1000,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,0,0,9,2,1,0,1718,2822,1001,7922, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),110,107,15,128,137,142,3,530,4403,4981,5554, 
 投资所支付的现金(万元),400,--,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,1005,1324,1729,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,42,465,1841,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),510,107,15,128,137,142,3,1576,6191,8552,5554, 
 投资活动产生的现金流量净额(万元),-510,-107,-15,-119,-135,-141,-3,142,-3369,-7551,2368, 
 吸收投资收到的现金(万元),17822,17822,--,--,--,--,--,--,--,2025,5517, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),14470,8777,2255,20263,18772,15572,4630,28500,19875,18211,18500, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
