 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31, 
 销售商品、提供劳务收到的现金(万元),7114,23279,21696,12628,6333,32212,20687,14337,8023,30928,27847,14647,8291,48284,40829,30441,23684,78153,60008,36606,14787,60226,71017,31404,14108,76560,58964,27587,17987,87863,62695,38526,125350,100865,70460,93168,55452, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0, 
 收到的税费返还(万元),390,321,1,1,1,2096,2005,2005,1820,21,26,26,4,576,578,532,61,2516,2156,2140,1335,176,--,--,--,64,--,--,--,--,58,58,16,16,16,200,0, 
 收到的其他与经营活动有关的现金(万元),827,1863,675,1676,247,1059,802,549,364,1874,1510,1073,935,1100,11467,731,184,4541,11332,8371,4977,2954,1912,1543,3891,1913,1621,1082,2422,1615,3360,906,2886,2663,541,1120,665, 
 经营活动现金流入小计(万元),8331,25463,22372,14305,6582,35367,23494,16891,10207,32822,29384,15746,9230,49959,52875,31704,23928,85210,73496,47117,21098,63356,72928,32947,17999,78538,60585,28669,20408,89478,66113,39490,128253,103544,71017,94488,56116, 
 购买商品、接受劳务支付的现金(万元),5100,14363,15050,3625,5685,23255,14487,9119,6172,26403,25865,14003,8499,42162,28140,13884,9122,40827,32008,25759,8120,36170,59536,35193,15420,93142,75453,49484,26372,76281,64263,34000,102377,98733,59730,72013,43860, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0, 
 支付给职工以及为职工支付的现金(万元),2763,7156,6061,3970,2140,6351,4880,3426,1628,6530,4436,2975,1362,10121,6438,4627,1847,9473,4297,2637,1506,12606,6587,4384,2165,11458,5662,3402,2103,7911,4821,3183,7350,5053,3373,5166,2646, 
 支付的各项税费(万元),1004,1450,1280,1118,907,436,384,234,163,847,1426,1291,1103,1564,549,324,226,1895,1050,735,307,4040,1691,1211,556,8020,7526,5524,4860,5840,4879,3083,5238,4679,3481,4522,1021, 
 支付的其他与经营活动有关的现金(万元),2273,5634,5072,8041,602,5827,3181,2252,911,6314,7633,3649,2619,13251,12250,11312,6524,10439,11674,7437,5364,19167,10434,9676,5375,15728,6515,6331,5056,12959,5201,6851,11638,6868,5234,7083,6319, 
 经营活动现金流出小计(万元),11139,28603,27463,16755,9334,35869,22932,15031,8874,40094,39360,21917,13582,67097,47377,30148,17719,62635,49029,36568,15298,71983,78247,50463,23516,128347,95156,64741,38391,102992,79164,47117,126603,115333,71818,88785,53846, 
