 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),247951,155757,301450,213849,223368,152159,176152,121629,87748, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),106,52,--,--,--,--,1,1,16, 
 收到的其他与经营活动有关的现金(万元),4705,2941,7718,5675,6099,1529,2525,1807,2212, 
 经营活动现金流入小计(万元),252762,158749,309168,219524,229467,153688,178678,123437,89976, 
 购买商品、接受劳务支付的现金(万元),105988,63597,124419,89380,77095,53922,62936,47833,35919, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),73988,50639,86991,64268,66644,48583,50837,37677,26977, 
 支付的各项税费(万元),4542,2633,5736,4207,3886,2835,4229,2986,1927, 
 支付的其他与经营活动有关的现金(万元),52375,35997,62807,45759,59804,35708,38079,27386,16309, 
 经营活动现金流出小计(万元),236893,152865,279954,203614,207428,141048,156081,115882,81132, 
 经营活动产生的现金流量净额(万元),15869,5884,29214,15910,22039,12640,22597,7555,8844, 
 收回投资所收到的现金(万元),681,681,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),687,687,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),24,24,159,11,25,23,41,304,24, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,0,--,--,--,--,51,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),1392,1392,159,11,25,23,41,354,24, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),29510,20383,42971,35280,33589,19201,44787,7682,5871, 
 投资所支付的现金(万元),1300,1300,--,--,406,406,--,500,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,4384,906,463,1657,--, 
