 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),912563,3240137,2081398,1242715,584656,2079269,1580189,998036,437520,1874984,1231280,681283,308573,1310866,905898,576865,299462,889871,586002,368248,131459,487942,312226,148168,52931,271057,202538,146742,81896,256599,227112,142795,76152,32067,22954,16315,8716,84038,74191,57585,27490,67700,44401,27902,10423,45969,41780,23358,11371, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,--,0,--,0,--,0,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,--,0,--,0,--,0,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,--,0,--,0,--,0,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,--,0,--,0,--,0,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,--,0,--,0,--,0,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,--,0,--,0,--,0,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,--,0,--,0,--,0,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,--,0,--,0,--,0,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,--,0,--,0,--,0,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,--,0,--,0,--,0,--,--,--, 
 收到的税费返还(万元),--,--,--,0,--,--,--,--,--,--,89,89,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,8,5,197,315,189,20,336,289,227,156,505,370,--,--,1090,1035,736,327,1275,836,539,84, 
 收到的其他与经营活动有关的现金(万元),223285,417973,284071,119624,74605,120830,142705,134355,33475,141260,90939,84469,138295,59731,64515,45301,136875,21483,49158,8400,38283,15567,17696,47165,14425,96930,56350,8530,148041,24863,26260,6878,10028,36680,38222,37231,424,11811,12089,11424,787,1558,1102,756,775,1103,1027,422,177, 
 经营活动现金流入小计(万元),1135847,3658110,2365468,1362339,659261,2200099,1722894,1132392,470995,2016244,1322308,765841,446868,1370597,970413,622166,436337,911355,635161,376648,169742,503508,329922,195332,67356,367987,258888,155279,229942,281659,253686,149862,86200,69083,61465,53773,9295,96354,86650,69009,28277,70348,46538,29394,11525,48347,43643,24319,11633, 
 购买商品、接受劳务支付的现金(万元),996114,2720669,1823310,1555301,946463,2506181,2670842,1833653,447970,1788000,749726,522426,222798,2645909,2565723,1840523,1232385,1869113,1636382,1057667,278170,369921,218954,83245,32980,446740,321603,245637,99752,137120,112027,79655,41558,23479,18808,13836,5841,52494,51847,37777,16236,53502,33802,22006,8809,37802,36465,19247,9257, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,--,0,--,0,--,0,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,--,0,--,0,--,0,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,--,0,--,0,--,0,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,--,0,--,0,--,0,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,--,0,--,0,--,0,--,--,--, 
 支付给职工以及为职工支付的现金(万元),84710,163162,97659,59104,28268,90127,57954,38308,22095,68505,47532,31245,16825,49581,34170,22299,11619,28378,14564,7936,4004,11778,8297,5645,3017,10414,6221,4286,2320,8640,6178,4569,2450,4690,3181,2342,1331,5163,3579,2941,1627,5479,3773,3112,925,2974,2347,1585,869, 
 支付的各项税费(万元),183329,311296,263376,170857,72634,329557,238208,193774,79457,197637,144358,95725,32512,167087,136233,113073,58347,105046,78722,45211,10047,56720,36028,23399,8187,34911,30081,22892,11307,32331,22918,18586,9471,1119,838,625,292,4455,3891,3012,721,923,622,381,146,720,611,424,224, 
 支付的其他与经营活动有关的现金(万元),331644,1718251,821425,496788,204372,288329,486184,234825,68230,197181,153373,47813,28958,170591,45340,29664,56469,52945,58311,82776,12240,142955,106504,79782,32810,35250,19542,11990,148795,31752,28589,20355,14323,6701,3369,2236,1256,14967,5164,5768,2262,4510,3426,1866,1071,3764,3093,2290,1017, 
 经营活动现金流出小计(万元),1595796,4913377,3005770,2282051,1251736,3214194,3453188,2300560,617753,2251323,1094988,697209,301093,3033168,2781467,2005559,1358820,2055482,1787978,1193589,304461,581374,369783,192071,76994,527315,377447,284805,262174,209843,169711,123166,67803,35989,26195,19039,8720,77078,64480,49498,20846,64413,41623,27365,10952,45259,42515,23545,11368, 
 经营活动产生的现金流量净额(万元),-459949,-1255267,-640301,-919712,-592475,-1014095,-1730294,-1168169,-146757,-235079,227319,68632,145775,-1662571,-1811054,-1383393,-922483,-1144127,-1152818,-816941,-134719,-77865,-39861,3261,-9638,-159328,-118559,-129526,-32233,71816,83976,26696,18397,33094,35270,34734,575,19275,22170,19511,7431,5934,4915,2029,573,3088,1127,773,264, 
 收回投资所收到的现金(万元),35640,73464,17368,17368,--,74943,36494,30356,--,--,--,--,--,--,--,--,--,728,5722,430,0,--,542,102,1,120,120,120,120,517,--,0,--,0,0,0,--,--,--,--,--,0,53,53,--,105,105,--,--, 
 取得投资收益所收到的现金(万元),--,594,589,580,--,1647,1647,1630,--,1148,1148,1120,--,23,23,23,--,123,90,90,64,35,35,0,--,1946,0,--,--,44,41,12,9,0,0,0,--,10,--,--,--,0,--,0,--,9,7,7,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),4,86,46,26,11,57,40,0,--,31,113,0,0,17,25,24,11,253,42,16,0,359,127,22,13,1247,1246,1209,1206,90,91,73,19,73,67,33,17,177,142,110,61,193,132,97,19,68,153,128,28, 
 处置子公司及其他营业单位收到的现金净额(万元),--,38394,38394,4525,--,--,--,0,--,2911,2810,2810,2860,3417,3693,--,--,--,--,--,0,571,29,29,29,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,--,53,--,0,--,0,--,--,--, 
 收到的其他与投资活动有关的现金(万元),8300,247172,188019,82286,94046,16483,0,0,0,--,0,--,--,1,1,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,--,0,--,0,--,0,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,--,0,--,0,--,0,--,--,--, 
 投资活动现金流入小计(万元),43944,359712,244416,104785,94057,93130,38181,31987,0,4090,4072,3930,2861,3459,3742,47,11,1104,5854,536,64,965,734,153,43,3313,1366,1329,1326,651,132,86,28,73,67,33,17,187,142,110,61,246,185,151,19,182,264,135,28, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),8009,92755,137770,29226,1372,8932,7865,8344,4567,4248,4297,2580,296,13971,12187,7657,6291,24710,18784,15422,6835,28248,30314,14679,6989,1452,1241,694,281,2093,1035,877,424,2275,1494,975,587,3444,2390,1228,504,1314,827,600,173,745,428,276,63, 
 投资所支付的现金(万元),271528,1043210,351186,144724,27319,153376,40868,0,112500,1240,3690,1240,--,--,--,--,70140,--,--,--,--,200,200,0,--,26190,26190,340,340,784,429,350,--,0,0,0,--,--,--,--,--,0,--,0,--,0,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,--,0,--,0,--,0,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),64029,1578560,1089578,500443,78978,378675,242942,33984,--,--,130000,130000,--,42172,112312,112312,--,10944,9007,8922,--,68167,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,--,0,--,0,--,0,--,--,--, 
 支付的其他与投资活动有关的现金(万元),198183,777527,2016437,617709,108257,610726,121262,121262,15140,137390,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,--,0,--,0,--,0,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,--,0,--,0,--,0,--,--,--, 
 投资活动现金流出小计(万元),541749,3492052,3594970,1292102,215926,1151708,412937,163590,132207,142878,137987,133820,296,56142,124499,119969,76431,35654,27791,24344,6835,96616,30514,14679,6989,27642,27431,1034,621,2877,1464,1227,424,2275,1494,975,587,3444,2390,1228,504,1314,827,600,173,745,428,276,63, 
 投资活动产生的现金流量净额(万元),-497805,-3132340,-3350555,-1187317,-121869,-1058578,-374757,-131603,-132207,-138788,-133916,-129890,2564,-52684,-120757,-119922,-76420,-34551,-21937,-23808,-6771,-95650,-29780,-14526,-6946,-24328,-26064,294,704,-2225,-1333,-1141,-396,-2202,-1427,-942,-569,-3258,-2248,-1118,-443,-1069,-642,-449,-155,-563,-164,-140,-35, 
