 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),20776,12346,7294,38854,25659,16974,7567,32648,22829,14490,27298,21110,14485,13460, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),5,2,1,648,17,14,12,2890,1414,1403,4,94,1114,53, 
 收到的其他与经营活动有关的现金(万元),359,299,252,1136,266,186,64,414,320,134,204,166,179,34, 
 经营活动现金流入小计(万元),21141,12646,7547,40638,25942,17174,7642,35951,24563,16027,27506,21369,15778,13547, 
 购买商品、接受劳务支付的现金(万元),15758,10591,4713,18059,16446,8718,6910,17182,13436,7946,12383,8974,6841,8236, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),3870,2776,2108,4434,3429,2373,1391,3889,2989,2056,3568,2827,2263,1432, 
 支付的各项税费(万元),3885,2247,699,5104,3927,2433,1053,4552,3521,2371,3378,2678,2229,1909, 
 支付的其他与经营活动有关的现金(万元),3582,2465,1140,5421,2471,1679,1143,1816,1579,1088,1755,1394,1222,934, 
