 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),39659,25848,53099,38718,53105,53644,44667, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--, 
 收到的税费返还(万元),1508,987,3033,2610,4183,3787,3543, 
 收到的其他与经营活动有关的现金(万元),790,302,2253,2177,1647,1807,2119, 
 经营活动现金流入小计(万元),41957,27138,58385,43505,58935,59237,50329, 
 购买商品、接受劳务支付的现金(万元),27197,16988,31632,24275,30802,35936,34090, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),8468,5738,9964,7361,9490,9366,8458, 
 支付的各项税费(万元),3072,2100,3491,2606,6257,4963,3405, 
 支付的其他与经营活动有关的现金(万元),2588,1871,5181,3141,6742,5178,3168, 
 经营活动现金流出小计(万元),41325,26697,50269,37383,53291,55443,49121, 
 经营活动产生的现金流量净额(万元),632,441,8116,6122,5644,3794,1208, 
 收回投资所收到的现金(万元),1005,1005,--,--,--,33,--, 
 取得投资收益所收到的现金(万元),19,15,73,64,21,62,33, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),9,1,2,--,109,38,116, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),1032,1021,74,64,130,132,149, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),2673,1526,3779,2723,3621,3254,3397, 
 投资所支付的现金(万元),210,210,4326,3139,--,30,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),2883,1737,8105,5862,3621,3284,3397, 
 投资活动产生的现金流量净额(万元),-1851,-716,-8031,-5798,-3491,-3153,-3248, 
 吸收投资收到的现金(万元),--,--,407,97,--,--,1, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,407,97,--,--,--, 
 取得借款收到的现金(万元),16450,12450,25985,15685,38593,36368,29667, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),978,978,5370,2370,4438,--,--, 
 筹资活动现金流入小计(万元),17428,13428,31762,18152,43031,36368,29668, 
 偿还债务支付的现金(万元),14955,10975,24539,16219,39859,34118,20449, 
 分配股利、利润或偿付利息所支付的现金(万元),2012,1663,2655,982,1519,1577,2385, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),1050,1050,2750,2250,3815,3000,1172, 
 筹资活动现金流出小计(万元),18017,13688,29943,19450,45193,38695,24006, 
 筹资活动产生的现金流量净额(万元),-589,-260,1818,-1298,-2162,-2326,5662, 
 汇率变动对现金及现金等价物的影响(万元),-47,-22,-53,39,282,-70,145, 
 现金及现金等价物净增加额(万元),-1855,-556,1851,-935,273,-1755,3768, 
 加:期初现金及现金等价物余额(万元),5936,5936,4086,4086,3813,5568,1800, 
 期末现金及现金等价物余额(万元),4082,5380,5936,3150,4086,3813,5568, 
 净利润(万元),--,2218,4489,--,4289,4887,3252, 
 少数股东损益(万元),--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--, 
 资产减值准备(万元),--,94,12,--,106,-269,76, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,2326,4435,--,4198,3783,3167, 
 无形资产摊销(万元),--,110,131,--,112,99,86, 
 长期待摊费用摊销(万元),--,371,579,--,721,670,518, 
 待摊费用的减少(万元),--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,16,19,--,37,143,353, 
 固定资产报废损失(万元),--,31,28,--,--,42,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,-1, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--, 
 财务费用(万元),--,648,1320,--,1665,1393,1166, 
 投资损失(万元),--,-15,-73,--,-21,-61,-33, 
 递延所得税资产减少(万元),--,-110,-271,--,92,-89,-196, 
 递延所得税负债增加(万元),--,72,21,--,27,--,--, 
 存货的减少(万元),--,-4419,-2346,--,-439,-1494,-2730, 
 经营性应收项目的减少(万元),--,-1980,293,--,-5128,-3040,-5060, 
 经营性应付项目的增加(万元),--,1080,-521,--,-15,-2270,612, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,441,8116,--,5644,3794,1208, 
 债务转为资本(万元),--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--, 
 现金的期末余额(万元),4082,5380,5936,3150,4086,3813,5568, 
 现金的期初余额(万元),5936,5936,4086,4086,3813,5568,1800, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-1855,-556,1851,-935,273,-1755,3768, 

