 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),12002,51259,30763,19063,9043,41581,27411,17316,7295,36747,25592,16293,7062,33949,24018,14821,5994,33366,23654,16410,6822,28995,21870,14178,6499,33913,15898,30925,24904,18080, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),62,60,58,58,58,20,20,10,10,401,379,415,80,305,171,126,58,272,87,83,22,82,82,82,43,117,50,110,25,154, 
 收到的其他与经营活动有关的现金(万元),169,891,484,378,164,1696,1563,741,367,2333,1364,1274,248,2120,939,610,272,1321,988,880,411,1190,803,623,558,462,233,732,585,1887, 
 经营活动现金流入小计(万元),12232,52210,31305,19498,9266,43297,28994,18067,7671,39482,27334,17982,7389,36375,25128,15557,6323,34960,24729,17374,7255,30267,22755,14883,7100,34493,16181,31767,25515,20121, 
 购买商品、接受劳务支付的现金(万元),7746,28861,20030,12204,6079,24093,18945,11923,6167,20706,17707,11065,6178,22433,18403,12427,6313,20540,16527,11517,6603,19369,16955,11214,6213,23296,12425,21184,12488,17081, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),2645,8670,6596,4471,2367,7419,5524,3691,1863,6878,5151,3475,1831,6726,5232,3565,1907,5977,4466,2967,1408,4647,3421,2228,900,4060,2021,3393,2665,1879, 
 支付的各项税费(万元),813,3196,2048,1556,615,3229,2207,1347,757,2563,1638,1200,535,2626,1861,1147,415,2088,1469,915,381,1882,1652,1043,626,1924,700,1232,1182,1040, 
 支付的其他与经营活动有关的现金(万元),937,5105,2844,2222,928,4355,1594,1677,604,4720,3401,2075,441,4074,2249,1259,658,3511,2554,1577,933,3675,2476,1159,769,2274,1599,2304,2073,1401, 
