 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),40608,27743,14393,55746,40920,24054,11531,61642,53911,24203,53393,43573,45632, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),4995,3023,1641,5116,4130,2424,1189,7450,3018,1252,3555,3512,4528, 
 收到的其他与经营活动有关的现金(万元),1872,619,121,1524,1673,667,346,1278,586,308,1029,714,840, 
 经营活动现金流入小计(万元),47475,31385,16155,62386,46723,27145,13066,70370,57515,25763,57978,47799,50999, 
 购买商品、接受劳务支付的现金(万元),25389,17751,7132,31252,24774,16844,8412,36949,33016,13145,28442,31751,26769, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),7974,5585,3234,9737,7479,5326,3059,9804,7811,3919,6260,4979,3973, 
 支付的各项税费(万元),3906,3064,1586,5814,4448,2274,1058,6054,4737,2686,4655,3138,3540, 
 支付的其他与经营活动有关的现金(万元),3965,2457,1288,3859,2980,1781,887,4222,4430,1879,3699,4121,4550, 
 经营活动现金流出小计(万元),41234,28857,13240,50662,39681,26225,13417,57028,49993,21629,43057,43989,38833, 
 经营活动产生的现金流量净额(万元),6241,2528,2915,11724,7042,920,-351,13342,7522,4133,14921,3811,12167, 
 收回投资所收到的现金(万元),500,--,51,--,--,--,1506,497,--,--,--,--,4500, 
 取得投资收益所收到的现金(万元),204,4,4,--,15,--,--,--,--,--,--,193,375, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,0,0,382,131,216,15,500,41,41,39,89,29, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),8,8,8,2315,1747,1756,--,6221,8839,3810,36152,39710,10371, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),712,12,63,2698,1892,1972,1520,7218,8880,3850,36191,39992,15275, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),6750,4390,2087,10884,7776,5926,4466,6156,4614,2124,7544,8172,15971, 
 投资所支付的现金(万元),29019,3500,--,3500,--,1,--,6965,907,846,2937,735,12498, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,4504,4415,28722,44223,11373, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),35768,7890,2087,14384,7776,5927,4466,13121,10026,7385,39203,53130,39842, 
 投资活动产生的现金流量净额(万元),-35056,-7878,-2023,-11686,-5884,-3955,-2946,-5902,-1146,-3535,-3011,-13138,-24568, 
 吸收投资收到的现金(万元),40340,40340,40340,--,--,--,--,--,--,--,--,150,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,150,--, 
 取得借款收到的现金(万元),15575,8575,5600,8700,5000,5000,4000,3396,26790,14390,43872,42012,27888, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,7151,13,1604, 
 筹资活动现金流入小计(万元),55915,48915,45940,8700,5000,5000,4000,3396,26790,14390,51023,42175,29492, 
 偿还债务支付的现金(万元),8265,5300,3006,5000,2000,1000,--,16296,27355,18055,47644,35071,24012, 
 分配股利、利润或偿付利息所支付的现金(万元),298,184,92,265,208,132,46,183,1004,461,2771,1073,1054, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),1475,782,--,146,--,75,--,459,--,--,8173,876,--, 
 筹资活动现金流出小计(万元),10038,6266,3098,5411,2208,1208,46,16939,28359,18516,58588,37020,25066, 
 筹资活动产生的现金流量净额(万元),45876,42648,42842,3289,2792,3792,3954,-13543,-1569,-4126,-7564,5155,4426, 
 汇率变动对现金及现金等价物的影响(万元),-332,-130,-83,332,202,135,13,826,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),16729,37168,43651,3659,4153,892,671,-5277,4807,-3528,4345,-4172,-7975, 
 加:期初现金及现金等价物余额(万元),10656,10656,12516,6997,6997,6997,9955,12274,7467,7467,3122,7295,15270, 
 期末现金及现金等价物余额(万元),27385,47824,56167,10656,11149,7889,10626,6997,12274,3939,7467,3122,7295, 
 净利润(万元),--,3566,--,8512,--,4392,--,8177,7849,--,--,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,111,--,771,--,567,--,88,234,--,--,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,1322,--,2881,--,1438,--,2768,2394,--,--,--,--, 
 无形资产摊销(万元),--,190,--,317,--,142,--,191,200,--,--,--,--, 
 长期待摊费用摊销(万元),--,26,--,317,--,161,--,199,197,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,20,--,463,--,328,--,61,33,--,--,--,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,26,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,178,--,268,--,136,--,160,808,--,--,--,--, 
 投资损失(万元),--,136,--,-189,--,-174,--,-319,-6,--,--,--,--, 
 递延所得税资产减少(万元),--,-33,--,-27,--,-58,--,-3,-134,--,--,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,-56,--,1445,--,1407,--,1783,-2852,--,--,--,--, 
 经营性应收项目的减少(万元),--,-3309,--,-3430,--,-5953,--,7522,-5512,--,--,--,--, 
 经营性应付项目的增加(万元),--,377,--,396,--,-1464,--,-7284,4285,--,--,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,2528,--,11724,--,920,--,13342,7522,--,--,--,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),27385,47824,56167,10656,11149,7889,10626,6997,12274,3939,7467,3122,7295, 
 现金的期初余额(万元),10656,10656,12516,6997,6997,6997,9955,12274,7467,7467,3122,7295,15270, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),16729,37168,43651,3659,4153,892,671,-5277,4807,-3528,4345,-4172,-7975, 

