 报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),44497,226062,160309,110179,63133,208693,136944,92936,53215,125880,108550,67504,20990,57966,42913,31147,13856,52001,38045,24351,10635,36731,27686,20783,10411,52538,38788,28565,14376,46512,39985,27041, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),53,2750,2688,2046,434,1006,931,192,20,121,77,54,5,131,132,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),15768,44217,46025,22304,18420,39599,35825,19282,32392,21661,30690,32551,6162,3786,313,271,845,9352,391,317,5526,2015,334,138,40,1390,1294,634,138,481,1612,441, 
 经营活动现金流入小计(万元),60318,273028,209023,134528,81987,249297,173700,112409,85627,147662,139317,100108,27156,61883,43357,31418,14701,61353,38436,24668,16161,38746,28020,20921,10451,53928,40082,29199,14514,46993,41597,27483, 
 购买商品、接受劳务支付的现金(万元),22981,155631,149643,101081,69280,263969,163268,116349,57973,115915,95478,35719,16492,40782,33112,24395,9506,41076,24928,18609,8916,25595,21091,11721,8489,43767,34821,23385,10450,30123,28056,21255, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),6746,35128,28322,19971,10760,38180,27245,17812,8846,24445,15841,10001,4116,10416,8296,5446,2367,9322,7364,4833,2254,7103,5062,3353,1644,5706,5355,2912,1439,3776,2707,1828, 
 支付的各项税费(万元),1157,8127,6960,6317,4951,17497,11510,6883,4622,4892,4693,3058,1191,2282,1917,1296,786,3148,2971,2088,944,2949,2033,1515,882,3308,2958,2355,1048,2294,3258,1540, 
 支付的其他与经营活动有关的现金(万元),20048,50851,34275,21368,13070,64653,61012,29558,39543,34086,22167,48511,2427,13807,11915,11123,1019,4231,3086,2224,1309,5168,5257,9361,1351,3576,2571,1119,517,2969,2980,1675, 
 经营活动现金流出小计(万元),50931,249736,219200,148737,98061,384298,263036,170603,110984,179339,138179,97290,24226,67287,55239,42260,13678,57777,38349,27754,13423,40815,33443,25950,12367,56358,45705,29770,13454,39161,37001,26298, 
 经营活动产生的现金流量净额(万元),9386,23292,-10177,-14209,-16075,-135001,-89335,-58193,-25356,-31676,1138,2818,2930,-5405,-11882,-10841,1024,3576,86,-3086,2739,-2069,-5423,-5029,-1915,-2430,-5624,-572,1059,7831,4596,1184, 
 收回投资所收到的现金(万元),1140,3685,2812,2308,1042,20854,251,--,--,--,--,--,--,--,3000,3000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),2,29,25,24,3,380,54,--,--,--,--,--,--,--,25,25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),258,1022,830,286,7,84,3,40,19,--,2,2,2,--,--,--,--,560,21,20,--,5588,--,--,--,123,120,120,120,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,2464,2500,--,2858,6340,3443,--,15801,15813,15808,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,254,1,2788,--,3464,269,14,3465,323,--,--,--,25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),1400,4990,6131,7906,1052,27640,6917,3497,3484,16123,15814,15809,2,25,3025,3025,0,560,21,20,0,5588,0,0,0,123,120,120,120,0,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),7849,61392,43249,34846,27556,86131,60371,44721,17063,54755,36172,18015,12318,23805,11606,6330,2938,7590,5290,4018,2222,11486,13130,8871,3647,16613,14104,4343,3651,7519,11252,3692, 
 投资所支付的现金(万元),429,318,1743,1073,872,46586,21925,20325,13671,6075,3975,1154,7659,2620,5000,4500,--,--,--,--,--,1123,--,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,4789,-3464,-3409,--,30682,20933,19873,-1457,7410,3110,3110,--,--,--,--,--,3584,5134,5134,2326,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),169,--,--,--,--,31,20638,11490,1673,--,1543,1508,15,--,--,--,--,--,--,--,--,30,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),8447,61710,44992,35919,28428,137537,99470,73127,32407,91512,62622,40550,18536,33835,19716,13939,2938,7590,5290,4018,2222,16223,18265,14006,5974,16613,14104,4343,3651,7519,11252,3692, 
