 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),12706,7467,3217,22499,11953,7318,2481,23324,15797,18275,11319, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),652,600,370,1303,852,531,343,1212,1080,941,698, 
 收到的其他与经营活动有关的现金(万元),874,650,343,989,891,282,190,1555,1844,3576,2943, 
 经营活动现金流入小计(万元),14232,8716,3931,24791,13696,8132,3015,26091,18720,22791,14959, 
 购买商品、接受劳务支付的现金(万元),5449,3579,2456,8011,6651,4785,3547,6749,5386,7319,4746, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),6431,4512,2803,6547,4945,3677,2269,4946,4192,3807,2880, 
 支付的各项税费(万元),2503,1854,1288,3534,2566,1923,1287,2697,2999,2411,1092, 
 支付的其他与经营活动有关的现金(万元),4163,2555,1138,4713,3763,2087,1308,4464,3742,4277,3339, 
 经营活动现金流出小计(万元),18547,12500,7686,22805,17925,12472,8412,18855,16319,17815,12057, 
