 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2006-12-31,2006-06-30,2005-12-31,2004-12-31, 
 销售商品、提供劳务收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,0,0,--,--,--,--,--,--, 
 客户存款和同业存放款项净增加额(万元),7882600,--,--,--,9228500,44323200,--,--,--,70332400,45031900,--,29213400,33077700,29031800,62908700,27847500,59652500,39654300,43741700,20302500,28732800,26784000,22017300,7397300,--,--,--,7065600,39321100,29868300,28908200,11202100,48125100,25002700,23024900,11456900,17062000,7560400,9502600,6464300,23408700,16295900,10976400,9324200,4042200,9555300,8966400, 
 向中央银行借款净增加额(万元,2195000,5355000,3855000,955000,--,14655000,4155000,4060000,4450000,--,--,--,500000,5005000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,0,0,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,0,0,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,0,0,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,0,0,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,0,0,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),326800,1471200,2402000,1280600,824800,3785100,--,2068600,2742900,138200,460500,641000,1298600,2391600,1037600,1405700,1229800,546500,385300,904500,521000,166300,--,--,--,486400,666500,--,--,214500,1047000,271600,62500,412500,19700,--,0,13000,0,--,0,0,195800,162000,9700,115700,408300,--, 
 收取利息、手续费及佣金的现金(万元),6660700,27882800,20910300,13873400,6679400,25935000,19216500,12918800,6474300,24570100,18418300,12439200,5809300,22186400,16567000,10987600,5200500,18051400,13104800,8384400,3981800,14819400,11087700,7298700,3490900,11252000,8117300,5126900,2365300,7695100,5573300,3573300,1676200,6082000,4215200,2682100,1752100,6175000,4609100,3005000,1412200,4250800,2973700,1852600,3010000,1205200,2017300,1609500, 
 拆入资金净增加额(万元),--,--,--,--,--,3374700,879000,--,--,2935000,575300,81100,0,--,0,--,937700,2440900,1782600,1619000,2560700,1380200,563500,--,234300,--,151600,--,--,257000,0,46400,165000,294800,330300,500000,0,32400,495500,668200,81600,0,--,--,239400,92200,--,--, 
 回购业务资金净增加额(万元),--,1416200,--,--,--,4917200,--,--,--,2955000,--,--,--,3365700,4476800,103400,3404200,--,349300,613900,--,143700,--,--,498900,543100,925800,1060000,369700,32300,25800,26300,0,314200,635800,1214000,83300,--,0,--,0,1401000,665900,419200,38900,91400,--,193700, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,0,0,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),1420500,928700,232900,1274700,841800,2366300,1173600,686200,458100,1718400,1277300,274400,86300,705900,138400,85300,2100,2117800,416300,732800,144000,1031100,1171400,556200,371200,1046900,982100,808000,466600,644300,464200,370400,277800,294500,35200,268200,807700,377200,242700,426600,570700,77900,158600,164700,47200,--,588300,--, 
 经营活动现金流入小计(万元),42285300,101576600,95550500,61227000,33902000,103730000,60738600,57047900,57709900,104745000,69017700,65485200,40165300,90318500,59466500,77663100,38596400,83529500,57584900,58981000,30458900,57980900,42381200,32196600,18506400,76707000,32817600,23653900,10570600,52749900,43260900,37608900,21713600,55523100,33263500,30380400,16986600,29751700,20462600,20932500,11021000,29206100,20289900,14023300,12733700,7837200,12855300,11834700, 
 购买商品、接受劳务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,0,0,--,--,--,--,--,--, 
 客户贷款及垫款净增加额(万元),11258000,36554400,32625900,23692900,8285100,36911200,32979600,23651000,14601400,35895200,20311200,13070900,5433700,23711100,17978500,16598400,9888900,28862300,22377000,16701000,9346200,22847400,16686500,10090500,4294800,17478700,12482300,9314500,3474900,20119300,13683600,12846900,6827600,33597200,32623600,32386700,17100200,9064700,7399600,5860400,3034100,11204100,8616700,7492700,9689200,7272100,6720200,5229300, 
 存放中央银行和同业款项净增加额(万元),--,2417200,--,--,--,4683300,--,--,--,240000,--,--,--,3737800,3246600,4040400,4150700,8254400,7034900,6663800,3957100,5857700,4755800,3137800,3031100,--,--,--,2916500,10238100,7369900,5832500,3229500,3928600,3425500,2180200,1207600,1081000,3061500,3076800,419700,4356000,2370300,1451800,1236700,362700,1275200,577400, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,0,0,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),2393700,10603700,7995700,5506500,2651100,9727000,7355300,5095400,2593200,10396600,7930800,5642400,2929600,9971300,7381500,4814400,2297000,7039900,5159000,3363800,1649600,5525400,4026200,2713500,1413900,3579800,2546800,1558900,680300,2235000,1537300,984500,509000,2031900,1459200,955100,528800,2021700,1414400,883000,420200,1414300,989100,633400,1221500,523400,933100,699400, 
