 报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31, 
 销售商品、提供劳务收到的现金(万元),570840,350010,215885,91301,444755,301597,167659,71686,395620,300980,185663,69952,417713,306247,175324,71446,351791,279678,174256,77013,339736,303970,169856,66685,376832,297127,220276,69322,407281,248113,149094,64865,225731,145710,87282,35741,165185,111594,70204,216963,195848,143515, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 收到的税费返还(万元),--,--,0,0,--,--,0,--,0,--,0,--,--,0,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6344,0,0,0,0, 
 收到的其他与经营活动有关的现金(万元),3331,2341,1119,301,8836,2368,1746,713,5187,1916,1279,234,4375,5828,4723,1312,7912,3184,3607,743,5638,9101,1264,286,4378,4171,1580,434,1931,1636,997,359,2460,1228,583,379,1736,0,1496,2293,3888,3535, 
 经营活动现金流入小计(万元),574170,352351,217004,91601,453590,303965,169404,72399,400807,302896,186942,70185,422088,312074,180046,72759,359703,282862,177864,77756,345374,313071,171120,66971,381210,301297,221856,69756,409212,249749,150091,65224,228191,146939,87865,36121,166921,117938,71700,219255,199736,147050, 
 购买商品、接受劳务支付的现金(万元),544632,384498,248892,106246,390414,292108,169342,81262,313035,231100,153836,68271,358814,284976,160363,59771,272303,248104,152610,59666,264256,278421,138603,63887,314210,266600,204522,69232,386626,248019,158620,74190,225204,147408,85040,45999,131673,82750,43840,188092,170197,128614, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 支付给职工以及为职工支付的现金(万元),17598,13565,8874,5090,16036,12080,8121,4661,15565,12273,8001,4349,15200,11309,7388,4131,13404,10258,6714,3806,13566,10589,7057,3774,13126,9623,6356,3773,8816,6577,4482,2618,8005,5502,3725,2669,5725,4381,2871,5893,4782,4595, 
 支付的各项税费(万元),11332,7405,5878,2128,15646,11427,8502,1706,22791,15996,9991,3791,16985,12706,8741,2883,17337,12102,9276,6634,16058,12434,9366,4671,13664,8958,5542,2940,8000,3575,2218,811,6352,4303,2918,560,9191,7493,4989,10221,9465,5410, 
 支付的其他与经营活动有关的现金(万元),13802,12645,6901,3803,9085,8949,3901,1165,10852,11216,6901,1766,9974,14273,8181,3224,9903,6517,3189,1224,14839,12205,11567,4310,14603,16216,9801,4295,10634,10233,4957,1924,7968,8696,6163,2313,8881,8850,5652,9757,10798,6488, 
 经营活动现金流出小计(万元),587364,418114,270545,117268,431181,324564,189865,88794,362243,270585,178729,78177,400973,323263,184673,70010,312947,276982,171789,71329,308718,313648,166593,76642,355602,301397,226221,80240,414076,268405,170278,79543,247529,165909,97846,51542,155469,103473,57352,213963,195243,145108, 
 经营活动产生的现金流量净额(万元),-13193,-65763,-53541,-25666,22410,-20600,-20461,-16396,38564,32311,8212,-7992,21115,-11189,-4627,2749,46756,5880,6075,6427,36656,-577,4527,-9672,25608,-99,-4365,-10483,-4864,-18656,-20186,-14319,-19338,-18970,-9981,-15421,11452,14465,14348,5292,4493,1942, 
 收回投资所收到的现金(万元),--,241,229,16,185,13,0,--,0,106,106,--,0,0,--,165,378,870,870,800,59,--,81,0,107,103,62,--,832,539,539,42,2860,1883,1750,1617,2697,1266,1059,5758,5548,4144, 
 取得投资收益所收到的现金(万元),363,363,287,48,971,1088,465,--,223,230,222,--,223,193,193,--,345,156,11,0,142,143,15,13,109,84,87,1,252,150,51,--,200,91,62,32,698,56,82,34,668,2159, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),21,21,21,18,43,43,43,0,0,--,0,--,0,0,--,--,7,7,7,--,0,--,0,0,30,--,--,--,--,--,--,--,454,454,454,450,5,5,5,1,47,979, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,0,0,--,--,0,0,0,--,0,--,0,0,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,14,--,--,--,977,977,--,--,0,0,0,0,0, 
 收到的其他与投资活动有关的现金(万元),25224,25200,25200,12400,19598,--,0,58,12242,--,0,--,11521,9401,8443,5336,20055,4123,1200,0,0,--,0,0,0,--,--,--,520,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 投资活动现金流入小计(万元),25609,25825,25736,12483,20797,1144,508,58,12465,336,328,0,11743,9594,8636,5501,20785,5155,2087,800,201,143,95,13,246,188,149,1,1605,703,590,42,3514,3405,3242,2099,3400,1327,1146,5794,6263,7282, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),15268,14079,11361,3791,20621,13594,9264,4145,14384,10339,8311,4732,23235,19259,15302,8687,35134,21112,11418,4704,14703,13127,4670,2811,18361,15740,10234,4740,28005,17649,9593,6552,22660,15235,7898,4627,19433,14359,7794,8470,8030,2123, 
 投资所支付的现金(万元),1470,2767,1347,305,1470,1001,503,13,64,85,85,29,406,0,149,57,369,77,70,0,220,32,46,0,89,186,78,293,1244,907,1185,46,2099,3252,3412,690,2697,1467,1203,5875,6057,4154, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,0,0,--,--,0,--,0,--,0,--,--,0,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,449,--,--,--,--,0,0,0,0,0, 
 支付的其他与投资活动有关的现金(万元),25322,25300,25200,12400,19600,--,0,--,0,--,0,--,--,0,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 投资活动现金流出小计(万元),42060,42146,37908,16496,41692,14595,9767,4158,14448,10423,8396,4761,23641,19259,15452,8744,35503,21189,11488,4704,14922,13159,4716,2811,18450,15926,10312,5033,29248,18556,10778,6598,25208,18487,11310,5317,22130,15826,8997,14345,14086,6277, 
 投资活动产生的现金流量净额(万元),-16452,-16321,-12172,-4013,-20894,-13451,-9259,-4100,-1984,-10087,-8068,-4761,-11897,-9665,-6815,-3243,-14718,-16034,-9400,-3904,-14721,-13016,-4621,-2798,-18204,-15738,-10163,-5032,-27644,-17852,-10188,-6557,-21695,-15083,-8068,-3218,-18730,-14500,-7851,-8550,-7823,1005, 
 吸收投资收到的现金(万元),--,0,0,0,--,--,0,--,0,--,0,--,--,0,--,--,0,--,--,0,--,--,0,0,0,--,--,--,700,700,700,--,1200,--,--,--,66860,0,0,0,0,11, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,0,0,--,--,0,--,0,--,0,--,--,0,--,--,0,--,--,0,--,--,0,0,0,--,--,--,700,700,700,--,1200,--,--,--,--,0,0,0,0,0, 
 取得借款收到的现金(万元),341000,267000,164486,76000,251400,209400,141400,48777,195000,131353,85353,47853,205296,168500,117000,42000,163270,153170,108270,43510,218499,185200,96000,67400,176280,135589,94663,39700,144563,134269,98022,26554,88305,55800,36800,17000,68774,62849,55072,75928,52290,40554, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3126,--,0,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
