 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2012-06-30,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),214951,134826,62654,205224,153073,92804,44202,174906,128504,117791,154809,122057,106619,47699,91130,77040,44271, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),18820,13108,8292,13848,9628,5711,2776,10908,7633,5105,7677,8311,4733,2661,6742,2862,798, 
 收到的其他与经营活动有关的现金(万元),3204,2553,2123,3106,1701,1463,656,2503,1811,888,2418,2017,1911,413,1301,841,566, 
 经营活动现金流入小计(万元),236975,150486,73068,222178,164401,99978,47635,188317,137949,123784,164904,132384,113263,50772,99172,80743,45635, 
 购买商品、接受劳务支付的现金(万元),126953,79333,38431,112347,79120,46874,20687,85705,61089,72341,77820,66239,57372,25988,50298,44365,22834, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),37530,26163,14576,42399,31592,20931,11146,37184,27610,18451,29320,26598,20244,9853,17098,11439,6482, 
 支付的各项税费(万元),10200,6144,1915,9861,9129,3474,1155,11306,8545,5314,9044,5536,4495,1792,5539,3970,1608, 
 支付的其他与经营活动有关的现金(万元),16512,8086,3749,12202,10587,6537,2594,8660,7459,4349,8238,7187,8013,2971,8369,6683,3455, 
 经营活动现金流出小计(万元),191195,119727,58671,176809,130428,77816,35583,142854,104702,100455,124423,105560,90123,40604,81304,66457,34379, 
 经营活动产生的现金流量净额(万元),45780,30759,14398,45369,33973,22162,12052,45463,33247,23329,40481,26824,23140,10169,17868,14286,11255, 
 收回投资所收到的现金(万元),34000,18000,11000,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),533,176,79,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),359,295,47,48,175,431,--,228,148,204,499,204,6,6,15,56,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),34892,18472,11126,48,175,431,0,228,148,204,499,204,6,6,15,56,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),52111,33633,17896,72174,41219,25835,9518,42924,28123,16543,22102,18931,18513,7600,27622,17293,5834, 
 投资所支付的现金(万元),--,--,--,42000,--,--,--,--,--,--,--,--,--,--,--,5045,171, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,5,5,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),52111,33633,17896,114174,41219,25840,9523,42924,28123,16543,22102,18931,18513,7600,27622,22338,6006, 
 投资活动产生的现金流量净额(万元),-17220,-15162,-6770,-114126,-41044,-25409,-9523,-42696,-27975,-16339,-21604,-18727,-18507,-7594,-27607,-22282,-6006, 
 吸收投资收到的现金(万元),--,--,--,75842,75842,--,--,--,--,--,--,--,--,--,--,7590,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),61110,39874,22964,53106,48041,33806,13811,41860,26923,14268,33535,37769,30837,11389,40067,15245,17088, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),2688,2688,2688,1623,--,1583,1583,568,--,568,1567,500,1087,--,--,--,--, 
 筹资活动现金流入小计(万元),63799,42563,25653,130570,123882,35389,15394,42428,26923,14836,35102,38269,31924,11389,40067,22835,17088, 
 偿还债务支付的现金(万元),23535,14485,8614,53584,32439,20546,7845,28672,23674,17815,41663,37089,30202,9700,25000,8530,15098, 
 分配股利、利润或偿付利息所支付的现金(万元),20368,19633,505,7118,5818,6101,5661,13304,8943,8736,5435,5992,6351,5280,5449,3425,4169, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),1618,4040,4657,3728,--,4305,4077,1643,--,2032,624,1680,500,67,1190,--,95, 
 筹资活动现金流出小计(万元),45521,38158,13776,64429,38256,30953,17582,43620,32617,28583,47723,44761,37052,15047,31639,11956,19363, 
 筹资活动产生的现金流量净额(万元),18278,4404,11877,66141,85626,4436,-2188,-1192,-5695,-13747,-12621,-6492,-5128,-3658,8428,10879,-2275, 
 汇率变动对现金及现金等价物的影响(万元),-1009,-383,17,754,409,317,50,366,1304,809,259,-804,-149,67,-173,-225,-59, 
 现金及现金等价物净增加额(万元),45830,19619,19521,-1862,78964,1507,390,1941,881,-5948,6515,801,-644,-1016,-1484,2658,2916, 
 加:期初现金及现金等价物余额(万元),16624,13936,13936,15798,17421,15798,15798,13857,14465,13857,7342,6541,7185,8272,8669,6011,3095, 
 期末现金及现金等价物余额(万元),62454,33555,33457,13936,96385,17305,16188,15798,15346,7910,13857,7342,6541,7256,7185,8669,6011, 
 净利润(万元),--,20302,--,37575,--,18349,8511,30088,--,--,27354,11971,13664,6589,13153,10339,5341, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,668,--,809,--,553,106,243,--,--,412,55,377,380,201,393,-301, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,7982,--,9531,--,4429,2040,7591,--,--,6743,5550,4690,2389,3689,2693,2207, 
 无形资产摊销(万元),--,548,--,657,--,297,148,698,--,--,712,687,493,210,281,36,6, 
 长期待摊费用摊销(万元),--,1857,--,2006,--,899,429,1762,--,--,1919,1762,1538,752,1258,968,519, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,639,--,1554,--,396,51,965,--,--,112,78,3,-2,31,299,9, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,492,0,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,2221,--,1718,--,705,272,1001,--,--,1853,1753,2041,1181,1737,703,563, 
 投资损失(万元),--,-492,--,-109,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延所得税资产减少(万元),--,29,--,70,--,-103,-46,84,--,--,-155,-70,-172,-201,-23,-14,-18, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,-3048,--,-10613,--,-1667,-118,-2335,--,--,-604,-2470,-1332,-3076,242,-3535,-1306, 
 经营性应收项目的减少(万元),--,-17417,--,32683,--,-14289,1877,-12436,--,--,-7751,-897,-2475,-3465,-3411,-4496,207, 
