 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),176594,497545,314991,141868,77768,317171,192327,131568,45800,270286,181951,112582,74912,227422,219761,180004,95717, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),4438,19909,10009,5117,1802,12785,8299,4674,1871,12821,8969,5931,5285,10449,10022,11918,2827, 
 收到的其他与经营活动有关的现金(万元),23187,66135,26955,13828,4959,34573,19481,19383,10664,19253,15364,7877,6839,12739,15888,1211,98, 
 经营活动现金流入小计(万元),204219,583589,351955,160813,84529,364529,220107,155625,58336,302360,206284,126390,87036,250609,245670,193133,98641, 
 购买商品、接受劳务支付的现金(万元),191096,538907,381007,186506,87345,321803,227306,166993,61628,272689,217152,138260,90447,219277,195556,166638,106177, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),10317,23700,16292,9945,4555,14482,10719,6016,3126,13736,10302,6502,2570,11054,6846,4493,2050, 
 支付的各项税费(万元),2689,4811,4410,3392,2159,2951,1886,2155,976,3867,3149,2041,166,4249,4300,2967,1836, 
 支付的其他与经营活动有关的现金(万元),27663,87030,36379,25214,9316,41053,28569,16925,9151,28955,20986,11000,6114,19014,15574,8069,4029, 
 经营活动现金流出小计(万元),231765,654448,438087,225058,103374,380288,268480,192089,74881,319247,251589,157803,99298,253595,222276,182166,114092, 
 经营活动产生的现金流量净额(万元),-27546,-70859,-86133,-64245,-18846,-15759,-48372,-36464,-16546,-16887,-45305,-31413,-12262,-2986,23395,10967,-15451, 
 收回投资所收到的现金(万元),--,12000,12000,7000,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,140,140,51,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,34,1,1,--,3929,3929,--,--,7000,7000,7000,--,--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,524,524,--,--,--,38,24,18,56,117,36,1137, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,12174,12141,7052,0,4453,4453,0,0,7000,7038,7024,18,56,117,36,1137, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),4374,22413,18206,13425,6121,5659,2497,1686,1035,12506,9112,8264,6517,11683,3763,9109,5070, 
 投资所支付的现金(万元),--,12000,12000,12000,12000,--,--,--,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,524,--,--,--,--,--,--,500, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),4374,34413,30206,25425,18121,5659,2497,1686,1035,13030,9112,8264,6517,11683,3763,9109,5570, 
 投资活动产生的现金流量净额(万元),-4374,-22239,-18066,-18373,-18121,-1206,1956,-1686,-1035,-6030,-2074,-1240,-6499,-11627,-3646,-9073,-4433, 
