 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),72285,47559,25085,87730,62166,40711,19602,68082,49670,64716,31255,54224,45257,41281,36609,23399, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,17,--, 
 收到的其他与经营活动有关的现金(万元),146,113,187,208,84,68,126,97,26,217,85,198,88,247,314,81, 
 经营活动现金流入小计(万元),72431,47672,25272,87938,62250,40779,19727,68180,49696,64933,31340,54422,45345,41528,36939,23480, 
 购买商品、接受劳务支付的现金(万元),62550,43015,24191,70923,48100,31699,15800,54523,41203,52699,25987,47342,35978,33392,31642,20630, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),2995,1930,970,3551,2618,1710,847,3063,2307,2636,1416,2029,1402,1124,750,570, 
 支付的各项税费(万元),2864,1817,946,4120,3021,2296,1016,3008,2070,2593,1216,2359,2079,2322,1418,856, 
 支付的其他与经营活动有关的现金(万元),3981,2548,1299,4878,2717,1773,1493,3034,2411,2170,1206,2378,1825,1399,1489,1210, 
 经营活动现金流出小计(万元),72391,49310,27407,83471,56455,37478,19155,63628,47991,60098,29825,54108,41285,38238,35299,23266, 
 经营活动产生的现金流量净额(万元),40,-1638,-2134,4467,5794,3302,572,4552,1705,4835,1514,313,4060,3290,1640,214, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,8,220, 
 取得投资收益所收到的现金(万元),168,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),20,11,11,14,2,2,--,16,16,18,8,41,21,0,1,14, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),262,187,170,657,570,570,60,441,411,2288,1040,969,888,368,--,--, 
