 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),7168,23283,14327,7239,2331,31003,19620,11086,2992,23247,15591,10210,3700,19548,9008,5156,2133,29909,15959,10514,5169,39098,24579,11950,4461,39521,19716,10423,3462,33931,20417,11931,3511,39170,23580,12675,3450,36895,17557,15600,13519,37973,23816,10644,2189,34878,20262,14930,6599, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,5,5,--,--,--,--,--,168,68,--,--,97,--,--,--,254,74,74,--,38,38,38,0,--,--,--,--,265,178,0,--,--,--,0,--, 
 收到的其他与经营活动有关的现金(万元),--,812,--,--,--,666,--,--,--,1345,--,--,--,581,--,--,--,1249,--,--,--,397,--,--,--,2212,--,--,--,4891,--,--,--,2675,--,--,0,2282,--,--,--,1067,9509,8350,920,615,557,356,243, 
 经营活动现金流入小计(万元),7168,24095,14327,7239,2331,31669,19620,11086,2992,24592,15591,10210,3700,20129,9014,5162,2133,31157,15959,10514,5169,39663,24646,11950,4461,41830,19716,10423,3462,39075,20491,12005,3511,41884,23618,12714,3450,39177,17557,15600,13519,39306,33503,18995,3108,35493,20819,15286,6842, 
 购买商品、接受劳务支付的现金(万元),3244,20688,14068,5976,3423,25614,19202,10449,3251,20470,14048,9059,6392,13616,8086,5423,2518,26676,16934,11374,4182,32954,25380,14815,6344,35912,19342,9035,4571,26490,19772,11582,3857,25492,23296,12448,6012,33652,17321,10132,3846,35537,20684,15006,1983,29331,16997,11469,6099, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--, 
 支付给职工以及为职工支付的现金(万元),1735,4884,3594,2506,1390,4309,3243,2352,1265,3514,1881,1517,1013,3028,1766,1298,806,3015,1420,1052,702,2391,1309,855,460,2240,1296,859,381,2048,1224,862,377,2167,1391,1023,354,2158,924,641,305,1806,746,510,187,1165,965,674,412, 
 支付的各项税费(万元),768,580,637,344,158,1708,1181,845,459,522,444,430,199,697,310,141,20,1000,853,770,483,1231,869,738,245,1996,1347,1126,1023,1034,836,545,479,1702,1556,1256,868,1242,996,831,643,1828,1165,576,488,581,584,330,264, 
 支付的其他与经营活动有关的现金(万元),355,3055,1406,989,421,3150,1904,1080,576,2104,1980,1706,544,3283,1184,614,422,4720,1287,1087,1021,4494,1197,908,952,3342,1346,845,805,3200,1404,1052,725,3479,626,2006,1715,3506,2504,1798,5724,2172,9412,3291,24,2406,2229,2013,2779, 
 经营活动现金流出小计(万元),6102,29208,19705,9815,5392,34780,25529,14726,5550,26610,18353,12712,8147,20625,11345,7476,3766,35411,20494,14283,6387,41070,28756,17317,8002,43489,23330,11865,6779,32772,23235,14040,5437,32839,26869,16732,8949,40559,21744,13402,10518,41343,32008,19383,2681,33481,20775,14486,9554, 
