 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),132404,84379,114477,83590,53325,96438,88671,67858, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),9110,5409,8027,5879,3465,6071,4497,2682, 
 收到的其他与经营活动有关的现金(万元),7672,3238,2041,2015,1931,3019,2136,1319, 
 经营活动现金流入小计(万元),149186,93026,124545,91483,58721,105527,95304,71859, 
 购买商品、接受劳务支付的现金(万元),103804,60998,87384,62018,36266,73135,69383,50434, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),13920,8978,14029,9555,6356,10750,8547,6700, 
 支付的各项税费(万元),2053,1515,1681,1246,993,1483,444,653, 
 支付的其他与经营活动有关的现金(万元),14617,11486,13605,11264,6627,12530,9203,6620, 
 经营活动现金流出小计(万元),134393,82977,116699,84083,50242,97898,87576,64407, 
 经营活动产生的现金流量净额(万元),14793,10049,7846,7400,8479,7629,7728,7452, 
 收回投资所收到的现金(万元),53091,16416,54451,39475,17224,100760,32514,--, 
 取得投资收益所收到的现金(万元),75,6,36,33,22,100,19,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),284,283,23,28,27,6,106,16, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,320,320,320,1068,9273,1146, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),53449,16705,54831,39856,17594,101934,41913,1161, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),9868,7258,21536,15383,9956,14436,4952,6873, 
 投资所支付的现金(万元),76690,16276,54491,40051,19165,99860,31964,1550, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),2938,2938,--,--,--,--,14593,422, 
 支付的其他与投资活动有关的现金(万元),--,--,28,--,705,--,691,1745, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),89495,26471,76055,55434,29826,114296,52199,10590, 
 投资活动产生的现金流量净额(万元),-36046,-9766,-21224,-15577,-12233,-12362,-10286,-9428, 
 吸收投资收到的现金(万元),43870,--,--,--,--,16593,--,2000, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),38632,32473,59149,42441,23431,50331,49612,34898, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--, 
