 报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2006-12-31,2005-12-31,2004-12-31, 
 销售商品、提供劳务收到的现金(万元),407082,276953,108878,603138,391946,263938,104734,556538,505885,352086,139229,741946,581083,361474,177746,787751,537132,336904,157064,832280,576007,428861,169832,1024506,728280,475080,240665,1381104,68650,50899,25704,74563,48021,28888,18491,84715,54269,29041,15976,92227,65009,29648,9433,60513,44511,56461,44715,31039, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--, 
 收到的税费返还(万元),7817,5936,3033,18204,16160,14358,5155,23882,19222,14154,7844,36480,30242,19807,6938,22559,14869,6458,1177,17672,13480,6253,4753,14670,10984,8115,6269,7481,405,147,132,910,173,173,--,1434,1365,1365,652,1206,2271,1158,1158,3065,1550,605,263,418, 
 收到的其他与经营活动有关的现金(万元),21975,23619,9133,35774,15942,10948,2747,37835,18518,8829,3766,40794,18369,8406,3663,61163,29557,20247,9211,97595,133587,89409,17358,78728,110308,69245,16889,84216,32404,3754,123,2097,15676,2253,9807,880,1298,1186,4763,548,4319,4064,306,175,1669,130,2662,6, 
 经营活动现金流入小计(万元),436874,306507,121044,657116,424048,289244,112636,618255,543624,375070,150839,819221,629694,389687,188347,871473,581557,363610,167452,947547,723073,524522,191942,1117904,849572,552440,263824,1472801,101458,54800,25959,77570,63870,31314,28299,87029,56932,31592,21390,93980,71600,34870,10896,63753,47730,57196,47640,31463, 
 购买商品、接受劳务支付的现金(万元),362685,264078,100619,459185,283683,221555,97939,469528,435768,292475,105950,601407,486989,301367,132193,709735,503493,316096,127909,648457,510533,351471,136596,804300,620066,381845,172013,1203009,66092,46250,22805,78271,57484,40209,20347,40138,38370,24433,14203,78888,64980,34634,10742,34843,31287,39023,37467,20868, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--, 
 支付给职工以及为职工支付的现金(万元),69538,49541,30461,83430,71570,49351,35048,87304,68621,48217,30347,82505,68557,48872,30017,76027,51951,37062,23397,63312,58040,41042,24442,68622,56242,40347,25749,66515,3438,2160,1058,4621,2618,1649,791,4193,2483,1524,766,3787,2214,1346,694,2504,1433,2337,2191,1851, 
 支付的各项税费(万元),23766,18605,14338,50687,33011,21507,8323,34859,25972,17254,16108,51887,42321,30420,17179,35337,28023,20440,14115,48589,32850,22605,16679,69488,55218,38314,21995,122369,4962,4423,2875,7696,5643,3917,2048,7804,4499,2695,673,6525,5026,3546,1190,6695,5259,4790,3010,1618, 
 支付的其他与经营活动有关的现金(万元),29508,16428,9125,52479,27736,18272,6857,43608,27234,17375,15716,79601,39333,21408,10279,83669,34393,24027,10666,71332,40130,19442,5303,71782,51769,35358,21569,66352,24525,1141,501,3485,18012,3210,10899,4302,484,137,903,3676,936,1020,292,5397,3039,5983,1837,6710, 
 经营活动现金流出小计(万元),485497,348653,154543,645781,415999,310685,148168,635299,557596,375320,168121,815400,637200,402068,189668,904767,617860,397625,176087,831689,641554,434561,183020,1014192,783294,495865,241324,1458246,99017,53974,27240,94072,83758,48985,34086,56436,45837,28790,16544,92876,73156,40546,12918,49438,41017,52134,44505,31047, 
