 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),87914,330457,218981,124776,56069,200271,148415,91422,40631,59238,34131,22122,9677,45177,32841,22284,9914,43491,29909,18561,8150,42275,46865,42043,31518, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),73,23,19,7,7,204,204,55,55,8,17,8,--,25,25,25,25,--,--,--,--,24,--,--,--, 
 收到的其他与经营活动有关的现金(万元),432,1033,702,450,338,1545,3479,2646,2654,2599,360,272,138,777,557,236,106,375,285,270,45,302,287,358,515, 
 经营活动现金流入小计(万元),88419,331512,219702,125233,56414,202019,152097,94122,43339,61845,34509,22402,9815,45979,33423,22545,10044,43865,30193,18831,8195,42601,47152,42401,32033, 
 购买商品、接受劳务支付的现金(万元),83201,286342,198157,107398,48998,169023,127242,73099,32386,31519,14078,7718,4317,19599,15249,10446,5084,19743,14965,8360,4837,19360,23106,21210,17492, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),7576,19494,14813,10518,6371,16719,12876,9218,5616,11208,8295,5746,3327,10379,8182,5991,3665,9965,7621,5457,3226,9307,8764,7617,5677, 
 支付的各项税费(万元),2468,13421,9578,6141,2730,12711,9804,6561,1861,6250,4011,2456,1632,5582,3833,2410,984,5074,3776,2355,955,5250,4381,3713,2520, 
 支付的其他与经营活动有关的现金(万元),2301,9845,6201,3757,1727,9318,7691,5811,3709,6105,3233,2336,834,5040,3715,2741,1410,4384,3288,2233,1002,4444,4883,4710,3750, 
 经营活动现金流出小计(万元),95545,329102,228749,127815,59825,207771,157613,94689,43572,55082,29617,18255,10111,40600,30979,21589,11143,39165,29650,18405,10020,38362,41135,37251,29439, 
 经营活动产生的现金流量净额(万元),-7126,2410,-9047,-2581,-3411,-5752,-5516,-567,-233,6762,4892,4147,-296,5379,2444,955,-1098,4700,543,426,-1825,4239,6018,5150,2593, 
 收回投资所收到的现金(万元),--,--,--,--,--,5266,5266,5266,5266,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,159,--,--,--,396,396,396,396,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
