 报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2008-12-31,2007-12-31, 
 销售商品、提供劳务收到的现金(万元),1316500,817274,396980,1825325,1234437,758113,337709,1662694,1097747,675094,278921,1587900,1081057,661691,290107,1812413,1234313,754305,331644,1662013,1054218,604329,264298,1054471,705177,424631,195301,786331,525295,299069,131461,532566,358326,217813,101877,402497,271307,364166,232538, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 收取利息、手续费及佣金的现金(万元),2278,1550,834,3270,2398,1591,840,2326,1491,763,353,--,60,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 收到的税费返还(万元),261,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,--,--,--,222,32,10,7,23,74,42,12,70,34,2,1,94,87,75,9,50,29,42,280, 
 收到的其他与经营活动有关的现金(万元),14422,7785,11821,13317,19846,4551,5188,11389,16158,15749,5252,19679,15650,12049,4893,15944,13726,9527,4191,12662,10738,8703,3251,11073,8267,6145,1759,13211,7055,5020,1354,9088,3161,2651,1158,4716,2482,6015,3289, 
 经营活动现金流入小计(万元),1333462,826609,409635,1841912,1256682,764254,343736,1676408,1115396,691605,284527,1607579,1096767,673742,295000,1828358,1248039,763832,335836,1674898,1064989,613043,267557,1065567,713518,430819,197072,799613,532384,304092,132816,541748,361574,220539,103044,407263,273819,370223,236107, 
 购买商品、接受劳务支付的现金(万元),1042290,703353,378789,1415833,966147,621215,294252,1254132,841386,516987,230266,1119383,779989,512099,256132,1400916,987276,623143,298530,1355055,890114,529496,229097,832717,578838,366991,167420,609331,398542,242706,108749,406101,263919,168013,77723,305176,195753,283543,189583, 
