 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),214063,136342,252394,207942,235077,134807,96758, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--, 
 收到的税费返还(万元),55,55,79,79,66,243,192, 
 收到的其他与经营活动有关的现金(万元),6885,4185,10143,6553,12893,6060,4818, 
 经营活动现金流入小计(万元),221004,140582,262616,214574,248036,141109,101768, 
 购买商品、接受劳务支付的现金(万元),114372,72021,136783,110429,115735,62834,55310, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),27446,19633,29260,22484,20871,16158,13495, 
 支付的各项税费(万元),23722,14582,31830,26927,24360,13091,8018, 
 支付的其他与经营活动有关的现金(万元),3903,3280,6734,6024,5433,26759,7504, 
 经营活动现金流出小计(万元),169442,109516,204607,165864,166399,118841,84328, 
 经营活动产生的现金流量净额(万元),51562,31066,58009,48710,81637,22268,17440, 
 收回投资所收到的现金(万元),149500,105500,272000,211000,332300,227900,48500, 
 取得投资收益所收到的现金(万元),628,482,1698,1343,609,469,95, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,-2,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),150128,105982,273698,212343,332909,228367,48595, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),31831,20513,44780,28283,35412,30826,20884, 
 投资所支付的现金(万元),161500,109500,278458,222000,341379,218600,60500, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,1570,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),193331,130013,323238,250283,378360,249426,81384, 
 投资活动产生的现金流量净额(万元),-43203,-24031,-49540,-37940,-45451,-21060,-32789, 
 吸收投资收到的现金(万元),81885,--,--,--,6261,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,17575,20000, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),81885,0,0,0,6261,17575,20000, 
 偿还债务支付的现金(万元),804,804,15000,12000,21200,8000,6500, 
 分配股利、利润或偿付利息所支付的现金(万元),8752,8505,9390,9112,2732,3707,3182, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,10,15,--, 
 支付其他与筹资活动有关的现金(万元),3606,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),13161,9309,24390,21112,23932,11707,9682, 
 筹资活动产生的现金流量净额(万元),68724,-9309,-24390,-21112,-17671,5868,10318, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),77083,-2274,-15921,-10342,18515,7076,-5030, 
 加:期初现金及现金等价物余额(万元),13643,13643,29564,29564,11050,3973,9003, 
 期末现金及现金等价物余额(万元),90726,11369,13643,19223,29564,11050,3973, 
 净利润(万元),--,20084,35602,--,34512,11882,2121, 
 少数股东损益(万元),--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--, 
 资产减值准备(万元),--,12,103,--,487,109,23, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,6437,11068,--,9373,6549,5560, 
 无形资产摊销(万元),--,10,18,--,16,11,10, 
 长期待摊费用摊销(万元),--,5623,9697,--,8729,6993,5929, 
 待摊费用的减少(万元),--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,0,1,--,49,4,3, 
 固定资产报废损失(万元),--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--, 
 财务费用(万元),--,501,1390,--,2722,3692,3177, 
 投资损失(万元),--,-717,-1463,--,-1734,-405,-95, 
 递延所得税资产减少(万元),--,-3,153,--,-120,-25,-13, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--, 
 存货的减少(万元),--,54,-792,--,-313,-439,-310, 
 经营性应收项目的减少(万元),--,-1628,-538,--,7208,-9827,-4483, 
 经营性应付项目的增加(万元),--,694,2768,--,20709,3724,5520, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--, 
