 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),9664,30679,22344,15376,7324,34540,26818,18024,9070,35150,25992,18551,8528,38834,31430,17313,24440,26639,17479, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),207,246,152,124,39,712,538,233,140,251,263,124,90,--,--,--,--,80,32, 
 收到的其他与经营活动有关的现金(万元),308,897,377,311,119,760,502,404,60,1549,962,613,49,1105,609,578,1564,633,394, 
 经营活动现金流入小计(万元),10179,31822,22873,15812,7481,36011,27858,18661,9270,36949,27217,19287,8667,39938,32039,17891,26004,27352,17905, 
 购买商品、接受劳务支付的现金(万元),5287,20907,15933,10684,5645,18597,14018,9643,5868,21220,14948,11135,4775,19518,17688,12194,12774,15075,10398, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),2097,7069,5228,3633,1647,5626,4387,3185,1169,5328,5002,3008,1310,5230,3955,2813,4374,3890,3046, 
 支付的各项税费(万元),485,2378,1916,1266,320,2252,1804,1296,403,2341,1668,1400,978,2017,1622,968,1725,1755,1757, 
 支付的其他与经营活动有关的现金(万元),839,3446,2296,1630,322,2680,1613,1054,545,1799,952,921,628,2707,1841,1330,1998,1932,1500, 
 经营活动现金流出小计(万元),8709,33800,25372,17214,7933,29156,21822,15177,7986,30688,22571,16463,7691,29472,25105,17306,20871,22652,16701, 
 经营活动产生的现金流量净额(万元),1470,-1978,-2499,-1402,-452,6855,6036,3483,1284,6261,4646,2824,976,10466,6934,585,5133,4700,1204, 
 收回投资所收到的现金(万元),--,--,9000,5000,4000,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
