 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),75189,300251,224688,142048,70884,294733,219091,139631,70568,226208,158735,97065,49842,178986,124927,138253,99213,84637, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),949,2943,745,332,280,1749,1308,1302,868,2933,2287,867,827,1481,1256,846,282,56, 
 收到的其他与经营活动有关的现金(万元),1886,4595,5629,4308,1333,2220,3055,2307,1023,1399,720,649,384,406,395,1220,726,730, 
 经营活动现金流入小计(万元),78024,307788,231062,146688,72498,298702,223453,143240,72459,230540,161741,98581,51053,180873,126579,140320,100221,85423, 
 购买商品、接受劳务支付的现金(万元),55611,209569,156824,98003,45596,196861,146124,99970,48716,145958,107968,68648,31900,109741,75268,84836,66260,52099, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),18334,75529,55804,37200,16959,68613,49571,32704,14823,57520,41715,26935,12115,44747,32591,34419,23101,14840, 
 支付的各项税费(万元),2705,8933,7352,4907,2235,13388,10206,7011,4083,10903,7916,5263,2591,6522,4748,5370,4617,3474, 
 支付的其他与经营活动有关的现金(万元),5178,14341,12797,7256,5005,10958,14286,9468,4185,8519,5675,3663,2048,8760,5530,4627,3695,6248, 
 经营活动现金流出小计(万元),81828,308372,232777,147366,69796,289821,220187,149153,71807,222900,163274,104509,48654,169770,118136,129251,97673,76661, 
 经营活动产生的现金流量净额(万元),-3804,-584,-1715,-678,2701,8881,3266,-5913,652,7640,-1533,-5929,2400,11103,8443,11068,2548,8762, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),204,77,117,83,74,63,37,27,25,26,17,16,1,7667,157,38,66,12, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),10,10,0,0,0,37,31,31,28,514,157,224,--,81,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),213,87,117,83,74,100,67,57,54,539,174,240,1,7748,157,38,66,12, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),8250,43330,30767,10954,6408,26649,19748,11473,4507,16973,12484,7325,2159,13082,10461,15587,10065,6629, 
 投资所支付的现金(万元),--,653,653,--,--,2000,--,--,--,1000,--,--,--,320,70,200,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,24,--,--,--,18,48,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),8250,43982,31419,10954,6408,28649,19748,11473,4507,17997,12484,7325,2159,13420,10579,15787,10065,6629, 
 投资活动产生的现金流量净额(万元),-8037,-43895,-31302,-10871,-6334,-28549,-19681,-11415,-4453,-17458,-12310,-7085,-2157,-5672,-10422,-15750,-9999,-6617, 
 吸收投资收到的现金(万元),398,3451,780,180,180,--,--,--,--,30918,--,--,--,105,105,397,350,10296, 
 其中：子公司吸收少数股东投资收到的现金(万元),398,3451,780,180,180,--,--,--,--,--,--,--,--,--,--,397,--,--, 
 取得借款收到的现金(万元),31736,159475,103273,27188,11289,77622,52890,44247,20416,145580,107085,66390,24953,79512,59379,54545,21224,14313, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),13360,70849,48835,30647,13810,92576,41890,27332,15731,50910,37993,23589,11697,29393,21270,21561,7413,2360, 
 筹资活动现金流入小计(万元),45493,233775,152889,58015,25278,170198,94781,71579,36146,227408,145078,89980,36650,109010,80754,76503,28987,26968, 
 偿还债务支付的现金(万元),21933,120811,77570,26456,11439,59530,52363,38725,19218,123218,87093,51673,22942,83284,53546,41826,14968,20765, 
