 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),35804,130845,96701,68930,37350,113554,90289,55974,25222,77343,55371,36575,18839,73316,42386,28970,11620,48730,25581,14993,7572,31332,22450,14531,6767,34513,25135,16752,29991,15616,11875, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 收到的税费返还(万元),455,1283,1071,994,717,2171,1409,409,506,1252,1112,690,332,851,750,528,396,1429,834,502,89,1208,1034,730,357,1111,687,575,1386,228,20, 
 收到的其他与经营活动有关的现金(万元),469,2979,1673,1048,598,1245,1396,428,271,1380,972,134,24,521,387,334,146,1129,390,480,461,863,1386,1165,343,372,86,30,2512,1605,1917, 
 经营活动现金流入小计(万元),36728,135106,99445,70972,38666,116969,93094,56811,25999,79975,57455,37399,19195,74688,43523,29832,12162,51287,26804,15974,8122,33403,24869,16426,7466,35996,25908,17357,33889,17449,13812, 
 购买商品、接受劳务支付的现金(万元),26577,107083,80918,58473,32041,89021,72277,49417,29677,68322,48587,34282,17494,57372,34528,24136,10957,40810,20766,12457,6778,27530,20991,14596,7217,27664,20128,13392,26301,12434,9385, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),3363,14468,9988,6608,3030,11551,7749,4185,2560,8213,5610,3830,1608,8207,5057,3779,2093,5733,3759,2629,1252,3146,2670,1789,998,3234,2236,1541,2431,1584,1230, 
 支付的各项税费(万元),1365,10154,8101,6147,1020,6440,3346,2760,735,1861,1352,935,175,943,716,433,258,840,648,352,340,881,733,520,185,1342,890,400,850,379,471, 
