 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),25336,97996,72360,46267,21404,87752,60387,40633,19173,63685,41582,26513,11921,54580,40127,25427,10819,50688,37484,46112,39132,24668,16991, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),280,594,498,239,165,647,532,364,182,749,606,413,193,748,578,391,172,716,565,739,--,2,--, 
 收到的其他与经营活动有关的现金(万元),1085,3245,2609,1743,399,2729,2299,2193,618,3047,2322,1058,522,2075,372,278,128,1109,847,948,983,2550,2416, 
 经营活动现金流入小计(万元),26701,101835,75467,48248,21968,91128,63218,43189,19973,67482,44511,27984,12636,57403,41077,26096,11118,52513,38896,47799,40115,27220,19407, 
 购买商品、接受劳务支付的现金(万元),11478,35838,23792,13343,7560,32163,21310,11974,6878,24855,14924,8971,4119,23466,17382,12759,6621,24943,18019,22252,22437,13866,9760, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),5379,20141,14126,10057,5617,16097,11491,8294,4160,12920,9328,6347,3828,10619,8355,5086,2684,9758,7294,8584,6688,4147,2967, 
 支付的各项税费(万元),2694,10982,9113,5707,2947,10136,7526,5201,3135,6671,4627,2729,1517,5209,3851,2107,1482,3553,2501,4357,2001,1524,1256, 
 支付的其他与经营活动有关的现金(万元),3132,11778,9394,6103,2749,11358,9882,6509,2179,7838,4883,2905,1936,5693,4156,2475,1216,5770,4539,6065,5080,6323,5038, 
 经营活动现金流出小计(万元),22683,78739,56425,35211,18873,69754,50209,31977,16353,52284,33762,20953,11400,44986,33744,22428,12004,44025,32353,41257,36207,25860,19021, 
 经营活动产生的现金流量净额(万元),4019,23096,19042,13038,3095,21374,13010,11212,3621,15198,10748,7032,1236,12417,7334,3669,-885,8488,6543,6542,3908,1360,386, 
 收回投资所收到的现金(万元),1000,6950,1750,1750,5200,10800,13500,13500,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,215,--,--,--,--,--,--,--,93,54,--,36,18,6,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,26,12,12,--,113,90,58,26,15,15,10,0,1,0,0,--,39,39,20,--,15,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3808,--, 
 收到的其他与投资活动有关的现金(万元),292,411,335,63,--,262,171,124,--,198,--,21,--,184,--,--,--,779,179,1854,433,--,1, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),1292,7387,2096,2040,5200,11176,13761,13682,26,214,15,124,54,184,37,18,6,818,218,1874,433,3823,1, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),595,4873,3942,2619,1859,5684,4875,3741,751,9488,5168,4258,358,5339,3052,1819,1438,2248,1323,3702,6479,2200,1834, 
 投资所支付的现金(万元),--,--,9572,2800,--,10153,23803,20203,979,13500,27741,--,--,--,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,47,47,47,--,52688,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,473,474,243,--,--,--,--,--,--,--,--,--,50,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),595,4873,13514,5419,1859,15883,28724,23990,1730,76150,33383,4501,358,5339,3052,1819,1438,2248,1323,3702,6479,2250,1834, 
 投资活动产生的现金流量净额(万元),697,2514,-11418,-3379,3341,-4707,-14963,-10308,-1704,-75936,-33368,-4377,-304,-5155,-3015,-1801,-1432,-1430,-1104,-1828,-6046,1573,-1833, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,42975,42975,--,--,--,--,--,--,5103,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),6400,3600,--,--,--,14000,4000,4000,4000,26115,115,115,72,450,--,--,--,--,--,3845,6000,3000,1800, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,50,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),6400,3600,0,0,0,14000,4000,4000,4000,26165,115,115,72,43425,42975,0,0,0,0,3845,6000,8103,1800, 
 偿还债务支付的现金(万元),--,20450,10000,10000,10000,15000,2500,2500,--,115,87,--,--,--,--,--,--,2736,2736,6102,1000,3300,1000, 
 分配股利、利润或偿付利息所支付的现金(万元),9369,7425,8452,3858,654,7445,3887,3614,268,3098,3081,3081,14,--,--,--,--,3049,3049,220,192,3103,88, 
 其中：子公司支付给少数股东的股利、利润(万元),9272,3770,--,--,--,3303,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,3,--,--,--,12,--,--,--,662,158,66,72,75,45,40,194,87,--, 
