 报告日期,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),455595,990910,478987,994473,1073503,946445,128925,69737,30387, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),16129,23110,5362,23203,11085,4354,2077,191,197, 
 经营活动现金流入小计(万元),471723,1014020,484349,1017676,1084588,950799,131002,69928,30584, 
 购买商品、接受劳务支付的现金(万元),264430,491225,226041,509919,605380,520253,82456,55589,25208, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),9446,15698,6890,11742,9665,6773,1599,1501,958, 
 支付的各项税费(万元),84146,170895,101979,156376,135450,93313,10915,6188,1158, 
 支付的其他与经营活动有关的现金(万元),55201,95885,46771,86825,80588,66002,9708,2389,1136, 
 经营活动现金流出小计(万元),413223,773703,381681,764862,831082,686341,104679,65667,28460, 
 经营活动产生的现金流量净额(万元),58501,240317,102668,252814,253505,264457,26323,4261,2125, 
 收回投资所收到的现金(万元),1678031,3592804,1823475,3080380,2322415,574000,--,500,--, 
 取得投资收益所收到的现金(万元),14444,21581,15504,18575,12926,1998,--,3,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),7,47,10,58,16,87,1108,10,1, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),168,13827,6242,18537,120,1490,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),1692650,3628260,1845231,3117551,2335477,577575,1108,513,1, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),2710,10537,5977,19022,27040,13756,6543,4965,2178, 
 投资所支付的现金(万元),1591188,3818895,1988796,3025702,2513493,913000,--,500,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,46000,11000,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),1593898,3829432,1994773,3090725,2551533,926756,6543,5465,2178, 
 投资活动产生的现金流量净额(万元),98752,-201172,-149542,26826,-216056,-349181,-5435,-4953,-2177, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,2030,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--,1000,2803,397, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),0,0,0,0,0,0,3030,2803,397, 
 偿还债务支付的现金(万元),--,--,--,--,--,--,2500,947,134, 
 分配股利、利润或偿付利息所支付的现金(万元),114762,224825,141570,61875,49500,17687,5679,2152,168, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,25,--,165,--,--,--, 
 筹资活动现金流出小计(万元),114762,224825,141570,61900,49500,17852,8179,3099,302, 
 筹资活动产生的现金流量净额(万元),-114762,-224825,-141570,-61900,-49500,-17852,-5149,-297,95, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),42491,-185680,-188444,217740,-12051,-102576,15738,-988,43, 
 加:期初现金及现金等价物余额(万元),64919,250599,250599,32859,44910,147485,344,1332,1289, 
 期末现金及现金等价物余额(万元),107409,64919,62155,250599,32859,44910,16082,344,1332, 
 净利润(万元),100029,274069,--,261996,183054,--,16492,8463,2403, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),-230,1251,--,1511,539,--,--,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),3011,5616,--,4653,3374,--,--,--,--, 
 无形资产摊销(万元),177,298,--,269,175,--,--,--,--, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--, 
