 报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),123102,454981,293965,177186,87634,314982,216743,134379,55832,231087,153916,97672,32428,223015,158159,98533,45407,261520,195351,105043,43899,218387,154559,83527,36740,210820,155583,90511,36841,162311,112945,63527,26593,108813,70670,38220,16368,101002,71608,42431,17566,105272,76257,46172,18227,50535,32715,15128,5159,33893,24215,15533,3882, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,8,0,--,1365,1622,802,296,6328,4750,2448,880,8438,5955,4783,2494,7698,6226,3972,761,315,20,20,20,114,--,--,--,362,194,18,--,--,--,--,--,0,--,0,--,15,15,0,--, 
 收到的其他与经营活动有关的现金(万元),20660,62098,62059,41862,7952,17197,22983,11186,4499,6175,10415,5138,4782,5907,10731,5086,1866,5795,10158,7719,4239,10455,8164,4719,3282,928,2590,703,188,1966,1559,991,614,3031,833,276,289,4525,719,258,386,823,874,147,42,278,266,192,82,1256,52,50,4, 
 经营活动现金流入小计(万元),143762,517079,356024,219048,95585,332180,239726,145565,60331,237262,164339,102811,37209,230286,170511,104421,47569,273644,210260,115210,49018,237280,168679,93030,42516,219445,164399,95185,37790,164592,114524,64538,27227,111959,71504,38496,16657,105889,72522,42707,17951,106095,77131,46319,18270,50813,32981,15320,5241,35164,24283,15584,3887, 
 购买商品、接受劳务支付的现金(万元),95785,386130,258873,165813,70157,241956,169114,101307,44485,143444,101906,58121,22404,167587,116218,69800,33878,217519,167428,91502,39039,175254,129674,77236,37137,173463,128172,74219,30532,138592,101197,53170,23577,97759,66772,37894,16509,79223,58681,31515,12119,88617,73915,42453,18306,50325,35270,16681,6307,29948,24139,11829,2773, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--, 
 支付给职工以及为职工支付的现金(万元),14778,46679,29857,19926,11322,33016,20958,13748,7579,20826,13496,8784,4782,19753,14020,9647,5564,19616,14486,7304,4177,11624,8391,5807,3372,10660,7792,5371,3136,7215,5479,3652,2090,5090,3843,2516,1336,4469,3352,2381,1216,3906,2891,1716,841,2526,1593,887,459,1486,1126,825,360, 
 支付的各项税费(万元),1636,4702,3220,2046,1097,3262,2351,1505,736,4040,2399,1684,972,5297,4561,3269,1267,9351,8518,5719,3174,9743,8120,5701,3225,12124,9971,6723,2363,1837,1244,806,394,1760,1144,605,424,1416,958,700,329,1637,1003,552,326,289,174,99,64,313,256,217,66, 
 支付的其他与经营活动有关的现金(万元),36054,60571,54141,38479,12860,20466,45242,26062,14119,17650,36078,22747,6909,15595,22538,14146,6757,18635,25010,11320,6368,22356,19860,14469,9984,12706,12906,7516,3896,10996,8079,4425,2522,7311,5724,3514,2235,6136,6116,3488,1772,10242,9071,2223,2326,3246,3237,1217,1666,3041,2932,1123,460, 
 经营活动现金流出小计(万元),148252,498083,346090,226264,95436,298700,237664,142622,66919,185960,153880,91336,35067,208231,157337,96862,47466,265121,215443,115845,52758,218977,166044,103213,53717,208952,158842,93829,39927,158639,116000,62052,28583,111920,77484,44528,20504,91244,69107,38084,15436,104402,86880,46944,21799,56386,40273,18884,8496,34787,28453,13993,3659, 
 经营活动产生的现金流量净额(万元),-4491,18996,9934,-7216,149,33480,2062,2943,-6587,51302,10459,11475,2142,22055,13175,7559,102,8523,-5183,-635,-3740,18303,2635,-10183,-11202,10494,5557,1357,-2137,5953,-1477,2486,-1356,39,-5980,-6032,-3847,14645,3415,4623,2515,1692,-9748,-625,-3529,-5572,-7292,-3563,-3255,377,-4171,1591,227, 
 收回投资所收到的现金(万元),1658,1510,310,148,--,350,--,--,--,4550,4550,4550,4550,320,320,320,--,--,--,--,--,2157,2152,2122,100,2241,2241,2241,2241,321,321,321,321,1158,1158,823,656,777,503,503,--,--,--,--,--,0,1000,1000,1000,0,2500,0,--, 
 取得投资收益所收到的现金(万元),--,--,--,47,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,65,65,65,--,46,46,46,46,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,149,149,149,0,0,0,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),9,2559,70,48,7,14,8,8,--,797,9,7,3,24,1008,0,--,3693,4277,3143,3137,68,47,7,7,23,28,13,4,152,135,133,--,3143,3108,3096,--,228,25,24,22,14252,14299,11320,10,36,1,1,--,5,5,0,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,6104,6104,1995,--,--,--,--,--,7649,7549,7491,7431,1874,1258,1258,1246,505,499,--,--,--,--,--,--,--,--,--,--,188,--,--,--,--,--,--,--,3479,3479,--,--,--,--,--,--,0,--,0,--,2500,0,0,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,451,--,--,--,308,8,--,--,--,1,--,--,--,0,--,0,--,0,--,157,--,--,--,--,1800,1789,1778,200,705,73,10,95,110,81,--,105,--,44,22,901,845,809,4, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--, 
