 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),9680,6034,25810,10749,29564,20978,19596, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,555,--,93,157,630, 
 收到的其他与经营活动有关的现金(万元),689,147,860,577,512,557,486, 
 经营活动现金流入小计(万元),10368,6181,27225,11326,30169,21691,20711, 
 购买商品、接受劳务支付的现金(万元),8664,6152,14725,11918,11220,7312,8425, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),7074,4917,7975,5787,6913,6760,6506, 
 支付的各项税费(万元),1658,1415,1796,1453,1166,1013,1127, 
 支付的其他与经营活动有关的现金(万元),2943,1715,2634,2104,3039,2833,3036, 
 经营活动现金流出小计(万元),20338,14199,27130,21262,22338,17918,19093, 
 经营活动产生的现金流量净额(万元),-9970,-8018,95,-9936,7831,3773,1617, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,4,4,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,0,3,1,2, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,18,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,600,600,--,1500,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,0,622,604,3,1501,2, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),31,13,593,557,1193,3175,2090, 
 投资所支付的现金(万元),--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,222,222,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,600,600,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),31,13,1415,1379,1193,3175,2090, 
 投资活动产生的现金流量净额(万元),-31,-13,-793,-775,-1190,-1673,-2089, 
 吸收投资收到的现金(万元),--,--,--,--,--,98,200, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,98,200, 
 取得借款收到的现金(万元),4000,2000,5890,4240,3400,4100,2100, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),4000,2000,5890,4240,3400,4198,2300, 
 偿还债务支付的现金(万元),2240,640,3700,1700,5800,2100,2000, 
 分配股利、利润或偿付利息所支付的现金(万元),724,654,1005,166,637,660,560, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),2964,1294,4705,1866,6437,2760,2560, 
 筹资活动产生的现金流量净额(万元),1036,706,1185,2374,-3037,1438,-260, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-8965,-7325,487,-8337,3604,3538,-732, 
 加:期初现金及现金等价物余额(万元),11425,11425,10939,10939,7335,3797,4528, 
 期末现金及现金等价物余额(万元),2460,4100,11425,2602,10939,7335,3797, 
 净利润(万元),300,-1048,3790,-1225,3273,1385,1194, 
 少数股东损益(万元),--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--, 
 资产减值准备(万元),19,-180,201,-46,17,52,249, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),371,250,594,415,435,250,151, 
 无形资产摊销(万元),39,26,40,48,28,27,27, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),1,1,3,1,-1,2,2, 
 固定资产报废损失(万元),--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--, 
 财务费用(万元),166,96,169,108,219,241,142, 
 投资损失(万元),--,--,-70,-70,--,--,--, 
 递延所得税资产减少(万元),9,46,-27,27,-25,-9,-39, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--, 
 存货的减少(万元),-2327,-3029,-282,-4483,-1325,1799,-1600, 
 经营性应收项目的减少(万元),-4187,-202,-696,-1286,-1065,213,-1695, 
 经营性应付项目的增加(万元),-4360,-3980,-3627,-3483,6275,-188,3185, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),-9970,-8018,95,-9994,7831,3773,1617, 
 债务转为资本(万元),--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--, 
 现金的期末余额(万元),2460,4100,11425,2602,10939,7335,3797, 
 现金的期初余额(万元),11425,11425,10939,10939,7335,3797,4528, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-8965,-7325,487,-8337,3604,3538,-732, 

