 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),25901,114425,79621,50169,13446,90319,63739,49600,15362,62415,45401,32800,14291,57588,38935,30301,13446,52382,--,48707,48336,53271,40565,41997, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 收到的税费返还(万元),874,2323,1291,690,355,2400,1504,1074,785,2927,1840,1388,750,2004,1143,896,563,1640,--,1484,1534,841,1116,726, 
 收到的其他与经营活动有关的现金(万元),397,1964,1550,998,378,568,2126,1220,1130,644,603,427,71,594,414,146,71,544,--,411,840,2672,917,944, 
 经营活动现金流入小计(万元),27172,118711,82463,51856,14178,93287,67369,51894,17278,65986,47844,34616,15112,60186,40493,31344,14079,54565,--,50602,50710,56784,42599,43667, 
 购买商品、接受劳务支付的现金(万元),23464,66299,51518,33185,16050,45173,36072,23388,11085,39606,34374,24351,12343,40901,27512,18301,9729,31221,--,32489,33937,38974,27341,32212, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 支付给职工以及为职工支付的现金(万元),4883,11884,7898,5135,2967,9490,6607,4744,2843,8406,6202,4271,2423,7083,5611,3949,1762,5771,--,5646,5590,4430,3471,2667, 
 支付的各项税费(万元),965,4799,7187,3318,2148,2275,2311,1828,890,1269,1445,1082,434,1055,835,585,233,1470,--,1217,1498,3059,3011,1308, 
